sample_name,response,response_label,channel,max_abs_cumulative,signed_cumulative_at_max,persistence_rank_within_subsample
exclude_extreme_shock_outliers,ln_ecb_assets_ea_stock,ECB assets,financial_liquidity,0.019040920913412623,-0.008089753548263884,9.0
exclude_extreme_shock_outliers,ln_ecb_house_purchase_pure_new_loans,pure new house-purchase loans,housing_finance,0.1280492538975701,0.09942950712582892,6.0
exclude_extreme_shock_outliers,ln_nfc_loans_ea_stock,NFC credit,financial_credit,0.004696268577349189,0.004696268577349189,10.0
exclude_qe_launch,ecb_house_purchase_growth_yoy,house-purchase lending growth,housing_finance,0.5273291009808909,0.41579105630845425,3.0
exclude_qe_launch,ecb_mir_mortgage_lending_spread_dfr,mortgage lending spread,banking_lending_conditions,0.14264451156065508,0.14264451156065508,5.0
exclude_qe_launch,ecb_mir_nfc_lending_spread_dfr,NFC lending spread,banking_lending_conditions,0.0730864729167979,0.0730864729167979,6.0
exclude_qe_launch,ecb_wage_tracker_ex_oneoffs_real_yoy,real wage tracker excl. one-offs,compensation_proxy,0.3136908841555634,-0.06803482380577544,4.0
exclude_qe_launch,eurostat_ecfin_eei_ea20,employment expectations,labor_tightness,2.8265754368691303,2.035570692656715,1.0
exclude_qe_launch,eurostat_sts_industry_wage_bill_de_real_yoy,German industry real wage bill growth,compensation_proxy,1.571036758397062,1.4417032354751687,2.0
exclude_qe_launch,ln_dax_real_de,real DAX,financial_market,0.06605332390836112,-0.06605332390836112,7.0
exclude_qe_launch,ln_ecb_assets_ea_stock,ECB assets,financial_liquidity,0.02965209440220163,-0.02965209440220163,8.0
exclude_qe_launch,ln_ecb_house_purchase_pure_new_loans,pure new house-purchase loans,housing_finance,0.025300973539210327,-0.0055231028406597035,9.0
exclude_qe_launch,ln_nfc_loans_ea_stock,NFC credit,financial_credit,0.0015087724315084481,-0.0015087724315084481,10.0
full,ecb_house_purchase_growth_yoy,house-purchase lending growth,housing_finance,0.4831688822626374,0.3569638354441788,3.0
full,ecb_mir_mortgage_lending_spread_dfr,mortgage lending spread,banking_lending_conditions,0.14007707210426268,0.14007707210426268,5.0
full,ecb_mir_nfc_lending_spread_dfr,NFC lending spread,banking_lending_conditions,0.07072030870698401,0.07072030870698401,6.0
full,ecb_wage_tracker_ex_oneoffs_real_yoy,real wage tracker excl. one-offs,compensation_proxy,0.30187110035998205,-0.04142012307708076,4.0
full,eurostat_ecfin_eei_ea20,employment expectations,labor_tightness,2.761774887687584,1.9620593669901727,1.0
full,eurostat_sts_industry_wage_bill_de_real_yoy,German industry real wage bill growth,compensation_proxy,1.5928732788056312,1.4875713011176925,2.0
full,ln_dax_real_de,real DAX,financial_market,0.06677908512767797,-0.06677908512767797,7.0
full,ln_ecb_assets_ea_stock,ECB assets,financial_liquidity,0.03226542614839496,-0.03226542614839496,8.0
full,ln_ecb_house_purchase_pure_new_loans,pure new house-purchase loans,housing_finance,0.025300973539210327,-0.0055231028406597035,9.0
full,ln_nfc_loans_ea_stock,NFC credit,financial_credit,0.0018728056274944047,-0.0018728056274944047,10.0
