factor,aggregation,target_equation,sample,F_stat,partial_R2,coef,sign,p_value,observations,t_stat,architecture,instrument,weak_instrument_interpretation
qe,crisis_weighted,d_ln_nfc_loans_ea_stock,robustness_2005q1_2025q4,5.597153195775583,0.10847794595446478,-0.0006916070754454725,negative,0.022259240493083924,48,-2.3658303396007887,weighted_event_quarterly,qe_factor_crisis_weighted_quarterly_sum,weak_instrument_warning_below_rule_of_thumb_10
qe,market_magnitude_weighted,d_dfr_eop,robustness_2005q1_2025q4,5.211689066711767,0.10176756833625761,-0.009228154251936163,negative,0.027104750231733005,48,-2.2829124089004744,weighted_event_quarterly,qe_factor_market_magnitude_weighted_quarterly_sum,weak_instrument_warning_below_rule_of_thumb_10
weighted_composite,monthly_abs_sum,d_ln_house_price_de_real,robustness_2005q1_2025q4,4.899545542307096,0.05770991482946816,-0.0045918651437642545,negative,0.0297118365499821,82,-2.2134917082083447,monthly_bridge_quarterly,weighted_composite_monthly_abs_sum,weak_instrument_warning_below_rule_of_thumb_10
composite,qe_heavy_timing_fg_qe,d_dfr_eop,robustness_2005q1_2025q4,4.53150913852616,0.052980582058793836,-0.14959640335248559,negative,0.03631438363556071,83,-2.128734163423456,composite_quarterly,composite_qe_heavy_timing_fg_qe,weak_instrument_warning_below_rule_of_thumb_10
qe,quarterly_sum,d_ln_nfc_loans_ea_stock,robustness_2005q1_2025q4,4.249800959383304,0.08457348841676804,-0.000753121158101062,negative,0.044932158373598804,48,-2.061504537803229,direct_quarterly,qe_factor_quarterly_sum,weak_instrument_warning_below_rule_of_thumb_10
qe,quarterly_signed_cumulative,d_ln_nfc_loans_ea_stock,robustness_2005q1_2025q4,4.249800959383304,0.08457348841676804,-0.000753121158101062,negative,0.044932158373598804,48,-2.061504537803229,direct_quarterly,qe_factor_quarterly_signed_cumulative,weak_instrument_warning_below_rule_of_thumb_10
target,market_magnitude_weighted,d_ln_house_price_de_real,robustness_2005q1_2025q4,4.231716116595521,0.04964954725077466,-7.881233280937357e-05,negative,0.04289319479797671,83,-2.0571135400350467,weighted_event_quarterly,target_factor_market_magnitude_weighted_quarterly_sum,weak_instrument_warning_below_rule_of_thumb_10
qe,quarterly_mean,d_ln_nfc_loans_ea_stock,robustness_2005q1_2025q4,3.8230499265721525,0.0767325551568292,-0.0014639169913693074,negative,0.05664333838784297,48,-1.955262111987074,direct_quarterly,qe_factor_quarterly_mean,weak_instrument_warning_below_rule_of_thumb_10
target,quarterly_mean,d_ecb_assets_ea_qavg,robustness_2005q1_2025q4,3.635100319183368,0.042950268924764744,-27479.961223115475,negative,0.0601192329339383,83,-1.9065939051574061,direct_quarterly,target_factor_quarterly_mean,weak_instrument_warning_below_rule_of_thumb_10
target,monthly_mean,d_ecb_assets_ea_qavg,robustness_2005q1_2025q4,3.5697816564256635,0.042716177853639084,-27380.871900827424,negative,0.06246302575849294,82,-1.8893865820486986,monthly_bridge_quarterly,target_factor_monthly_mean,weak_instrument_warning_below_rule_of_thumb_10
qe,monthly_mean,d_ln_nfc_loans_ea_stock,robustness_2005q1_2025q4,3.5255240996946218,0.07265298345776772,-0.0014278687456408523,negative,0.06692109993021489,47,-1.8776379043081288,monthly_bridge_quarterly,qe_factor_monthly_mean,weak_instrument_warning_below_rule_of_thumb_10
target,quarterly_abs_sum,d_ecb_assets_ea_qavg,robustness_2005q1_2025q4,3.3293522989992987,0.03948034946592145,-10814.65914249396,negative,0.07174067010466355,83,-1.8246512814779976,direct_quarterly,target_factor_quarterly_abs_sum,weak_instrument_warning_below_rule_of_thumb_10
target,monthly_abs_sum,d_ecb_assets_ea_qavg,robustness_2005q1_2025q4,3.28515477851107,0.039444661983850854,-10829.871216012789,negative,0.07366062127243302,82,-1.812499594071974,monthly_bridge_quarterly,target_factor_monthly_abs_sum,weak_instrument_warning_below_rule_of_thumb_10
timing,market_magnitude_weighted,d_ln_ecb_assets_ea_stock,robustness_2005q1_2025q4,3.144100625673501,0.037365669159154256,-0.0006456630721609171,negative,0.07996106018085276,83,-1.7731611956259083,weighted_event_quarterly,timing_factor_market_magnitude_weighted_quarterly_sum,weak_instrument_warning_below_rule_of_thumb_10
target,crisis_weighted,d_ecb_assets_ea_qavg,robustness_2005q1_2025q4,2.9977068056543152,0.03568796006050637,-8034.308772457322,negative,0.08718971810746222,83,-1.7313886928284807,weighted_event_quarterly,target_factor_crisis_weighted_quarterly_sum,weak_instrument_warning_below_rule_of_thumb_10
timing,quarterly_abs_sum,d_dfr_eop,robustness_2005q1_2025q4,2.9575846629308544,0.03522712897000113,-0.02071012066219837,negative,0.08929449424453882,83,-1.7197629670773977,direct_quarterly,timing_factor_quarterly_abs_sum,weak_instrument_warning_below_rule_of_thumb_10
timing,monthly_abs_sum,d_dfr_eop,robustness_2005q1_2025q4,2.949234914221406,0.03555469700559912,-0.020869941315476082,negative,0.08978727819768874,82,-1.717333664207805,monthly_bridge_quarterly,timing_factor_monthly_abs_sum,weak_instrument_warning_below_rule_of_thumb_10
fg,quarterly_abs_sum,d_ecb_assets_ea_qavg,robustness_2005q1_2025q4,2.9135190639610107,0.03472049672640058,-7398.02032132515,negative,0.09167102693837846,83,-1.7069033551906243,direct_quarterly,fg_factor_quarterly_abs_sum,weak_instrument_warning_below_rule_of_thumb_10
fg,monthly_abs_sum,d_ecb_assets_ea_qavg,robustness_2005q1_2025q4,2.8973595199842985,0.03495116776651763,-7450.2596072151455,negative,0.0926079065523387,82,-1.7021631884118216,monthly_bridge_quarterly,fg_factor_monthly_abs_sum,weak_instrument_warning_below_rule_of_thumb_10
qe,qe_event_weighted,d_ln_nfc_loans_ea_stock,robustness_2005q1_2025q4,2.844034560179239,0.05822685586456195,-0.00016250038178646184,negative,0.09848553346149577,48,-1.6864265653088009,weighted_event_quarterly,qe_factor_qe_event_weighted_quarterly_sum,weak_instrument_warning_below_rule_of_thumb_10
target,quarterly_sum,d_ecb_assets_ea_qavg,robustness_2005q1_2025q4,2.781374558942276,0.03319800580480462,-11280.980951385729,negative,0.0992281084176801,83,-1.6677453519474357,direct_quarterly,target_factor_quarterly_sum,weak_instrument_warning_below_rule_of_thumb_10
target,quarterly_signed_cumulative,d_ecb_assets_ea_qavg,robustness_2005q1_2025q4,2.781374558942276,0.03319800580480462,-11280.980951385729,negative,0.0992281084176801,83,-1.6677453519474357,direct_quarterly,target_factor_quarterly_signed_cumulative,weak_instrument_warning_below_rule_of_thumb_10
