KEY,FREQ,REF_AREA,BS_REP_SECTOR,BS_ITEM,MATURITY_NOT_IRATE,DATA_TYPE_MIR,AMOUNT_CAT,BS_COUNT_SECTOR,CURRENCY_TRANS,IR_BUS_COV,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_CONF,OBS_PRE_BREAK,OBS_COM,TIME_FORMAT,BREAKS,COLLECTION,COMPILING_ORG,DISS_ORG,DOM_SER_IDS,PUBL_ECB,PUBL_MU,PUBL_PUBLIC,UNIT_INDEX_BASE,COMPILATION,COVERAGE,DECIMALS,NAT_TITLE,SOURCE_AGENCY,TITLE,TITLE_COMPL,UNIT,UNIT_MULT
MIR.M.U2.B.A2C.A.B.A.2250.EUR.P,M,U2,B,A2C,A,B,A,2250,EUR,P,2018-06,57555.93,A,F,,,P1M,,S,,,,,,,,,,0,,4F0,Bank business volumes - loans to households for house purchase (pure new loans) ,"Euro area (changing composition), Business volume (outstanding amount / new business), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Lending for house purchase excluding revolving loans and overdrafts, convenience and extended credit card debt, Total initial rate fixation, Pure new loans business coverage, Households and non-profit institutions serving households (S.14 and S.15) sector, denominated in Euro",EUR,6
MIR.M.U2.B.A2C.A.B.A.2250.EUR.P,M,U2,B,A2C,A,B,A,2250,EUR,P,2018-07,60967.93,A,F,,,P1M,,S,,,,,,,,,,0,,4F0,Bank business volumes - loans to households for house purchase (pure new loans) ,"Euro area (changing composition), Business volume (outstanding amount / new business), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Lending for house purchase excluding revolving loans and overdrafts, convenience and extended credit card debt, Total initial rate fixation, Pure new loans business coverage, Households and non-profit institutions serving households (S.14 and S.15) sector, denominated in Euro",EUR,6
MIR.M.U2.B.A2C.A.B.A.2250.EUR.P,M,U2,B,A2C,A,B,A,2250,EUR,P,2018-08,51089.33,A,F,,,P1M,,S,,,,,,,,,,0,,4F0,Bank business volumes - loans to households for house purchase (pure new loans) ,"Euro area (changing composition), Business volume (outstanding amount / new business), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Lending for house purchase excluding revolving loans and overdrafts, convenience and extended credit card debt, Total initial rate fixation, Pure new loans business coverage, Households and non-profit institutions serving households (S.14 and S.15) sector, denominated in Euro",EUR,6
MIR.M.U2.B.A2C.A.B.A.2250.EUR.P,M,U2,B,A2C,A,B,A,2250,EUR,P,2018-09,49634.08,A,F,,,P1M,,S,,,,,,,,,,0,,4F0,Bank business volumes - loans to households for house purchase (pure new loans) ,"Euro area (changing composition), Business volume (outstanding amount / new business), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Lending for house purchase excluding revolving loans and overdrafts, convenience and extended credit card debt, Total initial rate fixation, Pure new loans business coverage, Households and non-profit institutions serving households (S.14 and S.15) sector, denominated in Euro",EUR,6
MIR.M.U2.B.A2C.A.B.A.2250.EUR.P,M,U2,B,A2C,A,B,A,2250,EUR,P,2018-10,56348.04,A,F,,,P1M,,S,,,,,,,,,,0,,4F0,Bank business volumes - loans to households for house purchase (pure new loans) ,"Euro area (changing composition), Business volume (outstanding amount / new business), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Lending for house purchase excluding revolving loans and overdrafts, convenience and extended credit card debt, Total initial rate fixation, Pure new loans business coverage, Households and non-profit institutions serving households (S.14 and S.15) sector, denominated in Euro",EUR,6
MIR.M.U2.B.A2C.A.B.A.2250.EUR.P,M,U2,B,A2C,A,B,A,2250,EUR,P,2018-11,52757.17,A,F,,,P1M,,S,,,,,,,,,,0,,4F0,Bank business volumes - loans to households for house purchase (pure new loans) ,"Euro area (changing composition), Business volume (outstanding amount / new business), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Lending for house purchase excluding revolving loans and overdrafts, convenience and extended credit card debt, Total initial rate fixation, Pure new loans business coverage, Households and non-profit institutions serving households (S.14 and S.15) sector, denominated in Euro",EUR,6
MIR.M.U2.B.A2C.A.B.A.2250.EUR.P,M,U2,B,A2C,A,B,A,2250,EUR,P,2018-12,55025.44,A,F,,,P1M,,S,,,,,,,,,,0,,4F0,Bank business volumes - loans to households for house purchase (pure new loans) ,"Euro area (changing composition), Business volume (outstanding amount / new business), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Lending for house purchase excluding revolving loans and overdrafts, convenience and extended credit card debt, Total initial rate fixation, Pure new loans business coverage, Households and non-profit institutions serving households (S.14 and S.15) sector, denominated in Euro",EUR,6
MIR.M.U2.B.A2C.A.B.A.2250.EUR.P,M,U2,B,A2C,A,B,A,2250,EUR,P,2019-01,50309.41,A,F,,,P1M,,S,,,,,,,,,,0,,4F0,Bank business volumes - loans to households for house purchase (pure new loans) ,"Euro area (changing composition), Business volume (outstanding amount / new business), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Lending for house purchase excluding revolving loans and overdrafts, convenience and extended credit card debt, Total initial rate fixation, Pure new loans business coverage, Households and non-profit institutions serving households (S.14 and S.15) sector, denominated in Euro",EUR,6
MIR.M.U2.B.A2C.A.B.A.2250.EUR.P,M,U2,B,A2C,A,B,A,2250,EUR,P,2019-02,48879.5,A,F,,,P1M,,S,,,,,,,,,,0,,4F0,Bank business volumes - loans to households for house purchase (pure new loans) ,"Euro area (changing composition), Business volume (outstanding amount / new business), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Lending for house purchase excluding revolving loans and overdrafts, convenience and extended credit card debt, Total initial rate fixation, Pure new loans business coverage, Households and non-profit institutions serving households (S.14 and S.15) sector, denominated in Euro",EUR,6
MIR.M.U2.B.A2C.A.B.A.2250.EUR.P,M,U2,B,A2C,A,B,A,2250,EUR,P,2019-03,54146.32,A,F,,,P1M,,S,,,,,,,,,,0,,4F0,Bank business volumes - loans to households for house purchase (pure new loans) ,"Euro area (changing composition), Business volume (outstanding amount / new business), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Lending for house purchase excluding revolving loans and overdrafts, convenience and extended credit card debt, Total initial rate fixation, Pure new loans business coverage, Households and non-profit institutions serving households (S.14 and S.15) sector, denominated in Euro",EUR,6
MIR.M.U2.B.A2C.A.B.A.2250.EUR.P,M,U2,B,A2C,A,B,A,2250,EUR,P,2019-04,56128.46,A,F,,,P1M,,S,,,,,,,,,,0,,4F0,Bank business volumes - loans to households for house purchase (pure new loans) ,"Euro area (changing composition), Business volume (outstanding amount / new business), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Lending for house purchase excluding revolving loans and overdrafts, convenience and extended credit card debt, Total initial rate fixation, Pure new loans business coverage, Households and non-profit institutions serving households (S.14 and S.15) sector, denominated in Euro",EUR,6
