TIME_PERIOD,OBS_VALUE,AGE,AGE_LABEL,FREQ,FREQ_LABEL,GEO,GEO_LABEL,SEX,SEX_LABEL,SOURCE_URL,S_ADJ,S_ADJ_LABEL,TITLE,UNIT,UNIT_LABEL
2001-05,8.8,TOTAL,Total,M,Monthly,EA21,Euro area – 21 countries (from 2026),T,Total,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/une_rt_m?geo=EA21&sex=T&age=TOTAL&s_adj=SA&unit=PC_ACT,SA,"Seasonally adjusted data, not calendar adjusted data",Unemployment by sex and age - monthly data,PC_ACT,Percentage of population in the labour force
2001-06,8.7,TOTAL,Total,M,Monthly,EA21,Euro area – 21 countries (from 2026),T,Total,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/une_rt_m?geo=EA21&sex=T&age=TOTAL&s_adj=SA&unit=PC_ACT,SA,"Seasonally adjusted data, not calendar adjusted data",Unemployment by sex and age - monthly data,PC_ACT,Percentage of population in the labour force
2001-07,8.7,TOTAL,Total,M,Monthly,EA21,Euro area – 21 countries (from 2026),T,Total,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/une_rt_m?geo=EA21&sex=T&age=TOTAL&s_adj=SA&unit=PC_ACT,SA,"Seasonally adjusted data, not calendar adjusted data",Unemployment by sex and age - monthly data,PC_ACT,Percentage of population in the labour force
2001-08,8.7,TOTAL,Total,M,Monthly,EA21,Euro area – 21 countries (from 2026),T,Total,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/une_rt_m?geo=EA21&sex=T&age=TOTAL&s_adj=SA&unit=PC_ACT,SA,"Seasonally adjusted data, not calendar adjusted data",Unemployment by sex and age - monthly data,PC_ACT,Percentage of population in the labour force
2001-09,8.8,TOTAL,Total,M,Monthly,EA21,Euro area – 21 countries (from 2026),T,Total,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/une_rt_m?geo=EA21&sex=T&age=TOTAL&s_adj=SA&unit=PC_ACT,SA,"Seasonally adjusted data, not calendar adjusted data",Unemployment by sex and age - monthly data,PC_ACT,Percentage of population in the labour force
2001-10,8.8,TOTAL,Total,M,Monthly,EA21,Euro area – 21 countries (from 2026),T,Total,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/une_rt_m?geo=EA21&sex=T&age=TOTAL&s_adj=SA&unit=PC_ACT,SA,"Seasonally adjusted data, not calendar adjusted data",Unemployment by sex and age - monthly data,PC_ACT,Percentage of population in the labour force
2001-11,8.8,TOTAL,Total,M,Monthly,EA21,Euro area – 21 countries (from 2026),T,Total,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/une_rt_m?geo=EA21&sex=T&age=TOTAL&s_adj=SA&unit=PC_ACT,SA,"Seasonally adjusted data, not calendar adjusted data",Unemployment by sex and age - monthly data,PC_ACT,Percentage of population in the labour force
2001-12,8.8,TOTAL,Total,M,Monthly,EA21,Euro area – 21 countries (from 2026),T,Total,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/une_rt_m?geo=EA21&sex=T&age=TOTAL&s_adj=SA&unit=PC_ACT,SA,"Seasonally adjusted data, not calendar adjusted data",Unemployment by sex and age - monthly data,PC_ACT,Percentage of population in the labour force
2002-01,8.8,TOTAL,Total,M,Monthly,EA21,Euro area – 21 countries (from 2026),T,Total,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/une_rt_m?geo=EA21&sex=T&age=TOTAL&s_adj=SA&unit=PC_ACT,SA,"Seasonally adjusted data, not calendar adjusted data",Unemployment by sex and age - monthly data,PC_ACT,Percentage of population in the labour force
2002-02,8.8,TOTAL,Total,M,Monthly,EA21,Euro area – 21 countries (from 2026),T,Total,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/une_rt_m?geo=EA21&sex=T&age=TOTAL&s_adj=SA&unit=PC_ACT,SA,"Seasonally adjusted data, not calendar adjusted data",Unemployment by sex and age - monthly data,PC_ACT,Percentage of population in the labour force
