response,response_label,channel,shock,horizon_months,cumulative_ci_68_low,cumulative_ci_68_high,cumulative_ci_90_low,cumulative_ci_90_high,cumulative_ci_95_low,cumulative_ci_95_high,bootstrap_replications,bootstrap_method,block_length,interval_note,source_method
ecb_mir_nfc_lending_spread_dfr,NFC lending spread,banking_lending_conditions,target_factor_monthly_easing,6,0.011276733475023521,0.06331786313767448,-0.0035948718857333876,0.08069288282360945,-0.007831502755198332,0.08878467796127336,399,moving_block,12,joint horizon residual resampling preserves empirical cross-horizon residual covariance,moving_block
ecb_mir_nfc_lending_spread_dfr,NFC lending spread,banking_lending_conditions,target_factor_monthly_easing,12,0.02255153207443563,0.10026262598515306,0.007864357806725652,0.1252803062536294,-0.005253756355541435,0.1377385948665771,399,moving_block,12,joint horizon residual resampling preserves empirical cross-horizon residual covariance,moving_block
ecb_mir_nfc_lending_spread_dfr,NFC lending spread,banking_lending_conditions,target_factor_monthly_easing,24,0.021426863652148593,0.12184665805361543,-0.010994733685602177,0.1554459076077078,-0.02399156004187572,0.17278855347519828,399,moving_block,12,joint horizon residual resampling preserves empirical cross-horizon residual covariance,moving_block
ln_nfc_loans_ea_stock,NFC credit,financial_credit,target_factor_monthly_easing,0,-0.0004940708409810368,0.00016431982436941627,-0.0007513971721830916,0.00045165358142482755,-0.0009397014130477437,0.000580623127870455,399,moving_block,12,joint horizon residual resampling preserves empirical cross-horizon residual covariance,moving_block
ln_nfc_loans_ea_stock,NFC credit,financial_credit,target_factor_monthly_easing,1,-0.0018441652890355117,-0.0002854105654714287,-0.0023987576475400004,0.00046073406971215643,-0.002757792403272574,0.0007538182246160379,399,moving_block,12,joint horizon residual resampling preserves empirical cross-horizon residual covariance,moving_block
ln_nfc_loans_ea_stock,NFC credit,financial_credit,target_factor_monthly_easing,3,-0.003085444972513683,-6.529202374674255e-05,-0.003894435225753414,0.0011046481880313385,-0.0048309060705218005,0.001637192472456026,399,moving_block,12,joint horizon residual resampling preserves empirical cross-horizon residual covariance,moving_block
ln_nfc_loans_ea_stock,NFC credit,financial_credit,target_factor_monthly_easing,6,-0.003823652774725169,0.0013310815763697876,-0.005450454755648437,0.002837086248406239,-0.006237966573934266,0.0037008310964712393,399,moving_block,12,joint horizon residual resampling preserves empirical cross-horizon residual covariance,moving_block
ln_nfc_loans_ea_stock,NFC credit,financial_credit,target_factor_monthly_easing,12,-0.005002020555581157,0.003012129381627833,-0.00806087843281856,0.005548590525706518,-0.009442461607514002,0.006842768361315584,399,moving_block,12,joint horizon residual resampling preserves empirical cross-horizon residual covariance,moving_block
ln_nfc_loans_ea_stock,NFC credit,financial_credit,target_factor_monthly_easing,24,-0.008690548547920503,0.0040897046256024115,-0.013353778118208436,0.00865496994495247,-0.015407999078435475,0.011479108043202181,399,moving_block,12,joint horizon residual resampling preserves empirical cross-horizon residual covariance,moving_block
ecb_house_purchase_growth_yoy,house-purchase lending growth,housing_finance,target_factor_monthly_easing,0,0.030810045337905004,0.06376711794196015,0.02026813554303347,0.07743160390342305,0.017209467061044308,0.08446972031175198,399,moving_block,12,joint horizon residual resampling preserves empirical cross-horizon residual covariance,moving_block
ecb_house_purchase_growth_yoy,house-purchase lending growth,housing_finance,target_factor_monthly_easing,1,0.05847796521180497,0.13783622601998083,0.03396941296671047,0.16248740824991437,0.026958663805668352,0.17292179110017647,399,moving_block,12,joint horizon residual resampling preserves empirical cross-horizon residual covariance,moving_block
ecb_house_purchase_growth_yoy,house-purchase lending growth,housing_finance,target_factor_monthly_easing,3,0.15736681739102712,0.2996418538299642,0.1177637532800265,0.34060847790339177,0.08416916240797974,0.361406300229403,399,moving_block,12,joint horizon residual resampling preserves empirical cross-horizon residual covariance,moving_block
ecb_house_purchase_growth_yoy,house-purchase lending growth,housing_finance,target_factor_monthly_easing,6,0.25172826792807884,0.48782114456710485,0.16682179548020312,0.5445966408844726,0.12216481704872242,0.5681763118622007,399,moving_block,12,joint horizon residual resampling preserves empirical cross-horizon residual covariance,moving_block
ecb_house_purchase_growth_yoy,house-purchase lending growth,housing_finance,target_factor_monthly_easing,12,0.25771090199410845,0.6255935561199025,0.10889662019329692,0.7309733027089568,0.041959391297650465,0.7745984941072313,399,moving_block,12,joint horizon residual resampling preserves empirical cross-horizon residual covariance,moving_block
ecb_house_purchase_growth_yoy,house-purchase lending growth,housing_finance,target_factor_monthly_easing,24,0.06666665311168468,0.5827952318245364,-0.07781358506422009,0.7344444504392901,-0.17513279406366022,0.8050812482919553,399,moving_block,12,joint horizon residual resampling preserves empirical cross-horizon residual covariance,moving_block
ln_ecb_house_purchase_pure_new_loans,pure new house-purchase loans,housing_finance,target_factor_monthly_easing,0,-0.022828891050892735,0.004274208821835322,-0.03185490111942462,0.01156224157617205,-0.034927663804853404,0.015481095958089525,399,moving_block,12,joint horizon residual resampling preserves empirical cross-horizon residual covariance,moving_block
ln_ecb_house_purchase_pure_new_loans,pure new house-purchase loans,housing_finance,target_factor_monthly_easing,1,-0.015249235619672206,0.019400956443996274,-0.029269476459768917,0.031252096427065404,-0.033887877054913064,0.04309111239868405,399,moving_block,12,joint horizon residual resampling preserves empirical cross-horizon residual covariance,moving_block
ln_ecb_house_purchase_pure_new_loans,pure new house-purchase loans,housing_finance,target_factor_monthly_easing,3,-0.02530103771332933,0.02874731485403024,-0.0497990172740661,0.04842313084389026,-0.06059608799231567,0.06031723500104339,399,moving_block,12,joint horizon residual resampling preserves empirical cross-horizon residual covariance,moving_block
ln_ecb_house_purchase_pure_new_loans,pure new house-purchase loans,housing_finance,target_factor_monthly_easing,6,-0.016874108272022195,0.053891607856761926,-0.04197529539392961,0.08225410212419196,-0.05698639774465222,0.09375818911977434,399,moving_block,12,joint horizon residual resampling preserves empirical cross-horizon residual covariance,moving_block
ln_ecb_house_purchase_pure_new_loans,pure new house-purchase loans,housing_finance,target_factor_monthly_easing,12,-0.02756882494156779,0.06014085888352328,-0.06530578091804994,0.09108000759781626,-0.07551562199282211,0.11484065701140059,399,moving_block,12,joint horizon residual resampling preserves empirical cross-horizon residual covariance,moving_block
ln_ecb_house_purchase_pure_new_loans,pure new house-purchase loans,housing_finance,target_factor_monthly_easing,24,-0.06227370924976045,0.035946155706035016,-0.08803134202456864,0.07280887070995641,-0.11068787581342723,0.0842445007054825,399,moving_block,12,joint horizon residual resampling preserves empirical cross-horizon residual covariance,moving_block
ecb_wage_tracker_ex_oneoffs_real_yoy,real wage tracker excl. one-offs,compensation_proxy,target_factor_monthly_easing,0,-0.10264446700967415,-0.03753019357863522,-0.13129772742895385,-0.019056178856481715,-0.13872681643416154,-0.005876224061836577,399,moving_block,12,joint horizon residual resampling preserves empirical cross-horizon residual covariance,moving_block
ecb_wage_tracker_ex_oneoffs_real_yoy,real wage tracker excl. one-offs,compensation_proxy,target_factor_monthly_easing,1,-0.1580865352508413,-0.010468459907793581,-0.2053155743554277,0.032540982134165015,-0.22744263027186246,0.0629149816857431,399,moving_block,12,joint horizon residual resampling preserves empirical cross-horizon residual covariance,moving_block
ecb_wage_tracker_ex_oneoffs_real_yoy,real wage tracker excl. one-offs,compensation_proxy,target_factor_monthly_easing,3,-0.2745515107134557,-0.052566571897982764,-0.34551631352436624,0.046904610383996605,-0.36822529633666823,0.10820638111962913,399,moving_block,12,joint horizon residual resampling preserves empirical cross-horizon residual covariance,moving_block
ecb_wage_tracker_ex_oneoffs_real_yoy,real wage tracker excl. one-offs,compensation_proxy,target_factor_monthly_easing,6,-0.4137018384418992,-0.08629973859220183,-0.5301654479241822,0.06136178049160615,-0.5966151534452933,0.14687557264662435,399,moving_block,12,joint horizon residual resampling preserves empirical cross-horizon residual covariance,moving_block
ecb_wage_tracker_ex_oneoffs_real_yoy,real wage tracker excl. one-offs,compensation_proxy,target_factor_monthly_easing,12,-0.5756983554580953,-0.015271116578709141,-0.7256271952774693,0.17537822271993056,-0.7972046478319361,0.25635875603607033,399,moving_block,12,joint horizon residual resampling preserves empirical cross-horizon residual covariance,moving_block
ecb_wage_tracker_ex_oneoffs_real_yoy,real wage tracker excl. one-offs,compensation_proxy,target_factor_monthly_easing,24,-0.3760679520504189,0.30225945743259536,-0.578334656304785,0.5328870437515966,-0.6267645037734697,0.7064457714062002,399,moving_block,12,joint horizon residual resampling preserves empirical cross-horizon residual covariance,moving_block
eurostat_sts_industry_wage_bill_de_real_yoy,German industry real wage bill growth,compensation_proxy,target_factor_monthly_easing,0,0.050428428886482336,0.3392528672315283,-0.05419131826317693,0.46609406741388926,-0.10258518920894279,0.5111428164473794,399,moving_block,12,joint horizon residual resampling preserves empirical cross-horizon residual covariance,moving_block
eurostat_sts_industry_wage_bill_de_real_yoy,German industry real wage bill growth,compensation_proxy,target_factor_monthly_easing,1,0.3541858254548039,0.8272144780782859,0.17772450754828037,1.018131285475829,0.13301025488504162,1.169013398961184,399,moving_block,12,joint horizon residual resampling preserves empirical cross-horizon residual covariance,moving_block
eurostat_sts_industry_wage_bill_de_real_yoy,German industry real wage bill growth,compensation_proxy,target_factor_monthly_easing,3,0.5960785786049557,1.2920223915164424,0.34189390920021184,1.5469487563419015,0.2385556700454162,1.7346203699892728,399,moving_block,12,joint horizon residual resampling preserves empirical cross-horizon residual covariance,moving_block
eurostat_sts_industry_wage_bill_de_real_yoy,German industry real wage bill growth,compensation_proxy,target_factor_monthly_easing,6,0.9149032853849616,1.8187480092672483,0.6262239109371767,2.1358314801116993,0.5064635835970466,2.326687023141285,399,moving_block,12,joint horizon residual resampling preserves empirical cross-horizon residual covariance,moving_block
eurostat_sts_industry_wage_bill_de_real_yoy,German industry real wage bill growth,compensation_proxy,target_factor_monthly_easing,12,1.0877762005396836,2.1133143896283655,0.720531395951071,2.4887153699507043,0.4865494154534748,2.6978243884860875,399,moving_block,12,joint horizon residual resampling preserves empirical cross-horizon residual covariance,moving_block
eurostat_sts_industry_wage_bill_de_real_yoy,German industry real wage bill growth,compensation_proxy,target_factor_monthly_easing,24,0.9452548590686433,1.9878325537574433,0.5362189933334416,2.458096600393943,0.3868729505711155,2.7175404949736115,399,moving_block,12,joint horizon residual resampling preserves empirical cross-horizon residual covariance,moving_block
eurostat_ecfin_eei_ea20,employment expectations,labor_tightness,target_factor_monthly_easing,0,0.2804974052311845,0.5453944388892767,0.1546548459762209,0.6629918890929993,0.0964555665762085,0.7685323327088316,399,moving_block,12,joint horizon residual resampling preserves empirical cross-horizon residual covariance,moving_block
eurostat_ecfin_eei_ea20,employment expectations,labor_tightness,target_factor_monthly_easing,1,1.2561892606178044,2.0108517561626775,0.9034452834514629,2.3394554234129816,0.7308846050257761,2.754121802493244,399,moving_block,12,joint horizon residual resampling preserves empirical cross-horizon residual covariance,moving_block
eurostat_ecfin_eei_ea20,employment expectations,labor_tightness,target_factor_monthly_easing,3,1.5665480869470516,2.979561322198539,1.2082280711942037,3.664124163026021,0.9781961696840201,4.054732887656209,399,moving_block,12,joint horizon residual resampling preserves empirical cross-horizon residual covariance,moving_block
eurostat_ecfin_eei_ea20,employment expectations,labor_tightness,target_factor_monthly_easing,6,1.651162999368861,3.789007543173085,1.0179574710859522,4.63196730300253,0.7119008437576423,4.986032988910035,399,moving_block,12,joint horizon residual resampling preserves empirical cross-horizon residual covariance,moving_block
eurostat_ecfin_eei_ea20,employment expectations,labor_tightness,target_factor_monthly_easing,12,1.5052324697319475,4.5267511212623965,0.5788166368532724,5.40345040158979,0.18051195401788947,6.144915543411094,399,moving_block,12,joint horizon residual resampling preserves empirical cross-horizon residual covariance,moving_block
eurostat_ecfin_eei_ea20,employment expectations,labor_tightness,target_factor_monthly_easing,24,0.4750956737992916,3.8040444449409807,-0.46201206924550303,4.863369457104735,-0.8348455455631352,5.291884108160134,399,moving_block,12,joint horizon residual resampling preserves empirical cross-horizon residual covariance,moving_block
ln_ecb_assets_ea_stock,ECB assets,financial_liquidity,target_factor_monthly_easing,0,-0.006691423215048603,-0.0007473483185112951,-0.00830874162148381,0.0012073024008968866,-0.008921263096647156,0.0016964659432416181,399,wild,0,joint horizon residual resampling preserves empirical cross-horizon residual covariance,wild
