specification,response,horizon,nobs,hac_bandwidth,residual_mean,residual_std,jarque_bera_stat,breusch_pagan_lm_stat,max_leverage,mean_leverage,max_abs_standardized_residual,outlier_count_abs_std_gt_2,max_cooks_distance,residual_autocorr_lag_1,residual_autocorr_lag_2,residual_autocorr_lag_4,residual_autocorr_lag_8
robustness,ln_ecb_assets_ea_stock,0,81,1,-2.3081506310233778e-05,0.04655012186835097,5.926479380557735,23.485160089831254,0.5778110766817361,0.12345679002343,2.6000507803359323,5,0.22180116657698676,0.007207973855093256,0.12243753469466838,0.13880228902063718,-0.16443629218875946
robustness,ln_ecb_assets_ea_stock,1,80,2,-6.077791497455659e-05,0.0773363925373446,24.951808684931102,11.160808840512413,0.5817742749993986,0.12499999959963688,3.1531624805364364,4,0.21344306454390288,0.3182531949684252,0.008431084662319397,-0.03365956958743118,-0.22139995948192476
robustness,ln_ecb_assets_ea_stock,2,79,3,-9.281568338680702e-05,0.10395252521619366,10.859558913386515,11.360683994058409,0.5867152483444311,0.12658227829168803,2.9224268087124012,5,0.1759045718242982,0.5508278088987261,0.24524421034771246,-0.02152249006681274,-0.23837019937132306
robustness,ln_ecb_assets_ea_stock,4,77,5,-0.0001559380468186836,0.15408282665417483,2.397441316881884,14.906147574144898,0.5916002189556968,0.12987012983237672,2.5434190479492234,3,0.15389265648102338,0.7051266596152616,0.45930971888919253,-0.04019899933371307,-0.3562177985848027
robustness,ln_ecb_assets_ea_stock,8,73,9,-0.0001898968328470705,0.1999540413843104,1.6775447548371918,22.076906180544697,0.6009570545168588,0.13698630131804723,2.0658724202797756,2,0.2779576454663569,0.8002387352895861,0.7165553646408865,0.28822400656624886,-0.46625241007006973
robustness,ln_ecb_assets_ea_stock,12,69,13,-6.456052925609078e-05,0.19976845070661342,3.183724047635756,17.2341079259133,0.6107646310131836,0.14492753645360285,2.5722186958462427,2,0.6057960541688031,0.6942799479281171,0.6411628495948383,0.37352763580077564,-0.40142763577539275
robustness,ln_ecb_assets_ea_stock,16,65,17,-3.16232967641093e-05,0.15535388597918023,0.4690790583898341,14.605590795893074,0.6837967058043786,0.1538461539112856,2.5197488987695986,3,0.4706740109272017,0.6470864158783115,0.43702965706923375,0.17387513466502807,-0.20806547436253686
robustness,ln_hh_loans_ea_stock,0,81,1,6.11105835588734e-08,0.0026445613320194715,7.436214859838016,24.650488883587272,0.5778110766817361,0.12345679002343,3.1536711606784933,4,0.5648908656912438,0.18055002851428578,-0.09380037336665137,0.24550289506540768,0.18556601198272496
robustness,ln_hh_loans_ea_stock,1,80,2,2.9251815415914145e-07,0.004061078669014851,23.211130806510077,27.48394911782718,0.5817742749993986,0.12499999959963688,3.7092731470571474,5,1.2757568274280613,0.5256143656622646,0.028585555230428605,-0.03784507191401027,-0.005260059922559175
robustness,ln_hh_loans_ea_stock,2,79,3,1.153488285252291e-06,0.005483814918616018,41.84049992664988,25.533569129371134,0.5867152483444311,0.12658227829168803,4.066673624300265,5,1.2765045503157548,0.6295953101940573,0.2054883251798253,-0.18022839706265012,-0.037963381704554634
robustness,ln_hh_loans_ea_stock,4,77,5,3.5419986178954795e-06,0.008955743289529897,108.48077754773833,27.54867952217555,0.5916002189556968,0.12987012983237672,4.627284189743979,3,1.5231473955753803,0.5684466516470542,0.14363923290443434,-0.0157785488617114,-0.14381734795978784
robustness,ln_hh_loans_ea_stock,8,73,9,1.0273510348256756e-05,0.015138844617761682,48.62255337172823,32.49904811464524,0.6009570545168588,0.13698630131804723,4.2582497718180985,3,1.362270401585921,0.693703268334637,0.32250093538316044,-0.06569387101803843,-0.33163949699028666
robustness,ln_hh_loans_ea_stock,12,69,13,1.3846825617120691e-05,0.016853297924219697,1.5969162332202582,29.950646147252282,0.6107646310131836,0.14492753645360285,3.202673082765278,4,0.8287820651864541,0.7246480580755967,0.36677094166794466,0.025928806290176094,-0.23802134742780212
