lpiv_regime,observations,instrument_variance_component,policy_variance_component,first_stage_signal_component,instrument_variance_share,policy_variance_share,first_stage_signal_share
tightening,16,142054.5885455298,1083495592407.9492,941692039781.6007,0.845390265951055,0.2254803306796231,0.2786913356919028
pre_qe,34,13813.604576748125,874324389253.1157,638900364252.1394,0.08220703721328183,0.1819508577528438,0.18908091856523188
covid,8,10574.224516411035,2272219416384.0205,1190540343475.983,0.06292895264900049,0.47285913202868535,0.3523373507493688
qe,23,1591.9142751282584,575238246981.2979,607845782424.3921,0.00947374418666259,0.11970967953884787,0.1798903949934965
