response,response_label,channel,shock,horizon_months,cumulative_ci_68_low,cumulative_ci_68_high,cumulative_ci_90_low,cumulative_ci_90_high,cumulative_ci_95_low,cumulative_ci_95_high,bootstrap_replications,bootstrap_method,block_length,interval_note,source_method
ln_ecb_assets_ea_stock,ECB assets,financial_liquidity,target_factor_monthly_easing,0,-0.005798358500709004,-0.001271854117203991,-0.0077041385759449195,0.00013114659519162467,-0.009343630267442924,0.0013891934065453555,399,moving_block,12,joint horizon residual resampling preserves empirical cross-horizon residual covariance,moving_block
ln_ecb_assets_ea_stock,ECB assets,financial_liquidity,target_factor_monthly_easing,1,-0.01076849591096318,-0.00017873745407642194,-0.014375549842668877,0.004058334058823201,-0.016076439956869297,0.0055894899871103,399,moving_block,12,joint horizon residual resampling preserves empirical cross-horizon residual covariance,moving_block
ln_ecb_assets_ea_stock,ECB assets,financial_liquidity,target_factor_monthly_easing,3,-0.01715493351987261,0.0013548538333780025,-0.023211624954289613,0.007751239144638953,-0.025952839682636883,0.010555092506819613,399,moving_block,12,joint horizon residual resampling preserves empirical cross-horizon residual covariance,moving_block
ln_ecb_assets_ea_stock,ECB assets,financial_liquidity,target_factor_monthly_easing,6,-0.026266767770756934,0.004095296732965513,-0.03483890335070356,0.014664824239953318,-0.0397691293862813,0.019497119596544318,399,moving_block,12,joint horizon residual resampling preserves empirical cross-horizon residual covariance,moving_block
ln_ecb_assets_ea_stock,ECB assets,financial_liquidity,target_factor_monthly_easing,12,-0.043590635493591594,0.0038402335474490754,-0.05774238337186713,0.020899443593275654,-0.06634445015601612,0.028563156305323207,399,moving_block,12,joint horizon residual resampling preserves empirical cross-horizon residual covariance,moving_block
ln_ecb_assets_ea_stock,ECB assets,financial_liquidity,target_factor_monthly_easing,24,-0.06330731601383097,0.0035308716385498034,-0.08376040908502225,0.025744099745228333,-0.09059664244142655,0.0358407284812754,399,moving_block,12,joint horizon residual resampling preserves empirical cross-horizon residual covariance,moving_block
ln_dax_real_de,real DAX,financial_market,target_factor_monthly_easing,0,-0.004649583783563369,0.0017102522794009377,-0.006534478551726812,0.003813760921657331,-0.007550927901746113,0.005454694137380609,399,moving_block,12,joint horizon residual resampling preserves empirical cross-horizon residual covariance,moving_block
ln_dax_real_de,real DAX,financial_market,target_factor_monthly_easing,1,-0.010029652427745176,0.004810598062813443,-0.014654166707557467,0.008951082286120574,-0.01773465976027892,0.011843728832940804,399,moving_block,12,joint horizon residual resampling preserves empirical cross-horizon residual covariance,moving_block
ln_dax_real_de,real DAX,financial_market,target_factor_monthly_easing,3,-0.020532621939927706,0.003684202061259047,-0.02801310423519339,0.010185047035519151,-0.03161546826197611,0.015598607727105702,399,moving_block,12,joint horizon residual resampling preserves empirical cross-horizon residual covariance,moving_block
ln_dax_real_de,real DAX,financial_market,target_factor_monthly_easing,6,-0.0335450887319869,0.00037685410348318327,-0.04401719012357881,0.01094169087897949,-0.05068910484584234,0.01634399994541034,399,moving_block,12,joint horizon residual resampling preserves empirical cross-horizon residual covariance,moving_block
ln_dax_real_de,real DAX,financial_market,target_factor_monthly_easing,12,-0.06160025035491599,-0.015900775819713442,-0.07476660897464955,0.00041043093598263974,-0.08254991162323902,0.00478421430875149,399,moving_block,12,joint horizon residual resampling preserves empirical cross-horizon residual covariance,moving_block
