quarter,event_count,date,regime,identification_regime,timing_factor_market_magnitude_weighted_quarterly_sum,timing_factor_crisis_weighted_quarterly_sum,timing_factor_qe_event_weighted_quarterly_sum,target_factor_market_magnitude_weighted_quarterly_sum,target_factor_crisis_weighted_quarterly_sum,target_factor_qe_event_weighted_quarterly_sum,fg_factor_market_magnitude_weighted_quarterly_sum,fg_factor_crisis_weighted_quarterly_sum,fg_factor_qe_event_weighted_quarterly_sum,qe_factor_market_magnitude_weighted_quarterly_sum,qe_factor_crisis_weighted_quarterly_sum,qe_factor_qe_event_weighted_quarterly_sum
2002Q1,3,2002-03-31,pre_gfc,outside_identification_windows,3.985855832346685,3.276658292319481,3.276658292319481,0.17421454777625361,0.41681522911407776,0.41681522911407776,-2.156661038817114,-2.8042490741418136,-2.8042490741418136,,,
2002Q2,3,2002-06-30,pre_gfc,outside_identification_windows,4.103847735229758,2.2414520215714067,2.2414520215714067,-2.9705286791647167,-1.6694712852963183,-1.6694712852963183,13.459453178449996,6.572041794639975,6.572041794639975,,,
2002Q3,3,2002-09-30,pre_gfc,outside_identification_windows,-3.84931323126186,-2.1764878131319403,-2.1764878131319403,-0.19083202186315606,-0.49407060233544453,-0.49407060233544453,-5.3235504284749755,-4.6310071315836145,-4.6310071315836145,,,
2002Q4,3,2002-12-31,pre_gfc,outside_identification_windows,-3.2440175894614063,-1.737948095152325,-1.737948095152325,36.045673045297704,5.382212067044704,5.382212067044704,2.4844897279185005,1.5584938802752728,1.5584938802752728,,,
2003Q1,3,2003-03-31,pre_gfc,outside_identification_windows,3.5527845116504615,3.2719727352181875,3.2719727352181875,57.81174975696835,10.194823090612777,10.194823090612777,-5.646469143428795,-3.1913170449929464,-3.1913170449929464,,,
2003Q2,3,2003-06-30,pre_gfc,outside_identification_windows,8.746005491859933,5.372797844894008,5.372797844894008,-20.44426569871049,-2.6475188505735647,-2.6475188505735647,-26.383351310297883,-6.1557900136661186,-6.1557900136661186,,,
2003Q3,3,2003-09-30,pre_gfc,outside_identification_windows,2.197595450254175,2.280446630172389,2.280446630172389,-0.05291612775036461,-0.3224704370413731,-0.3224704370413731,-5.127003476556186,-4.120241928935139,-4.120241928935139,,,
2003Q4,3,2003-12-31,pre_gfc,outside_identification_windows,0.4972657673724936,1.2120351813382984,1.2120351813382984,-0.2754134170596565,-0.6292081500632307,-0.6292081500632307,1.67921197753361,0.5428685894500127,0.5428685894500127,,,
2004Q1,3,2004-03-31,pre_gfc,outside_identification_windows,1.309337414736791,0.7516899751052327,0.7516899751052327,3.6457125674988533,2.171684183267428,2.171684183267428,-1.701992806747489,-2.0054584518929635,-2.0054584518929635,,,
2004Q2,3,2004-06-30,pre_gfc,outside_identification_windows,4.089074420333559,2.1893039330593274,2.1893039330593274,6.709268848945255,2.022086344212765,2.022086344212765,5.947091853808092,3.4319256404380174,3.4319256404380174,,,
2004Q3,3,2004-09-30,pre_gfc,outside_identification_windows,-0.5138153369728087,-0.6308620423010984,-0.6308620423010984,-0.256497315988712,-0.7214427017977066,-0.7214427017977066,2.232624556062549,3.1528575022859036,3.1528575022859036,,,
2004Q4,3,2004-12-31,pre_gfc,outside_identification_windows,-1.9559857841975172,-1.3674771206153404,-1.3674771206153404,-1.8920800958656696,-2.242567427908419,-2.242567427908419,1.6780064814039322,3.2722534281848352,3.2722534281848352,,,
2005Q1,3,2005-03-31,pre_gfc,pre_qe,-0.4423068901620043,-0.8151920879277004,-0.8151920879277004,-0.6666205092489471,-1.4626864025457558,-1.4626864025457558,-18.9114941566061,-7.267113411184894,-7.267113411184894,,,
2005Q2,3,2005-06-30,pre_gfc,pre_qe,-0.503428207241287,-0.5737312303352847,-0.5737312303352847,-0.6428319216617887,-1.0060530896767266,-1.0060530896767266,-0.7394735783198332,0.2515024866760194,0.2515024866760194,,,
2005Q3,3,2005-09-30,pre_gfc,pre_qe,0.6525176257259112,1.1677215068942588,1.1677215068942588,-0.4440880354057583,-1.1657138815292183,-1.1657138815292183,1.713345643895381,0.6121114161430574,0.6121114161430574,,,
2005Q4,3,2005-12-31,pre_gfc,pre_qe,-0.8459362234279988,-1.277092252643894,-1.277092252643894,-2.4231779580307258,-2.7328780584284464,-2.7328780584284464,-1.8281427622973938,-1.370815889898994,-1.370815889898994,,,
2006Q1,3,2006-03-31,pre_gfc,pre_qe,-0.7456120612047796,-1.153498709903572,-1.153498709903572,-2.0912084619294107,-2.213626333714953,-2.213626333714953,7.461768297217808,2.6623798767148545,2.6623798767148545,,,
2006Q2,3,2006-06-30,pre_gfc,pre_qe,-60.318348326859045,-9.8419349199939,-9.8419349199939,-6.9118343088777285,-4.403977876956471,-4.403977876956471,-0.03080224673524074,-0.012071437063162493,-0.012071437063162493,,,
2006Q3,3,2006-09-30,pre_gfc,pre_qe,5.1592709858911805,2.9084835548722507,2.9084835548722507,-3.255990318904489,-2.0564948357363333,-2.0564948357363333,6.4232327888329355,5.82181402102948,5.82181402102948,,,
2006Q4,3,2006-12-31,pre_gfc,pre_qe,0.4096031557342176,0.8614444028178438,0.8614444028178438,-1.670245018031492,-1.841927304599592,-1.841927304599592,6.410837066261054,4.093188187700301,4.093188187700301,,,
2007Q1,3,2007-03-31,pre_gfc,pre_qe,-10.172564268440357,-4.106902201253294,-4.106902201253294,-1.1684500009932333,-1.8254277956989622,-1.8254277956989622,25.792348051826288,4.771669518114098,4.771669518114098,,,
2007Q2,3,2007-06-30,pre_gfc,pre_qe,0.23602774810747135,0.5098960889067727,0.5098960889067727,-0.2300861872416099,-0.8786301753330578,-0.8786301753330578,-5.57039838253883,-4.491801512021106,-4.491801512021106,,,
2007Q3,3,2007-09-30,pre_gfc,pre_qe,-11.098398396684,-3.786083161189846,-3.786083161189846,-2.940378085000029,-2.7573727172486633,-2.7573727172486633,0.28190704065949695,1.0910042837144402,1.0910042837144402,,,
2007Q4,3,2007-12-31,pre_gfc,pre_qe,0.286908157631919,-0.22858437734192605,-0.22858437734192605,-2.166477556001535,-2.4235056267200874,-2.4235056267200874,5.862448609602559,0.09670229817302278,0.09670229817302278,,,
2008Q1,3,2008-03-31,pre_gfc,pre_qe,-1.3046668157460646,0.36963087069349543,0.36963087069349543,-0.5714302209466622,-1.131019905269148,-1.131019905269148,-2.048682505212613,-2.150726064905557,-2.150726064905557,,,
