date,quarter,regime,event_count,composite_pca_timing_fg_qe,composite_equal_weight_timing_fg_qe,composite_inverse_variance_timing_fg_qe,composite_qe_heavy_timing_fg_qe
2002-03-31,2002Q1,pre_gfc,3,1.0787998233894471,0.1953633269788084,0.4991815142046288,0.11721799618728504
2002-06-30,2002Q2,pre_gfc,3,-0.2215689726625355,0.6054695773957455,0.5461722679856048,0.3632817464374474
2002-09-30,2002Q3,pre_gfc,3,0.01730712153537324,-0.49063860568041684,-0.4881372121573364,-0.2943831634082501
2002-12-31,2002Q4,pre_gfc,3,-0.5802350958901468,-0.09966930659700861,-0.26305266984993303,-0.05980158395820517
2003-03-31,2003Q1,pre_gfc,3,1.121455051389612,0.17335082726159962,0.4890389434199743,0.10401049635695979
2003-06-30,2003Q2,pre_gfc,3,1.9449624142008872,0.23378078519836332,0.7809638274270213,0.140268471119018
2003-09-30,2003Q3,pre_gfc,3,0.9958921278029222,0.01545350463761258,0.2951303413530846,0.009272102782567543
2003-12-31,2003Q4,pre_gfc,3,0.2204652143896399,0.16007808404435428,0.2227442195852434,0.09604685042661257
2004-03-31,2004Q1,pre_gfc,3,0.4014280589709621,-0.030879696864198683,0.0816752065205342,-0.01852781811851921
2004-06-30,2004Q2,pre_gfc,3,0.1211876764836259,0.42537646621298525,0.461444696093388,0.25522587972779115
2004-09-30,2004Q3,pre_gfc,3,-0.503007532189813,0.10759409277192836,-0.033111207341611965,0.06455645566315701
2004-12-31,2004Q4,pre_gfc,3,-0.687776058084498,0.0352765829544299,-0.1576510783323283,0.02116594977265794
2005-03-31,2005Q1,pre_gfc,3,0.6317513913715159,-0.4912255194464874,-0.31621810040154485,-0.29473531166789246
2005-06-30,2005Q2,pre_gfc,3,-0.16182548865447238,-0.047517652090089305,-0.09317944888050794,-0.028510591254053582
2005-09-30,2005Q3,pre_gfc,3,0.2023360522101086,0.15917639932753713,0.2167483329677155,0.0955058395965223
2005-12-31,2005Q4,pre_gfc,3,-0.14202112513282772,-0.21306209744842589,-0.25395919906901937,-0.12783725846905555
2006-03-31,2006Q1,pre_gfc,3,-0.5690974245156281,0.024319310742827532,-0.1353412788981921,0.014591586445696525
2006-06-30,2006Q2,pre_gfc,3,-2.287044940576573,-1.0555591013245547,-1.702732746470137,-0.6333354607947328
2006-09-30,2006Q3,pre_gfc,3,0.0183140546685399,0.6352720871517954,0.6434665608324153,0.3811632522910773
2006-12-31,2006Q4,pre_gfc,3,-0.26229410519047164,0.31980040984747593,0.24769654376974318,0.1918802459084856
2007-03-31,2007Q1,pre_gfc,3,-1.4941940576704946,-0.17501714017356074,-0.5953619337595569,-0.10501028410413643
2007-06-30,2007Q2,pre_gfc,3,0.6262024704699167,-0.19496789102235995,-0.020094747115389375,-0.11698073461341599
2007-09-30,2007Q3,pre_gfc,3,-1.00362606675534,-0.3451741076399195,-0.6286067111082085,-0.2071044645839517
2007-12-31,2007Q4,pre_gfc,3,-0.06407843077973836,-0.01912638618956892,-0.03720869153273736,-0.011475831713741351
2008-03-31,2008Q1,pre_gfc,3,0.3290106297991449,-0.07990281046356884,0.012084900907310223,-0.047941686278141306
2008-06-30,2008Q2,pre_gfc,3,1.4089297562322824,1.613521252053618,2.016840084845954,0.9681127512321708
2008-09-30,2008Q3,gfc,3,6.000968545773174,-1.7247372500873004,-0.04821794443832672,-1.0348423500523805
2008-12-31,2008Q4,gfc,4,-1.5842370749216859,-0.3928802689587071,-0.8395520749577877,-0.2357281613752243
2009-03-31,2009Q1,gfc,3,0.6280654518701023,-0.3838568175950833,-0.20936830521168162,-0.23031409055705
2009-06-30,2009Q2,gfc,3,0.47599014022782177,0.26236321083745856,0.39726098779181296,0.15741792650247516
2009-09-30,2009Q3,gfc,3,-2.7303254982825766,-1.143737550498364,-1.915788548667722,-0.6862425302990185
2009-12-31,2009Q4,gfc,3,-2.2772022553785902,-0.5724653804409531,-1.2145542067419162,-0.3434792282645719
2010-03-31,2010Q1,euro_crisis,3,-0.02230831599552405,-0.2869112119705237,-0.2945531074205626,-0.17214672718231422
2010-06-30,2010Q2,euro_crisis,3,0.17762012747555778,0.012583410758909959,0.06251177465444359,0.007550046455345974
2010-09-30,2010Q3,euro_crisis,3,0.6500348180132475,0.19355142129532646,0.37698260241422105,0.1161308527771959
2010-12-31,2010Q4,euro_crisis,3,-0.5632286074186695,-0.3045876604641451,-0.4641810532479143,-0.18275259627848703
2011-03-31,2011Q1,euro_crisis,3,0.6938999605554947,1.4800075401236543,1.68193597049839,0.8880045240741925
