date,quarter,regime,event_count,events_without_abgmr_factor_count,missing_quarter_flag,timing_factor_event_count,timing_factor_quarterly_sum,timing_factor_quarterly_mean,timing_factor_quarterly_abs_sum,timing_factor_quarterly_signed_cumulative,target_factor_event_count,target_factor_quarterly_sum,target_factor_quarterly_mean,target_factor_quarterly_abs_sum,target_factor_quarterly_signed_cumulative,fg_factor_event_count,fg_factor_quarterly_sum,fg_factor_quarterly_mean,fg_factor_quarterly_abs_sum,fg_factor_quarterly_signed_cumulative,qe_factor_event_count,qe_factor_quarterly_sum,qe_factor_quarterly_mean,qe_factor_quarterly_abs_sum,qe_factor_quarterly_signed_cumulative,timing_factor_absolute_sum,timing_factor_signed_cumulative,target_factor_absolute_sum,target_factor_signed_cumulative,fg_factor_absolute_sum,fg_factor_signed_cumulative,qe_factor_absolute_sum,qe_factor_signed_cumulative,baseline_instrument,baseline_instrument_name,identification_regime,monthly_event_count,missing_months_in_quarter,timing_factor_monthly_sum,timing_factor_monthly_mean,timing_factor_monthly_abs_sum,target_factor_monthly_sum,target_factor_monthly_mean,target_factor_monthly_abs_sum,fg_factor_monthly_sum,fg_factor_monthly_mean,fg_factor_monthly_abs_sum,qe_factor_monthly_sum,qe_factor_monthly_mean,qe_factor_monthly_abs_sum,weighted_composite_monthly_sum,weighted_composite_monthly_mean,weighted_composite_monthly_abs_sum,composite_pca_timing_fg_qe,composite_equal_weight_timing_fg_qe,composite_inverse_variance_timing_fg_qe,composite_qe_heavy_timing_fg_qe,timing_factor_market_magnitude_weighted_quarterly_sum,timing_factor_crisis_weighted_quarterly_sum,timing_factor_qe_event_weighted_quarterly_sum,target_factor_market_magnitude_weighted_quarterly_sum,target_factor_crisis_weighted_quarterly_sum,target_factor_qe_event_weighted_quarterly_sum,fg_factor_market_magnitude_weighted_quarterly_sum,fg_factor_crisis_weighted_quarterly_sum,fg_factor_qe_event_weighted_quarterly_sum,qe_factor_market_magnitude_weighted_quarterly_sum,qe_factor_crisis_weighted_quarterly_sum,qe_factor_qe_event_weighted_quarterly_sum
2002-03-31,2002Q1,pre_gfc,3,0,False,3,3.276658292319481,1.0922194307731603,3.276658292319481,3.276658292319481,3,0.41681522911407776,0.1389384097046926,1.6874146417825258,0.41681522911407776,3,-2.8042490741418136,-0.9347496913806045,3.2169795926836526,-2.8042490741418136,0,,,,,3.276658292319481,3.276658292319481,1.6874146417825258,0.41681522911407776,3.2169795926836526,-2.8042490741418136,,,0.17421454777625361,target_factor_market_magnitude_weighted_quarterly_sum,outside_identification_windows,3.0,0.0,3.276658292319481,1.0922194307731603,3.276658292319481,0.41681522911407776,0.1389384097046926,1.6874146417825258,-2.8042490741418136,-0.9347496913806045,3.2169795926836526,0.0,,,0.3326591277526667,0.11088637591755557,0.5204782085142851,1.0787998233894471,0.1953633269788084,0.4991815142046288,0.11721799618728504,3.985855832346685,3.276658292319481,3.276658292319481,0.17421454777625361,0.41681522911407776,0.41681522911407776,-2.156661038817114,-2.8042490741418136,-2.8042490741418136,,,
2002-06-30,2002Q2,pre_gfc,3,0,False,3,2.2414520215714067,0.7471506738571355,4.1140212889471695,2.2414520215714067,3,-1.6694712852963183,-0.556490428432106,2.859057069035865,-1.6694712852963183,3,6.572041794639975,2.190680598213325,8.87113152240627,6.572041794639975,0,,,,,4.1140212889471695,2.2414520215714067,2.859057069035865,-1.6694712852963183,8.87113152240627,6.572041794639975,,,-2.9705286791647167,target_factor_market_magnitude_weighted_quarterly_sum,outside_identification_windows,3.0,0.0,2.2414520215714067,0.7471506738571355,4.1140212889471695,-1.6694712852963183,-0.556490428432106,2.859057069035865,6.572041794639975,2.190680598213325,8.87113152240627,0.0,,,0.7592684687087604,0.2530894895695868,1.3535642996499793,-0.2215689726625355,0.6054695773957455,0.5461722679856048,0.3632817464374474,4.103847735229758,2.2414520215714067,2.2414520215714067,-2.9705286791647167,-1.6694712852963183,-1.6694712852963183,13.459453178449996,6.572041794639975,6.572041794639975,,,
2002-09-30,2002Q3,pre_gfc,3,0,False,2,-2.1764878131319403,-1.0882439065659701,2.1764878131319403,-2.1764878131319403,3,-0.49407060233544453,-0.1646902007784815,2.1018000671769745,-0.49407060233544453,2,-4.6310071315836145,-2.3155035657918073,4.6310071315836145,-4.6310071315836145,0,,,,,2.1764878131319403,-2.1764878131319403,2.1018000671769745,-0.49407060233544453,4.6310071315836145,-4.6310071315836145,,,-0.19083202186315606,target_factor_market_magnitude_weighted_quarterly_sum,outside_identification_windows,3.0,0.0,-2.1764878131319403,-1.0882439065659701,2.1764878131319403,-0.49407060233544453,-0.1646902007784815,2.1018000671769745,-4.6310071315836145,-2.3155035657918073,4.6310071315836145,0.0,,,-0.6407714970175051,-0.21359049900583504,1.2475915933657489,0.01730712153537324,-0.49063860568041684,-0.4881372121573364,-0.2943831634082501,-3.84931323126186,-2.1764878131319403,-2.1764878131319403,-0.19083202186315606,-0.49407060233544453,-0.49407060233544453,-5.3235504284749755,-4.6310071315836145,-4.6310071315836145,,,
2002-12-31,2002Q4,pre_gfc,3,0,False,3,-1.737948095152325,-0.5793160317174416,3.7929202770817816,-1.737948095152325,3,5.382212067044704,1.7940706890149014,16.21903961111936,5.382212067044704,3,1.5584938802752728,0.5194979600917576,3.6903416153493525,1.5584938802752728,0,,,,,3.7929202770817816,-1.737948095152325,16.21903961111936,5.382212067044704,3.6903416153493525,1.5584938802752728,,,36.045673045297704,target_factor_market_magnitude_weighted_quarterly_sum,outside_identification_windows,3.0,0.0,-1.737948095152325,-0.5793160317174416,3.7929202770817816,5.382212067044704,1.7940706890149014,16.21903961111936,1.5584938802752728,0.5194979600917576,3.6903416153493525,0.0,,,0.5350372055380952,0.17834573517936506,2.1051849613832863,-0.5802350958901468,-0.09966930659700861,-0.26305266984993303,-0.05980158395820517,-3.2440175894614063,-1.737948095152325,-1.737948095152325,36.045673045297704,5.382212067044704,5.382212067044704,2.4844897279185005,1.5584938802752728,1.5584938802752728,,,
2003-03-31,2003Q1,pre_gfc,3,0,False,3,3.2719727352181875,1.0906575784060626,3.2719727352181875,3.2719727352181875,3,10.194823090612777,3.3982743635375923,10.194823090612777,10.194823090612777,3,-3.1913170449929464,-1.0637723483309822,3.972791243172192,-3.1913170449929464,0,,,,,3.2719727352181875,3.2719727352181875,10.194823090612777,10.194823090612777,3.972791243172192,-3.1913170449929464,,,57.81174975696835,target_factor_market_magnitude_weighted_quarterly_sum,outside_identification_windows,3.0,0.0,3.2719727352181875,1.0906575784060626,3.2719727352181875,10.194823090612777,3.3982743635375923,10.194823090612777,-3.1913170449929464,-1.0637723483309822,3.972791243172192,0.0,,,1.526641054105799,0.5088803513685997,1.526641054105799,1.121455051389612,0.17335082726159962,0.4890389434199743,0.10401049635695979,3.5527845116504615,3.2719727352181875,3.2719727352181875,57.81174975696835,10.194823090612777,10.194823090612777,-5.646469143428795,-3.1913170449929464,-3.1913170449929464,,,
2003-06-30,2003Q2,pre_gfc,3,0,False,3,5.372797844894008,1.7909326149646694,5.372797844894008,5.372797844894008,3,-2.6475188505735647,-0.8825062835245215,8.404562244652439,-2.6475188505735647,3,-6.1557900136661186,-2.051930004555373,12.740777535329098,-6.1557900136661186,0,,,,,5.372797844894008,5.372797844894008,8.404562244652439,-2.6475188505735647,12.740777535329098,-6.1557900136661186,,,-20.44426569871049,target_factor_market_magnitude_weighted_quarterly_sum,outside_identification_windows,3.0,0.0,5.372797844894008,1.7909326149646694,5.372797844894008,-2.6475188505735647,-0.8825062835245215,8.404562244652439,-6.1557900136661186,-2.051930004555373,12.740777535329098,0.0,,,-0.016273301577161003,-0.005424433859053668,2.1577406088607987,1.9449624142008872,0.23378078519836332,0.7809638274270213,0.140268471119018,8.746005491859933,5.372797844894008,5.372797844894008,-20.44426569871049,-2.6475188505735647,-2.6475188505735647,-26.383351310297883,-6.1557900136661186,-6.1557900136661186,,,
2003-09-30,2003Q3,pre_gfc,3,0,False,2,2.280446630172389,1.1402233150861945,2.280446630172389,2.280446630172389,3,-0.3224704370413731,-0.10749014568045771,0.36958217719309716,-0.3224704370413731,2,-4.120241928935139,-2.0601209644675693,4.120241928935139,-4.120241928935139,0,,,,,2.280446630172389,2.280446630172389,0.36958217719309716,-0.3224704370413731,4.120241928935139,-4.120241928935139,,,-0.05291612775036461,target_factor_market_magnitude_weighted_quarterly_sum,outside_identification_windows,3.0,1.0,2.280446630172389,1.1402233150861945,2.280446630172389,-0.3224704370413731,-0.16123521852068656,0.36958217719309716,-4.120241928935139,-2.0601209644675693,4.120241928935139,0.0,,,-0.044166138495698885,-0.022083069247849443,0.16265285905133928,0.9958921278029222,0.01545350463761258,0.2951303413530846,0.009272102782567543,2.197595450254175,2.280446630172389,2.280446630172389,-0.05291612775036461,-0.3224704370413731,-0.3224704370413731,-5.127003476556186,-4.120241928935139,-4.120241928935139,,,
2003-12-31,2003Q4,pre_gfc,3,0,False,3,1.2120351813382984,0.4040117271127661,1.2120351813382984,1.2120351813382984,3,-0.6292081500632307,-0.2097360500210769,1.1570595455625048,-0.6292081500632307,3,0.5428685894500127,0.18095619648333758,7.758934670820654,0.5428685894500127,0,,,,,1.2120351813382984,1.2120351813382984,1.1570595455625048,-0.6292081500632307,7.758934670820654,0.5428685894500127,,,-0.2754134170596565,target_factor_market_magnitude_weighted_quarterly_sum,outside_identification_windows,3.0,0.0,1.2120351813382984,0.4040117271127661,1.2120351813382984,-0.6292081500632307,-0.2097360500210769,1.1570595455625048,0.5428685894500127,0.18095619648333758,7.758934670820654,0.0,,,0.1692154449446111,0.05640514831487037,0.7456772719396627,0.2204652143896399,0.16007808404435428,0.2227442195852434,0.09604685042661257,0.4972657673724936,1.2120351813382984,1.2120351813382984,-0.2754134170596565,-0.6292081500632307,-0.6292081500632307,1.67921197753361,0.5428685894500127,0.5428685894500127,,,
2004-03-31,2004Q1,pre_gfc,3,0,False,3,0.7516899751052327,0.25056332503507756,1.9450672768174928,0.7516899751052327,3,2.171684183267428,0.7238947277558093,2.6075311546060984,2.171684183267428,3,-2.0054584518929635,-0.6684861506309878,4.73393337989024,-2.0054584518929635,0,,,,,1.9450672768174928,0.7516899751052327,2.6075311546060984,2.171684183267428,4.73393337989024,-2.0054584518929635,,,3.6457125674988533,target_factor_market_magnitude_weighted_quarterly_sum,outside_identification_windows,3.0,0.0,0.7516899751052327,0.25056332503507756,1.9450672768174928,2.171684183267428,0.7238947277558093,2.6075311546060984,-2.0054584518929635,-0.6684861506309878,4.73393337989024,0.0,,,0.21275304373541082,0.07091768124513693,1.0036372124257502,0.4014280589709621,-0.030879696864198683,0.0816752065205342,-0.01852781811851921,1.309337414736791,0.7516899751052327,0.7516899751052327,3.6457125674988533,2.171684183267428,2.171684183267428,-1.701992806747489,-2.0054584518929635,-2.0054584518929635,,,
2004-06-30,2004Q2,pre_gfc,3,0,False,3,2.1893039330593274,0.7297679776864424,4.571153647375093,2.1893039330593274,3,2.022086344212765,0.6740287814042549,3.926471036455381,2.022086344212765,3,3.4319256404380174,1.143975213479339,9.491130122668562,3.4319256404380174,0,,,,,4.571153647375093,2.1893039330593274,3.926471036455381,2.022086344212765,9.491130122668562,3.4319256404380174,,,6.709268848945255,target_factor_market_magnitude_weighted_quarterly_sum,outside_identification_windows,3.0,0.0,2.1893039330593274,0.7297679776864424,4.571153647375093,2.022086344212765,0.6740287814042549,3.926471036455381,3.4319256404380174,1.143975213479339,9.491130122668562,0.0,,,0.9275670585670016,0.30918901952233385,1.320287882378799,0.1211876764836259,0.42537646621298525,0.461444696093388,0.25522587972779115,4.089074420333559,2.1893039330593274,2.1893039330593274,6.709268848945255,2.022086344212765,2.022086344212765,5.947091853808092,3.4319256404380174,3.4319256404380174,,,
