quarter,date,regime,identification_regime,monthly_event_count,missing_months_in_quarter,timing_factor_monthly_sum,timing_factor_monthly_mean,timing_factor_monthly_abs_sum,target_factor_monthly_sum,target_factor_monthly_mean,target_factor_monthly_abs_sum,fg_factor_monthly_sum,fg_factor_monthly_mean,fg_factor_monthly_abs_sum,qe_factor_monthly_sum,qe_factor_monthly_mean,qe_factor_monthly_abs_sum,weighted_composite_monthly_sum,weighted_composite_monthly_mean,weighted_composite_monthly_abs_sum
2002Q1,2002-03-31,pre_gfc,outside_identification_windows,3,0,3.276658292319481,1.0922194307731603,3.276658292319481,0.41681522911407776,0.1389384097046926,1.6874146417825258,-2.8042490741418136,-0.9347496913806045,3.2169795926836526,0.0,,,0.3326591277526667,0.11088637591755557,0.5204782085142851
2002Q2,2002-06-30,pre_gfc,outside_identification_windows,3,0,2.2414520215714067,0.7471506738571355,4.1140212889471695,-1.6694712852963183,-0.556490428432106,2.859057069035865,6.572041794639975,2.190680598213325,8.87113152240627,0.0,,,0.7592684687087604,0.2530894895695868,1.3535642996499793
2002Q3,2002-09-30,pre_gfc,outside_identification_windows,3,0,-2.1764878131319403,-1.0882439065659701,2.1764878131319403,-0.49407060233544453,-0.1646902007784815,2.1018000671769745,-4.6310071315836145,-2.3155035657918073,4.6310071315836145,0.0,,,-0.6407714970175051,-0.21359049900583504,1.2475915933657489
2002Q4,2002-12-31,pre_gfc,outside_identification_windows,3,0,-1.737948095152325,-0.5793160317174416,3.7929202770817816,5.382212067044704,1.7940706890149014,16.21903961111936,1.5584938802752728,0.5194979600917576,3.6903416153493525,0.0,,,0.5350372055380952,0.17834573517936506,2.1051849613832863
2003Q1,2003-03-31,pre_gfc,outside_identification_windows,3,0,3.2719727352181875,1.0906575784060626,3.2719727352181875,10.194823090612777,3.3982743635375923,10.194823090612777,-3.1913170449929464,-1.0637723483309822,3.972791243172192,0.0,,,1.526641054105799,0.5088803513685997,1.526641054105799
2003Q2,2003-06-30,pre_gfc,outside_identification_windows,3,0,5.372797844894008,1.7909326149646694,5.372797844894008,-2.6475188505735647,-0.8825062835245215,8.404562244652439,-6.1557900136661186,-2.051930004555373,12.740777535329098,0.0,,,-0.016273301577161003,-0.005424433859053668,2.1577406088607987
2003Q3,2003-09-30,pre_gfc,outside_identification_windows,3,1,2.280446630172389,1.1402233150861945,2.280446630172389,-0.3224704370413731,-0.16123521852068656,0.36958217719309716,-4.120241928935139,-2.0601209644675693,4.120241928935139,0.0,,,-0.044166138495698885,-0.022083069247849443,0.16265285905133928
2003Q4,2003-12-31,pre_gfc,outside_identification_windows,3,0,1.2120351813382984,0.4040117271127661,1.2120351813382984,-0.6292081500632307,-0.2097360500210769,1.1570595455625048,0.5428685894500127,0.18095619648333758,7.758934670820654,0.0,,,0.1692154449446111,0.05640514831487037,0.7456772719396627
2004Q1,2004-03-31,pre_gfc,outside_identification_windows,3,0,0.7516899751052327,0.25056332503507756,1.9450672768174928,2.171684183267428,0.7238947277558093,2.6075311546060984,-2.0054584518929635,-0.6684861506309878,4.73393337989024,0.0,,,0.21275304373541082,0.07091768124513693,1.0036372124257502
2004Q2,2004-06-30,pre_gfc,outside_identification_windows,3,0,2.1893039330593274,0.7297679776864424,4.571153647375093,2.022086344212765,0.6740287814042549,3.926471036455381,3.4319256404380174,1.143975213479339,9.491130122668562,0.0,,,0.9275670585670016,0.30918901952233385,1.320287882378799
