date,month,quarter,regime,identification_regime,event_count,missing_month_flag,timing_factor_event_count,timing_factor_monthly_sum,timing_factor_monthly_mean,timing_factor_monthly_abs_sum,timing_factor_monthly_cumulative,target_factor_event_count,target_factor_monthly_sum,target_factor_monthly_mean,target_factor_monthly_abs_sum,target_factor_monthly_cumulative,fg_factor_event_count,fg_factor_monthly_sum,fg_factor_monthly_mean,fg_factor_monthly_abs_sum,fg_factor_monthly_cumulative,qe_factor_event_count,qe_factor_monthly_sum,qe_factor_monthly_mean,qe_factor_monthly_abs_sum,qe_factor_monthly_cumulative,weighted_composite_monthly_sum,weighted_composite_monthly_mean,weighted_composite_monthly_abs_sum,weighted_composite_monthly_cumulative
2002-01-31,2002-01,2002Q1,pre_gfc,outside_identification_windows,1,False,1,1.9505901534617556,1.9505901534617556,1.9505901534617556,1.9505901534617556,1,0.3529564837399894,0.3529564837399894,0.3529564837399894,0.3529564837399894,1,-1.9286734180312015,-1.9286734180312015,1.9286734180312015,-1.9286734180312015,0,,,,0.0,0.18747035817920046,0.18747035817920046,0.18747035817920046,0.18747035817920046
2002-02-28,2002-02,2002Q1,pre_gfc,outside_identification_windows,1,False,1,0.8067794073117406,0.8067794073117406,0.8067794073117406,2.7573695607734963,1,0.6991584517083124,0.6991584517083124,0.6991584517083124,1.0521149354483017,1,0.2063652592709195,0.2063652592709195,0.2063652592709195,-1.722308158760282,0,,,,0.0,0.23909830995427542,0.23909830995427542,0.23909830995427542,0.4265686681334759
2002-03-31,2002-03,2002Q1,pre_gfc,outside_identification_windows,1,False,1,0.5192887315459848,0.5192887315459848,0.5192887315459848,3.276658292319481,1,-0.6352997063342241,-0.6352997063342241,0.6352997063342241,0.41681522911407765,1,-1.0819409153815316,-1.0819409153815316,1.0819409153815316,-2.8042490741418136,0,,,,0.0,-0.09390954038080919,-0.09390954038080919,0.09390954038080919,0.3326591277526667
2002-04-30,2002-04,2002Q2,pre_gfc,outside_identification_windows,1,False,1,-0.9362846336878814,-0.9362846336878814,0.9362846336878814,2.3403736586315995,1,-0.3052268791494066,-0.3052268791494066,0.3052268791494066,0.11158834996467104,1,-1.1495448638831467,-1.1495448638831467,1.1495448638831467,-3.95379393802496,0,,,,0.0,-0.29714791547060937,-0.29714791547060937,0.29714791547060937,0.035511212282057336
2002-05-31,2002-05,2002Q2,pre_gfc,outside_identification_windows,1,False,1,2.177452475041129,2.177452475041129,2.177452475041129,4.517826133672728,1,0.5947928918697734,0.5947928918697734,0.5947928918697734,0.7063812418344444,1,4.80006472609579,4.80006472609579,4.80006472609579,0.8462707880708296,0,,,,0.0,0.8713589809128081,0.8713589809128081,0.8713589809128081,0.9068701931948654
2002-06-30,2002-06,2002Q2,pre_gfc,outside_identification_windows,1,False,1,1.000284180218159,1.000284180218159,1.000284180218159,5.518110313890888,1,-1.959037298016685,-1.959037298016685,1.959037298016685,-1.2526560561822406,1,2.921521932427332,2.921521932427332,2.921521932427332,3.7677927204981616,0,,,,0.0,0.18505740326656175,0.18505740326656175,0.18505740326656175,1.0919275964614272
2002-07-31,2002-07,2002Q3,pre_gfc,outside_identification_windows,1,False,1,-0.0406441128600204,-0.0406441128600204,0.0406441128600204,5.477466201030867,1,-0.5191853999094379,-0.5191853999094379,0.5191853999094379,-1.7718414560916784,1,-1.5270615585839142,-1.5270615585839142,1.5270615585839142,2.2407311619142476,0,,,,0.0,-0.21184417165427338,-0.21184417165427338,0.21184417165427338,0.8800834248071538
2002-08-31,2002-08,2002Q3,pre_gfc,outside_identification_windows,1,False,0,,,,5.477466201030867,1,0.803864732420765,0.803864732420765,0.803864732420765,-0.9679767236709135,0,,,,2.2407311619142476,0,,,,0.0,0.3034100481741218,0.3034100481741218,0.3034100481741218,1.1834934729812756
2002-09-30,2002-09,2002Q3,pre_gfc,outside_identification_windows,1,False,1,-2.13584370027192,-2.13584370027192,2.13584370027192,3.3416225007589473,1,-0.7787499348467716,-0.7787499348467716,0.7787499348467716,-1.746726658517685,1,-3.1039455729997,-3.1039455729997,3.1039455729997,-0.8632144110854525,0,,,,0.0,-0.7323373735373536,-0.7323373735373536,0.7323373735373536,0.451156099443922
2002-10-31,2002-10,2002Q4,pre_gfc,outside_identification_windows,1,False,1,1.0274860909647283,1.0274860909647283,1.0274860909647283,4.369108591723675,1,2.7133185008849847,2.7133185008849847,2.7133185008849847,0.9665918423672997,1,2.5922676097304476,2.5922676097304476,2.5922676097304476,1.729053198644995,0,,,,0.0,0.7472031909943437,0.7472031909943437,0.7472031909943437,1.1983592904382658
2002-11-30,2002-11,2002Q4,pre_gfc,outside_identification_windows,1,False,1,-2.1168145124255657,-2.1168145124255657,2.1168145124255657,2.2522940792981094,1,8.087307338197048,8.087307338197048,8.087307338197048,9.053899180564347,1,-1.06592386753704,-1.06592386753704,1.06592386753704,0.6631293311079551,0,,,,0.0,0.5729078924663471,0.5729078924663471,0.5729078924663471,1.771267182904613
2002-12-31,2002-12,2002Q4,pre_gfc,outside_identification_windows,1,False,1,-0.6486196736914874,-0.6486196736914874,0.6486196736914874,1.6036744056066219,1,-5.418413772037328,-5.418413772037328,5.418413772037328,3.6354854085270185,1,0.0321501380818651,0.0321501380818651,0.0321501380818651,0.6952794691898202,0,,,,0.0,-0.7850738779225956,-0.7850738779225956,0.7850738779225956,0.9861933049820173
2003-01-31,2003-01,2003Q1,pre_gfc,outside_identification_windows,1,False,1,1.741935398727004,1.741935398727004,1.741935398727004,3.345609804333626,1,0.1041920204868622,0.1041920204868622,0.1041920204868622,3.739677429013881,1,0.018570425608245,0.018570425608245,0.018570425608245,0.7138498947980652,0,,,,0.0,0.30031946758811884,0.30031946758811884,0.30031946758811884,1.2865127725701362
2003-02-28,2003-02,2003Q1,pre_gfc,outside_identification_windows,1,False,1,0.8245594126737406,0.8245594126737406,0.8245594126737406,4.170169217007366,1,1.9877341306588776,1.9877341306588776,1.9877341306588776,5.727411559672758,1,0.372166673481378,0.372166673481378,0.372166673481378,1.0860165682794432,0,,,,0.0,0.4193177683717016,0.4193177683717016,0.4193177683717016,1.7058305409418377
2003-03-31,2003-03,2003Q1,pre_gfc,outside_identification_windows,1,False,1,0.7054779238174429,0.7054779238174429,0.7054779238174429,4.875647140824809,1,8.102896939467037,8.102896939467037,8.102896939467037,13.830308499139795,1,-3.5820541440825693,-3.5820541440825693,3.5820541440825693,-2.4960375758031264,0,,,,0.0,0.8070038181459788,0.8070038181459788,0.8070038181459788,2.5128343590878166
