response,response_label,channel,horizon_months,coefficient,std_error_hac,p_value,ci_90_low,ci_90_high,ci_95_low,ci_95_high,bootstrap_ci_90_low,bootstrap_ci_90_high,bootstrap_replications,significance_bucket,hac_90_excludes_zero,hac_95_excludes_zero,bootstrap_90_excludes_zero
ln_ecb_assets_ea_stock,ECB assets,financial_liquidity,0,-0.0035577335256806544,0.0027683442537540224,0.1987403884930429,-0.008111254612118224,0.0009957875607569159,-0.00898358855984695,0.0018681215084856415,-0.007564601743801033,0.0004235574169358503,399,negative_not_significant,False,False,False
ln_ecb_assets_ea_stock,ECB assets,financial_liquidity,1,-0.0019066879132378168,0.004323223178692589,0.6591884662682532,-0.009017757238830994,0.00520438141235536,-0.010380049640604062,0.006566673814128427,-0.006579345906429369,0.0036928019237233664,399,negative_not_significant,False,False,False
ln_ecb_assets_ea_stock,ECB assets,financial_liquidity,3,-0.0029953844082719373,0.006073477442718238,0.6218776371136471,-0.012985365808134983,0.006994596991591108,-0.014899181456916112,0.008908412640372237,-0.010485928485941317,0.004634856459705052,399,negative_not_significant,False,False,False
ln_ecb_assets_ea_stock,ECB assets,financial_liquidity,6,-0.0033789382908588246,0.007181105235323442,0.6379751283131653,-0.015190805282700793,0.008432928700983144,-0.017453645921284802,0.010695769339567151,-0.012891729758330405,0.005652136852676161,399,negative_not_significant,False,False,False
ln_ecb_assets_ea_stock,ECB assets,financial_liquidity,12,-0.009825398595967627,0.011828469781311511,0.40616754990307724,-0.02928150001704375,0.009630702825108499,-0.03300877335955856,0.013357976167623306,-0.02753150950974965,0.008470856840910061,399,negative_not_significant,False,False,False
ln_ecb_assets_ea_stock,ECB assets,financial_liquidity,24,-0.010601283414378108,0.014862004578186651,0.47565116481312625,-0.0350471055485778,0.013844538719821591,-0.03973027712569334,0.018527710296937127,-0.02593073775889041,0.005911081265774827,399,negative_not_significant,False,False,False
ln_dax_real_de,real DAX,financial_market,0,-0.0013872797983995819,0.00463646096352322,0.7647791099090706,-0.009013579430469668,0.0062390198336705035,-0.01047457630263097,0.007700016705831806,-0.00663903513073406,0.00465138737395378,399,negative_not_significant,False,False,False
ln_dax_real_de,real DAX,financial_market,1,-0.0020529377589128014,0.005519208396713767,0.7099208771037142,-0.011131227708148462,0.0070253521903228585,-0.01287038743964284,0.008764511921817236,-0.009638884033227131,0.005769717966566699,399,negative_not_significant,False,False,False
ln_dax_real_de,real DAX,financial_market,3,-0.006233845009514206,0.0051863080418964504,0.22937079369055183,-0.014764562602715171,0.002296872583686758,-0.016398821984361697,0.0039311319653332856,-0.015439454266938518,0.003308939817708206,399,negative_not_significant,False,False,False
ln_dax_real_de,real DAX,financial_market,6,-0.00883969318482582,0.008109792790016184,0.2757121096637929,-0.02217911526930884,0.004499728899657199,-0.02473459497534014,0.0070552086056885,-0.019928885859273285,0.004104599603037023,399,negative_not_significant,False,False,False
ln_dax_real_de,real DAX,financial_market,12,-0.021061584770767104,0.010100316043281158,0.03704750501956307,-0.03767512624791426,-0.00444804329361995,-0.040857840448070275,-0.0012653290934639336,-0.03889046242637488,-0.0042917203498214615,399,negative_p05,True,True,True
ln_dax_real_de,real DAX,financial_market,24,-0.02720374460525846,0.013013410571225403,0.036578357625991556,-0.04860890018234719,-0.005798589028169727,-0.05270956064089306,-0.0016979285696238564,-0.04438930897477831,-0.006736952007073819,399,negative_p05,True,True,True
ln_hh_loans_ea_stock,household credit,financial_credit,0,5.840762295126496e-05,0.00010675769445382955,0.584306889995978,-0.00011719315797609363,0.00023400840387862356,-0.0001508336132507724,0.0002676488591533023,-0.00015724095898901266,0.00025765723663092563,399,positive_not_significant,False,False,False
ln_hh_loans_ea_stock,household credit,financial_credit,1,0.00011657903322637719,0.0001713553118102678,0.49629230440477323,-0.00016527537290214226,0.0003984334393548966,-0.0002192712064813787,0.00045242927293413305,-0.00023805728331857744,0.0005224105893007517,399,positive_not_significant,False,False,False
ln_hh_loans_ea_stock,household credit,financial_credit,3,-4.333526414492114e-06,0.00026526657240257635,0.9869659414764889,-0.00044065821013985514,0.00043199115731087093,-0.0005242464546259284,0.0005155794017969442,-0.0005782507528078233,0.0005447084058205308,399,negative_not_significant,False,False,False
ln_hh_loans_ea_stock,household credit,financial_credit,6,1.5703143012963358e-05,0.00043258416407736093,0.9710425271876053,-0.0006958344882314545,0.0007272407742573813,-0.0008321462388610295,0.0008635525248869562,-0.0008422445434151439,0.000826323186048942,399,positive_not_significant,False,False,False
ln_hh_loans_ea_stock,household credit,financial_credit,12,0.00011909178244708464,0.0006995997173224015,0.8648304705635395,-0.0010316473500048924,0.0012698309148990615,-0.001252098467099225,0.0014902820319933942,-0.0012850584056800605,0.001750446442720594,399,positive_not_significant,False,False,False
ln_hh_loans_ea_stock,household credit,financial_credit,24,-0.00140381057727144,0.001031777470970752,0.1736480534682761,-0.0031009334926044986,0.00029331233806161863,-0.003426057260433935,0.000618436105891055,-0.0035926682302250524,0.0006906617492684755,399,negative_not_significant,False,False,False
ln_nfc_loans_ea_stock,NFC credit,financial_credit,0,-0.00012182507902597478,0.0005263966280185328,0.8169791268664889,-0.0009876704818372836,0.0007440203237853339,-0.001153543511525627,0.0009098933534736775,-0.0005853613327910386,0.00048218031163939503,399,negative_not_significant,False,False,False
ln_nfc_loans_ea_stock,NFC credit,financial_credit,1,-0.0008037151671661091,0.0008184719071845862,0.3261144422955925,-0.0021499816522565643,0.0005425513179243462,-0.002407890627605708,0.0008004602932734899,-0.0016927443056549882,-3.397044737007928e-05,399,negative_not_significant,False,False,True
ln_nfc_loans_ea_stock,NFC credit,financial_credit,3,-0.0004875778196904688,0.0011354185727420047,0.667613515525054,-0.002355175177173219,0.0013800195377922815,-0.0027129573296426693,0.0017378016902617319,-0.0018234877082066974,0.0007063866827486663,399,negative_not_significant,False,False,False
ln_nfc_loans_ea_stock,NFC credit,financial_credit,6,0.00023872706696996489,0.0013345636676744134,0.8580317400137624,-0.001956434822201953,0.002433888956141883,-0.002376969656747567,0.002854423790687497,-0.0013511914343355697,0.001669829515910593,399,positive_not_significant,False,False,False
ln_nfc_loans_ea_stock,NFC credit,financial_credit,12,0.0002469303489766418,0.001765366544147812,0.8887588868395081,-0.0026568392140636733,0.0031506999120169566,-0.0032131244970650093,0.0037069851950182926,-0.0028220912129214024,0.0030929143788897377,399,positive_not_significant,False,False,False
ln_nfc_loans_ea_stock,NFC credit,financial_credit,24,-0.000945344977558459,0.0016256209297785139,0.5608842840867614,-0.003619253459952872,0.001728563504835954,-0.004131503452438862,0.0022408134973219444,-0.004726476961302888,0.0031368297179738096,399,negative_not_significant,False,False,False
ecb_mir_mortgage_lending_rate,mortgage lending rate,banking_lending_conditions,0,-0.002584313877349209,0.002663030598551716,0.3318267577244492,-0.006964609416059749,0.001795981661361331,-0.007803757940238715,0.0026351301855402974,-0.008144985533461376,0.003118966641687862,399,negative_not_significant,False,False,False
ecb_mir_mortgage_lending_rate,mortgage lending rate,banking_lending_conditions,1,0.00020792910641075812,0.005218435829315406,0.968216618793526,-0.008375633994452202,0.008791492207273717,-0.010020017174680847,0.010435875387502363,-0.0088713871358259,0.008725846622674196,399,positive_not_significant,False,False,False
ecb_mir_mortgage_lending_rate,mortgage lending rate,banking_lending_conditions,3,-0.00041458531124041704,0.010630228020306295,0.9688899072248018,-0.017899754425762394,0.01707058380328156,-0.021249449378489275,0.02042027875600844,-0.01653916728876055,0.01505113360708655,399,negative_not_significant,False,False,False
ecb_mir_mortgage_lending_rate,mortgage lending rate,banking_lending_conditions,6,0.002258626512266,0.016743098433398707,0.892691764365212,-0.025281319672315377,0.029798572696847377,-0.03055724340680447,0.03507449643133647,-0.025046918702574424,0.03317880324880894,399,positive_not_significant,False,False,False
ecb_mir_mortgage_lending_rate,mortgage lending rate,banking_lending_conditions,12,0.026773432827862948,0.026049094287675864,0.3040407786305731,-0.01607351439002157,0.06962038004574747,-0.024281853805869797,0.0778287194615957,-0.029810363274255448,0.07730816542464336,399,positive_not_significant,False,False,False
ecb_mir_mortgage_lending_rate,mortgage lending rate,banking_lending_conditions,24,0.033756469969040886,0.04412292470446956,0.44423871605317344,-0.03881928276281259,0.10633222270089436,-0.05272287334429206,0.12023581328237383,-0.03749876935327647,0.10996664853585064,399,positive_not_significant,False,False,False
ecb_mir_nfc_lending_rate,NFC lending rate,banking_lending_conditions,0,-0.008838278471278532,0.005861280536577852,0.13157778401732986,-0.018479227020448685,0.0008026700778916204,-0.020326177226256726,0.002649620283699663,-0.018588887298280326,-0.00027554976562532246,399,negative_not_significant,False,False,True
ecb_mir_nfc_lending_rate,NFC lending rate,banking_lending_conditions,1,-0.0047949328865467674,0.011368819162374883,0.6731989388480423,-0.023494976319934493,0.013905110546840956,-0.027077408991550363,0.017487543218456827,-0.01847473707225664,0.010611211388754083,399,negative_not_significant,False,False,False
ecb_mir_nfc_lending_rate,NFC lending rate,banking_lending_conditions,3,-0.012253402822799948,0.0198828788967222,0.5377103266695784,-0.044957828290310343,0.020451022644710444,-0.05122312936934695,0.02671632372374705,-0.03987581365536883,0.011223102413154927,399,negative_not_significant,False,False,False
ecb_mir_nfc_lending_rate,NFC lending rate,banking_lending_conditions,6,-0.008088284133452441,0.02876119106238476,0.7785400127742181,-0.055396233567860276,0.0392196653009554,-0.06445918276820187,0.04828261450129698,-0.048941504839891826,0.03185979072164524,399,negative_not_significant,False,False,False
ecb_mir_nfc_lending_rate,NFC lending rate,banking_lending_conditions,12,0.009341443495836169,0.047274844966124045,0.8433591250269691,-0.06841875671026151,0.08710164370193385,-0.08331555001248163,0.10199843700415397,-0.07750048520932883,0.09136218236284571,399,positive_not_significant,False,False,False
ecb_mir_nfc_lending_rate,NFC lending rate,banking_lending_conditions,24,0.03745171503615633,0.06298651175533139,0.5521115684991018,-0.06615187727362204,0.14105530734593472,-0.08599957951610193,0.1609030095884146,-0.060884687816031874,0.13704463916002163,399,positive_not_significant,False,False,False
ecb_mir_mortgage_lending_spread_dfr,mortgage lending spread,banking_lending_conditions,0,0.006067603270997644,0.006521264428898899,0.3521466498263598,-0.004658922177186331,0.01679412871918162,-0.006713840143306362,0.01884904668530165,-0.002665363101735208,0.013615161666013715,399,positive_not_significant,False,False,False
ecb_mir_mortgage_lending_spread_dfr,mortgage lending spread,banking_lending_conditions,1,0.020656525822454284,0.008483578922841172,0.014896587479818988,0.006702280261689919,0.03461077138321865,0.004029016673682481,0.037284034971226086,0.008485620152108155,0.032297193905940214,399,positive_p05,True,True,True
ecb_mir_mortgage_lending_spread_dfr,mortgage lending spread,banking_lending_conditions,3,0.014556204282024891,0.015575139409564578,0.35000510474365676,-0.011062620266072217,0.040175028830122,-0.01597050801491213,0.04508291657896191,-0.008059946972627406,0.03472849290866404,399,positive_not_significant,False,False,False
ecb_mir_mortgage_lending_spread_dfr,mortgage lending spread,banking_lending_conditions,6,0.026864048482764764,0.02045226764149942,0.18901460429596104,-0.006776938126737787,0.06050503509226732,-0.013221659496748053,0.06694975646227758,-0.0036681821231188665,0.05470068633154042,399,positive_not_significant,False,False,False
ecb_mir_mortgage_lending_spread_dfr,mortgage lending spread,banking_lending_conditions,12,0.05000393321221723,0.02598661347367896,0.054327149039558036,0.007259757787850402,0.09274810863658406,-0.0009288932763568403,0.1009367597007913,0.006381144559856095,0.0973369728326719,399,positive_p10,True,False,True
ecb_mir_mortgage_lending_spread_dfr,mortgage lending spread,banking_lending_conditions,24,0.021928757033803873,0.02332466531226872,0.3471390208770049,-0.016436903302510523,0.06029441737011827,-0.02378674692969351,0.06764426099730125,-0.020693439543959725,0.06584462987508255,399,positive_not_significant,False,False,False
ecb_mir_nfc_lending_spread_dfr,NFC lending spread,banking_lending_conditions,0,0.0003866674647148667,0.006676447474190317,0.9538162144947865,-0.010595111378358071,0.011368446307787803,-0.012698929129371567,0.013472264058801298,-0.009524405126923095,0.009724355415159239,399,positive_not_significant,False,False,False
ecb_mir_nfc_lending_spread_dfr,NFC lending spread,banking_lending_conditions,1,0.016569088067600504,0.00922957432140283,0.07261914429770217,0.001387789269822885,0.03175038686537812,-0.0015205451949847522,0.03465872133018576,0.005106694958873874,0.028015250985614804,399,positive_p10,True,False,True
ecb_mir_nfc_lending_spread_dfr,NFC lending spread,banking_lending_conditions,3,0.002988078914145335,0.008757476863490004,0.7329506329647217,-0.011416688667709802,0.01739284649600047,-0.014176260333737867,0.020152418162028535,-0.009983262140634932,0.015741991363455908,399,positive_not_significant,False,False,False
