equation,cointegration_relation,alpha,std_error,z_value,p_value
shadow_rate,ec1,-0.02947256700605093,0.0071513565077045435,-4.121255453325329,3.768133167881761e-05
shadow_rate,ec2,0.7745494638387375,0.3001855816574432,2.5802353982564514,0.009873298764871604
ln_credit,ec1,-0.0008881303146561484,0.00014383309058682608,-6.1747287152953225,6.627717297727637e-10
ln_credit,ec2,-0.007048699606114779,0.00603754265542175,-1.167478228875949,0.2430172953535964
ln_real_equity,ec1,0.002340807863820742,0.001346654882404548,1.7382388720420061,0.08216873232295344
ln_real_equity,ec2,-0.12724208503751216,0.056527230705241516,-2.250987417038167,0.024386334351025375
ln_real_housing,ec1,-3.2797640431665624e-05,9.347491278405492e-05,-0.35087104608949465,0.7256850940936694
ln_real_housing,ec2,-0.008324413497066988,0.003923706087681398,-2.1215690755232033,0.033873941576199905
ln_real_income,ec1,-0.001454903931742757,0.0004672730048531911,-3.1136057864071605,0.0018481624274655298
ln_real_income,ec2,0.06261824928191821,0.019614267391586122,3.192484737348864,0.0014105439896229424
ln_cpi,ec1,-0.00022126809400272997,6.639055994913963e-05,-3.3328246391089134,0.0008596910942313615
ln_cpi,ec2,-0.0029583173781196305,0.0027868123807594705,-1.0615416375154114,0.2884438209069774
