test,statistic,p_value,summary,error
whiteness,336.7437775802926,0.007246583747285474,"Portmanteau-test for residual autocorrelation. H_0: residual autocorrelation up to lag 10 is zero. Conclusion: reject H_0 at 5% significance level.
=========================================
Test statistic Critical value p-value  df
-----------------------------------------
         336.7          315.7   0.007 276
-----------------------------------------",
normality,22556.16696182096,0.0,"normality (skew and kurtosis) test. H_0: data generated by normally-distributed process. Conclusion: reject H_0 at 5% significance level.
========================================
Test statistic Critical value p-value df
----------------------------------------
     2.256e+04          21.03   0.000 12
----------------------------------------",
