horizon,response,irf
0,shadow_rate,-1.0
0,ln_credit,-0.002065487679246428
0,ln_real_equity,0.06669873581564029
0,ln_real_housing,0.004735426472480427
0,ln_real_income,-0.007635451651257972
0,ln_cpi,-0.007497491189797937
1,shadow_rate,-1.0717722072954423
1,ln_credit,9.264329345346108e-05
1,ln_real_equity,0.06796939382118727
1,ln_real_housing,0.003661475944820439
1,ln_real_income,0.011874114259596332
1,ln_cpi,-0.010822695195843602
2,shadow_rate,-1.0507374391477684
2,ln_credit,0.005306314233639583
2,ln_real_equity,0.07183294856684819
2,ln_real_housing,0.0008361739229500928
2,ln_real_income,0.01583257710097138
2,ln_cpi,-0.011105112598663886
3,shadow_rate,-1.0032734827527254
3,ln_credit,0.009106637877600163
3,ln_real_equity,0.06328008909030026
3,ln_real_housing,-0.0006878626639769288
3,ln_real_income,0.016376969025154155
3,ln_cpi,-0.010502648185357332
4,shadow_rate,-1.0193524914980998
4,ln_credit,0.010904976567139214
4,ln_real_equity,0.05846516595805734
4,ln_real_housing,-7.55751099407731e-05
4,ln_real_income,0.014797146040096652
4,ln_cpi,-0.009978361845574284
5,shadow_rate,-1.0384977036576815
5,ln_credit,0.012094530330123098
5,ln_real_equity,0.05761930968044325
5,ln_real_housing,0.0020992935289137833
5,ln_real_income,0.014064020060268686
5,ln_cpi,-0.009600915455038798
6,shadow_rate,-1.0481622656713334
6,ln_credit,0.013151905552617815
6,ln_real_equity,0.05886460826135242
6,ln_real_housing,0.005064618291653513
6,ln_real_income,0.013813277704950758
6,ln_cpi,-0.00930212783651728
7,shadow_rate,-1.0437727463509887
7,ln_credit,0.014058276039657647
7,ln_real_equity,0.06000172677528428
7,ln_real_housing,0.0081018665670267
7,ln_real_income,0.013404442860666426
7,ln_cpi,-0.008986605224116932
8,shadow_rate,-1.028611923667014
8,ln_credit,0.014825857609017988
8,ln_real_equity,0.06065569471177845
8,ln_real_housing,0.010749841994557141
8,ln_real_income,0.012899535445921859
8,ln_cpi,-0.008608967152549222
9,shadow_rate,-1.0057762434379225
9,ln_credit,0.015533996334509095
9,ln_real_equity,0.060706390405525945
9,ln_real_housing,0.012828602119652106
9,ln_real_income,0.012366134988060737
9,ln_cpi,-0.008174234428022405
10,shadow_rate,-0.9784125895822746
10,ln_credit,0.016262702271518884
10,ln_real_equity,0.060019438199157685
10,ln_real_housing,0.014366311557047921
10,ln_real_income,0.011943444481304185
10,ln_cpi,-0.007707986006407225
11,shadow_rate,-0.9489544157958456
11,ln_credit,0.017057766218808813
11,ln_real_equity,0.05861121613867176
11,ln_real_housing,0.015503440607511807
11,ln_real_income,0.011658340817265864
11,ln_cpi,-0.007236411804169513
12,shadow_rate,-0.9190476868675124
12,ln_credit,0.017927482943818268
12,ln_real_equity,0.05661813479947525
12,ln_real_housing,0.016409500641766526
12,ln_real_income,0.011513956844942714
12,ln_cpi,-0.006778225857322191
13,shadow_rate,-0.8896521170942377
13,ln_credit,0.018850591089707203
13,ln_real_equity,0.05424234711287852
13,ln_real_housing,0.017227612155841
13,ln_real_income,0.011472549197364006
13,ln_cpi,-0.006343830581921799
14,shadow_rate,-0.8611579921140728
14,ln_credit,0.019792969922170056
14,ln_real_equity,0.051678143009026595
14,ln_real_housing,0.018047950670969228
14,ln_real_income,0.011494907182713033
14,ln_cpi,-0.005936506780945197
15,shadow_rate,-0.833593128641241
15,ln_credit,0.02072141241479853
15,ln_real_equity,0.04907818089953414
15,ln_real_housing,0.01890619911554873
15,ln_real_income,0.011545538291867202
15,ln_cpi,-0.005554952549888474
16,shadow_rate,-0.8068147328243283
16,ln_credit,0.021611722599657074
16,ln_real_equity,0.046535608366733636
16,ln_real_housing,0.01979694138324891
16,ln_real_income,0.011601984695698252
16,ln_cpi,-0.005195716256688217
17,shadow_rate,-0.7806688522476384
17,ln_credit,0.022450981015238874
17,ln_real_equity,0.04409079868537316
17,ln_real_housing,0.020692580571394746
17,ln_real_income,0.011653246629608817
17,ln_cpi,-0.004855109183904534
18,shadow_rate,-0.7550743031082999
18,ln_credit,0.023236082900344204
18,ln_real_equity,0.04174740165904378
18,ln_real_housing,0.021560474516878137
18,ln_real_income,0.011697633939106484
18,ln_cpi,-0.004530311715014521
19,shadow_rate,-0.7300466648012465
19,ln_credit,0.023970378623436456
19,ln_real_equity,0.03949116050433208
19,ln_real_housing,0.022374499150576068
19,ln_real_income,0.011738496155869946
19,ln_cpi,-0.004219767863133389
20,shadow_rate,-0.705678019881641
20,ln_credit,0.02466009370293136
20,ln_real_equity,0.037304610991664613
20,ln_real_housing,0.023120184661019512
20,ln_real_income,0.011780769051749358
20,ln_cpi,-0.003923046105924033
21,shadow_rate,-0.682098189166162
21,ln_credit,0.025311534641476258
21,ln_real_equity,0.0351759520323572
21,ln_real_housing,0.02379465039077278
21,ln_real_income,0.011828472082753437
21,ln_cpi,-0.0036404275967655804
22,shadow_rate,-0.6594357355615749
22,ln_credit,0.025929490499046207
22,ln_real_equity,0.03310205975215659
22,ln_real_housing,0.024403447978449767
22,ln_real_income,0.011883596750637587
22,ln_cpi,-0.0033724438665542374
23,shadow_rate,-0.6377905357058898
23,ln_credit,0.026516749928302056
23,ln_real_equity,0.031087390791402283
23,ln_real_housing,0.024956401330923954
23,ln_real_income,0.011946030823378617
23,ln_cpi,-0.0031195139153290087
24,shadow_rate,-0.6172212697174397
24,ln_credit,0.02707439796306486
24,ln_real_equity,0.029140800955902293
24,ln_real_housing,0.02546395522758431
24,ln_real_income,0.012014142835260004
24,ln_cpi,-0.002881741913394369
25,shadow_rate,-0.5977458895091528
25,ln_credit,0.02760248632872997
25,ln_real_equity,0.027272066944245155
25,ln_real_housing,0.02593480002964854
25,ln_real_income,0.012085584219335666
25,ln_cpi,-0.0026588691865868834
26,shadow_rate,-0.5793502635241418
26,ln_credit,0.02810073814018618
26,ln_real_equity,0.025489224457107235
26,ln_real_housing,0.026374890089377802
26,ln_real_income,0.012158005394752317
26,ln_cpi,-0.00245033458308773
27,shadow_rate,-0.5619999011861048
27,ln_credit,0.02856907683569826
27,ln_real_equity,0.023797165777373563
27,ln_real_housing,0.0267875550226393
27,ln_real_income,0.012229521021098538
27,ln_cpi,-0.0022553863816624645
28,shadow_rate,-0.5456508084946924
28,ln_credit,0.02900790231956145
28,ln_real_equity,0.02219741380120945
28,ln_real_housing,0.02717423343969813
28,ln_real_income,0.012298896725106504
28,ln_cpi,-0.0020731975212693234
29,shadow_rate,-0.5302572932637774
29,ln_credit,0.029418136871169277
29,ln_real_equity,0.020688703043848622
29,ln_real_housing,0.027535383023574774
29,ln_real_income,0.012365514637266584
29,ln_cpi,-0.0019029540896281817
30,shadow_rate,-0.5157761733983619
30,ln_credit,0.02980111667060629
30,ln_real_equity,0.019267925045076864
30,ln_real_housing,0.027871254123462613
30,ln_real_income,0.012429212025345599
30,ln_cpi,-0.0017439058941557456
31,shadow_rate,-0.5021679729190284
31,ln_credit,0.030158416194571824
31,ln_real_equity,0.017931071516930727
31,ln_real_housing,0.02818237683016552
31,ln_real_income,0.012490083497102658
31,ln_cpi,-0.001595382242018971
32,shadow_rate,-0.4893962145764943
32,ln_credit,0.03049167616495252
32,ln_real_equity,0.016673952057789113
32,ln_real_housing,0.028469748509895573
32,ln_real_income,0.01254831101264756
32,ln_cpi,-0.0014567837937696764
33,shadow_rate,-0.4774259415104105
33,ln_credit,0.030802476896620502
33,ln_real_equity,0.015492609085661302
33,ln_real_housing,0.028734793911326446
33,ln_real_income,0.012604053023415687
33,ln_cpi,-0.0013275631156254523
34,shadow_rate,-0.46622231770549494
34,ln_credit,0.031092270448371005
34,ln_real_equity,0.01438346078108581
34,ln_real_housing,0.028979201486874637
34,ln_real_income,0.012657396053529462
34,ln_cpi,-0.0012072042761480904
35,shadow_rate,-0.4557497665850425
35,ln_credit,0.03136236436400776
35,ln_real_equity,0.013343259653976852
35,ln_real_housing,0.02920473073277733
35,ln_real_income,0.01270835439649724
35,ln_cpi,-0.0010952077484845313
36,shadow_rate,-0.4459717557389241
36,ln_credit,0.03161393934629428
36,ln_real_equity,0.012368965340226877
36,ln_real_housing,0.02941305480650022
36,ln_real_income,0.01275689685786793
36,ln_cpi,-0.000991082802122992
