real,imag,modulus
1.0000000000000013,0.0,1.0000000000000013
0.9999999999999998,-1.6690425930435683e-15,0.9999999999999998
0.9999999999999998,1.6690425930435683e-15,0.9999999999999998
0.9999999999999953,0.0,0.9999999999999953
0.919325485572344,0.0,0.919325485572344
0.881209584359201,0.0,0.881209584359201
0.6649111018166842,0.3926450255749563,0.772189671925127
0.6649111018166842,-0.3926450255749563,0.772189671925127
0.3202132990107572,-0.3318068342068007,0.46112073482949334
0.3202132990107572,0.3318068342068007,0.46112073482949334
-0.4079616809833464,-0.04106148526971263,0.41002290024255056
-0.4079616809833464,0.04106148526971263,0.41002290024255056
0.3949005899112022,0.0,0.3949005899112022
-0.0513248054766683,-0.3849039193415646,0.38831078118140827
-0.0513248054766683,0.3849039193415646,0.38831078118140827
0.16535211629047494,-0.31830390571346917,0.3586902546127896
0.16535211629047494,0.31830390571346917,0.3586902546127896
-0.17615574959690014,0.0,0.17615574959690014
