horizon,impulse,response,irf
3,ln_credit,ln_credit,0.9865411912445323
3,ln_credit,ln_real_equity,-1.2103358959779362
3,ln_credit,ln_real_housing,-0.28186186738730323
3,ln_credit,ln_real_income,0.16095109173155914
3,ln_credit,ln_cpi,-0.1423091918471858
3,ln_real_equity,shadow_rate,1.6267115300598531
3,ln_real_equity,ln_credit,0.007544203076682999
3,ln_real_equity,ln_real_equity,0.8194317374766246
3,ln_real_equity,ln_real_housing,-0.0039099255017574185
3,ln_real_equity,ln_real_income,0.016626259571227313
3,ln_real_equity,ln_cpi,0.026142642590307144
3,ln_real_housing,shadow_rate,9.72536841503086
3,ln_real_housing,ln_credit,0.08735741489652304
3,ln_real_housing,ln_real_equity,1.4650611223928172
3,ln_real_housing,ln_real_housing,4.855179706524705
3,ln_real_housing,ln_real_income,0.04914226579819936
3,ln_real_housing,ln_cpi,-0.011362676112155589
3,ln_real_income,shadow_rate,-5.676811177419558
3,ln_real_income,ln_credit,-0.05673590331357266
3,ln_real_income,ln_real_equity,0.7150252756138181
3,ln_real_income,ln_real_housing,0.008419252863637053
3,ln_real_income,ln_real_income,0.3137509073195188
3,ln_real_income,ln_cpi,-0.005314272456078547
3,ln_cpi,shadow_rate,-5.7705511900566915
3,ln_cpi,ln_credit,-0.5992847855129243
3,ln_cpi,ln_real_equity,0.19630908496535815
3,ln_cpi,ln_real_housing,2.9983616168300333
3,ln_cpi,ln_real_income,-1.2346488835921352
3,ln_cpi,ln_cpi,1.4725467850698954
4,shadow_rate,shadow_rate,1.272531688700719
4,shadow_rate,ln_credit,-0.0064869859109079695
4,shadow_rate,ln_real_equity,-0.004935461795758912
4,shadow_rate,ln_real_housing,0.0021122254484632775
4,shadow_rate,ln_real_income,-0.009415013680790365
4,shadow_rate,ln_cpi,0.0013225417721114934
4,ln_credit,shadow_rate,-8.420937079511875
4,ln_credit,ln_credit,1.00048688139658
4,ln_credit,ln_real_equity,-1.1924824670184502
4,ln_credit,ln_real_housing,-0.44864595512905614
4,ln_credit,ln_real_income,0.1347653292575146
4,ln_credit,ln_cpi,-0.143705039727744
4,ln_real_equity,shadow_rate,1.8248862915064308
4,ln_real_equity,ln_credit,0.014472725973038886
4,ln_real_equity,ln_real_equity,0.7878539124873313
4,ln_real_equity,ln_real_housing,0.009693856682903151
4,ln_real_equity,ln_real_income,0.021424203144909185
4,ln_real_equity,ln_cpi,0.02793489065186431
4,ln_real_housing,shadow_rate,16.915535983787287
4,ln_real_housing,ln_credit,-0.10181993959730684
4,ln_real_housing,ln_real_equity,1.983434216920837
4,ln_real_housing,ln_real_housing,5.33248160396189
4,ln_real_housing,ln_real_income,-0.18514002086937165
4,ln_real_housing,ln_cpi,0.03037203308188751
4,ln_real_income,shadow_rate,-7.223910113699985
4,ln_real_income,ln_credit,-0.057434022801120546
4,ln_real_income,ln_real_equity,0.8952703813380862
4,ln_real_income,ln_real_housing,0.03588456562522796
4,ln_real_income,ln_real_income,0.3573600941072859
4,ln_real_income,ln_cpi,-0.004598997663040359
4,ln_cpi,shadow_rate,2.826525033125833
4,ln_cpi,ln_credit,-0.7419545350750656
4,ln_cpi,ln_real_equity,0.5386904412202024
4,ln_cpi,ln_real_housing,3.2696497274959544
4,ln_cpi,ln_real_income,-1.0452621682441958
4,ln_cpi,ln_cpi,1.4664642651176352
5,shadow_rate,shadow_rate,1.277290589554585
5,shadow_rate,ln_credit,-0.007487002555854412
5,shadow_rate,ln_real_equity,-0.00424904215740538
5,shadow_rate,ln_real_housing,0.0020543581080957438
5,shadow_rate,ln_real_income,-0.00892438705001936
5,shadow_rate,ln_cpi,0.0010948902793510664
5,ln_credit,shadow_rate,-9.067712514521828
5,ln_credit,ln_credit,1.0040581362953707
5,ln_credit,ln_real_equity,-1.3607317059341446
5,ln_credit,ln_real_housing,-0.5634342378881819
5,ln_credit,ln_real_income,0.18930636472882756
5,ln_credit,ln_cpi,-0.15142357013881313
5,ln_real_equity,shadow_rate,2.061898719679526
5,ln_real_equity,ln_credit,0.01975520664911722
5,ln_real_equity,ln_real_equity,0.763013934894369
5,ln_real_equity,ln_real_housing,0.02179641963369347
5,ln_real_equity,ln_real_income,0.02250612766744244
5,ln_real_equity,ln_cpi,0.029476474923530897
5,ln_real_housing,shadow_rate,25.17145455800691
5,ln_real_housing,ln_credit,-0.2370510708047482
5,ln_real_housing,ln_real_equity,2.145821328078148
5,ln_real_housing,ln_real_housing,5.373988023315755
5,ln_real_housing,ln_real_income,-0.3121312972980079
5,ln_real_housing,ln_cpi,0.09311728989655187
5,ln_real_income,shadow_rate,-8.552799429901007
5,ln_real_income,ln_credit,-0.053688304192819565
5,ln_real_income,ln_real_equity,1.0917034396485852
5,ln_real_income,ln_real_housing,0.07773532432436978
5,ln_real_income,ln_real_income,0.3027360296202633
5,ln_real_income,ln_cpi,-0.0034104706087484437
5,ln_cpi,shadow_rate,13.599810493513854
5,ln_cpi,ln_credit,-0.810451587878578
5,ln_cpi,ln_real_equity,0.2878432470428136
5,ln_cpi,ln_real_housing,3.1101722858904393
5,ln_cpi,ln_real_income,-1.0428973690145185
5,ln_cpi,ln_cpi,1.5007450607253112
6,shadow_rate,shadow_rate,1.283081449617095
6,shadow_rate,ln_credit,-0.008322289662329677
6,shadow_rate,ln_real_equity,-0.0036575886807821544
6,shadow_rate,ln_real_housing,0.0012823586177929435
6,shadow_rate,ln_real_income,-0.008983397975640767
6,shadow_rate,ln_cpi,0.0008853640699822581
6,ln_credit,shadow_rate,-10.183506491871972
6,ln_credit,ln_credit,1.0020766651707624
6,ln_credit,ln_real_equity,-1.4144221391274747
6,ln_credit,ln_real_housing,-0.6250245420784329
6,ln_credit,ln_real_income,0.19699846583646427
6,ln_credit,ln_cpi,-0.16384546665740768
6,ln_real_equity,shadow_rate,2.3353386016829987
6,ln_real_equity,ln_credit,0.024714695623401048
6,ln_real_equity,ln_real_equity,0.7422596608557399
6,ln_real_equity,ln_real_housing,0.030339568939616077
6,ln_real_equity,ln_real_income,0.025035112124473485
6,ln_real_equity,ln_cpi,0.03147269977749727
6,ln_real_housing,shadow_rate,32.75959725322935
6,ln_real_housing,ln_credit,-0.2930290461445832
6,ln_real_housing,ln_real_equity,1.9065686730552687
6,ln_real_housing,ln_real_housing,5.148084032976927
6,ln_real_housing,ln_real_income,-0.36097690792996173
6,ln_real_housing,ln_cpi,0.15770849384604874
6,ln_real_income,shadow_rate,-9.455826861660134
6,ln_real_income,ln_credit,-0.04624440775907683
6,ln_real_income,ln_real_equity,1.2195435219725768
