,impact
shadow_rate,-1.0
ln_credit,-0.002065487679246428
ln_real_equity,0.06669873581564029
ln_real_housing,0.004735426472480427
ln_real_income,-0.007635451651257972
ln_cpi,-0.007497491189797937
