dimension,response,horizon,value,sign,control_lags,regime
dax_robustness,ln_house_price_de_real,0,1.329533827829534e-08,positive,,
dax_robustness,ln_house_price_de_real,1,3.7206964310893364e-08,positive,,
dax_robustness,ln_house_price_de_real,2,4.3402409839924926e-08,positive,,
dax_robustness,ln_house_price_de_real,4,5.430209819970711e-08,positive,,
dax_robustness,ln_house_price_de_real,8,1.7393698193597794e-08,positive,,
dax_robustness,ln_house_price_de_real,12,-3.7194965370155813e-09,negative,,
dax_robustness,ln_nfc_loans_ea_stock,0,3.1031058028617893e-09,positive,,
dax_robustness,ln_nfc_loans_ea_stock,1,-1.7660022504614066e-08,negative,,
dax_robustness,ln_nfc_loans_ea_stock,2,-1.0056177505876324e-08,negative,,
dax_robustness,ln_nfc_loans_ea_stock,4,-3.8761075578773715e-08,negative,,
dax_robustness,ln_nfc_loans_ea_stock,8,-1.3224706935148314e-07,negative,,
dax_robustness,ln_nfc_loans_ea_stock,12,-2.574741176021102e-07,negative,,
lag_sensitivity,ln_compensation_ea20_real,0,1.2587287479373998e-08,positive,1.0,
lag_sensitivity,ln_compensation_ea20_real,1,1.220589103156282e-07,positive,1.0,
lag_sensitivity,ln_compensation_ea20_real,2,2.5202845888187338e-08,positive,1.0,
lag_sensitivity,ln_compensation_ea20_real,4,4.8523558692269946e-08,positive,1.0,
lag_sensitivity,ln_compensation_ea20_real,8,-8.883369048581806e-08,negative,1.0,
lag_sensitivity,ln_compensation_ea20_real,12,-9.970821211269609e-08,negative,1.0,
lag_sensitivity,ln_ecb_assets_ea_stock,0,1.911655214598847e-07,positive,1.0,
lag_sensitivity,ln_ecb_assets_ea_stock,1,-3.500412028363101e-08,negative,1.0,
lag_sensitivity,ln_ecb_assets_ea_stock,2,2.34514576690933e-07,positive,1.0,
lag_sensitivity,ln_ecb_assets_ea_stock,4,7.330644587852824e-07,positive,1.0,
lag_sensitivity,ln_ecb_assets_ea_stock,8,1.9861206301070455e-06,positive,1.0,
lag_sensitivity,ln_ecb_assets_ea_stock,12,-1.910173843562425e-07,negative,1.0,
lag_sensitivity,ln_hh_loans_ea_stock,0,1.0462812809612063e-10,positive,1.0,
lag_sensitivity,ln_hh_loans_ea_stock,1,-2.5494871276477082e-08,negative,1.0,
lag_sensitivity,ln_hh_loans_ea_stock,2,-2.9769813044148682e-08,negative,1.0,
lag_sensitivity,ln_hh_loans_ea_stock,4,-5.619655210447087e-08,negative,1.0,
lag_sensitivity,ln_hh_loans_ea_stock,8,-1.329707703718388e-07,negative,1.0,
lag_sensitivity,ln_hh_loans_ea_stock,12,-1.6753906380422067e-07,negative,1.0,
lag_sensitivity,ln_house_price_de_real,0,3.2924681706457427e-08,positive,1.0,
lag_sensitivity,ln_house_price_de_real,1,4.565916571593687e-08,positive,1.0,
lag_sensitivity,ln_house_price_de_real,2,6.714146485895322e-08,positive,1.0,
lag_sensitivity,ln_house_price_de_real,4,1.6198979946415658e-07,positive,1.0,
lag_sensitivity,ln_house_price_de_real,8,1.2332299188950277e-07,positive,1.0,
lag_sensitivity,ln_house_price_de_real,12,1.2073291176216787e-08,positive,1.0,
lag_sensitivity,ln_nfc_loans_ea_stock,0,-1.8607414042166583e-08,negative,1.0,
lag_sensitivity,ln_nfc_loans_ea_stock,1,-7.381036557096946e-08,negative,1.0,
