response,response_label,channel,horizon_months,clean_events_only,contaminated_events_only,exclude_covid,exclude_crisis_windows,exclude_extreme_shock_outliers,exclude_qe_launch,full
ln_ecb_assets_ea_stock,ECB assets,financial_liquidity,12,negative,negative,negative,positive,negative,negative,negative
ln_ecb_assets_ea_stock,ECB assets,financial_liquidity,24,negative,negative,positive,positive,positive,negative,negative
ln_ecb_house_purchase_pure_new_loans,pure new house-purchase loans,housing_finance,0,positive,negative,negative,negative,positive,negative,negative
ln_ecb_house_purchase_pure_new_loans,pure new house-purchase loans,housing_finance,1,positive,positive,positive,positive,positive,positive,positive
ln_ecb_house_purchase_pure_new_loans,pure new house-purchase loans,housing_finance,3,positive,negative,negative,negative,positive,positive,positive
ln_ecb_house_purchase_pure_new_loans,pure new house-purchase loans,housing_finance,6,negative,positive,positive,positive,positive,positive,positive
ln_ecb_house_purchase_pure_new_loans,pure new house-purchase loans,housing_finance,12,negative,positive,positive,negative,positive,negative,negative
ln_ecb_house_purchase_pure_new_loans,pure new house-purchase loans,housing_finance,24,negative,negative,positive,negative,negative,negative,negative
ln_nfc_loans_ea_stock,NFC credit,financial_credit,0,negative,positive,positive,positive,positive,negative,negative
ln_nfc_loans_ea_stock,NFC credit,financial_credit,1,negative,positive,positive,negative,negative,negative,negative
ln_nfc_loans_ea_stock,NFC credit,financial_credit,3,negative,positive,positive,positive,positive,negative,negative
ln_nfc_loans_ea_stock,NFC credit,financial_credit,6,negative,positive,positive,positive,positive,positive,positive
ln_nfc_loans_ea_stock,NFC credit,financial_credit,12,negative,positive,positive,negative,positive,positive,positive
ln_nfc_loans_ea_stock,NFC credit,financial_credit,24,negative,negative,negative,negative,positive,negative,negative
