factor,aggregation,architecture,instrument,target_equation,sample,regime,regime_start,regime_end,F_stat,partial_R2,coef,sign,full_sample_sign,sign_stability,p_value,observations,instrument_variance,event_count,shock_abs_sum,shock_concentration_share
timing,quarterly_sum,direct_quarterly,timing_factor_quarterly_sum,d_ln_hh_loans_ea_stock,robustness_2005q1_2025q4,covid,2020Q1,2021Q4,,,,,negative,unstable_or_unavailable,,8,1.1340840376786823,16,5.335350102451358,0.03261067215229919
timing,quarterly_sum,direct_quarterly,timing_factor_quarterly_sum,d_ln_hh_loans_ea_stock,robustness_2005q1_2025q4,tightening,2022Q1,2025Q4,1.31283108527623,0.08573405387711476,-0.0007867334810995322,negative,negative,stable,0.2710911804508238,16,2.2890054434593035,31,18.910234466245967,0.11558294107419877
timing,quarterly_sum,direct_quarterly,timing_factor_quarterly_sum,d_ln_nfc_loans_ea_stock,robustness_2005q1_2025q4,pre_qe,2005Q1,2014Q1,0.06138616991337941,0.0018022217183751076,0.0001642671325359823,positive,positive,stable,0.8058085250481251,36,20.47134363813228,112,114.7118606145561,0.7011406574355419
timing,quarterly_sum,direct_quarterly,timing_factor_quarterly_sum,d_ln_nfc_loans_ea_stock,robustness_2005q1_2025q4,qe_era,2014Q2,2019Q4,3.227612638573886,0.13322041617237418,-0.0020875588098223366,negative,positive,unstable_or_unavailable,0.08680664917866096,23,2.3355742527133816,49,24.650041271918987,0.15066572933796013
timing,quarterly_sum,direct_quarterly,timing_factor_quarterly_sum,d_ln_nfc_loans_ea_stock,robustness_2005q1_2025q4,covid,2020Q1,2021Q4,,,,,positive,unstable_or_unavailable,,8,1.1340840376786823,16,5.335350102451358,0.03261067215229919
timing,quarterly_sum,direct_quarterly,timing_factor_quarterly_sum,d_ln_nfc_loans_ea_stock,robustness_2005q1_2025q4,tightening,2022Q1,2025Q4,0.2511393417544778,0.017622404478122213,0.0008610062502101384,positive,positive,stable,0.624061061885704,16,2.2890054434593035,31,18.910234466245967,0.11558294107419877
timing,quarterly_sum,direct_quarterly,timing_factor_quarterly_sum,d_ln_house_price_de_real,robustness_2005q1_2025q4,pre_qe,2005Q1,2014Q1,0.9530519079176862,0.027266629261114613,-0.0002838512322449778,negative,negative,stable,0.33583894111082535,36,20.47134363813228,112,114.7118606145561,0.7011406574355419
timing,quarterly_sum,direct_quarterly,timing_factor_quarterly_sum,d_ln_house_price_de_real,robustness_2005q1_2025q4,qe_era,2014Q2,2019Q4,6.368051821303391,0.2326819556935535,-0.0026327465230904026,negative,negative,stable,0.019748013444743938,23,2.3355742527133816,49,24.650041271918987,0.15066572933796013
timing,quarterly_sum,direct_quarterly,timing_factor_quarterly_sum,d_ln_house_price_de_real,robustness_2005q1_2025q4,covid,2020Q1,2021Q4,,,,,negative,unstable_or_unavailable,,8,1.1340840376786823,16,5.335350102451358,0.03261067215229919
timing,quarterly_sum,direct_quarterly,timing_factor_quarterly_sum,d_ln_house_price_de_real,robustness_2005q1_2025q4,tightening,2022Q1,2025Q4,0.10014154546139531,0.007102165970357172,0.0011217425333838005,positive,negative,unstable_or_unavailable,0.7563289690566315,16,2.2890054434593035,31,18.910234466245967,0.11558294107419877
timing,quarterly_mean,direct_quarterly,timing_factor_quarterly_mean,d_wx_shadow_rate,baseline_2005q1_2022q2,pre_qe,2005Q1,2014Q1,0.5555092260232881,0.016075851245304223,0.04374878721774159,positive,positive,stable,0.46119698867107767,36,2.4293833962391775,112,39.944635440956326,0.6286928317056368
timing,quarterly_mean,direct_quarterly,timing_factor_quarterly_mean,d_wx_shadow_rate,baseline_2005q1_2022q2,qe_era,2014Q2,2019Q4,0.03837392280079817,0.0018239966140733714,0.02788778554411936,positive,positive,stable,0.8465773629560296,23,0.4633968930685427,49,11.147660204727934,0.17545420013563787
timing,quarterly_mean,direct_quarterly,timing_factor_quarterly_mean,d_wx_shadow_rate,baseline_2005q1_2022q2,covid,2020Q1,2021Q4,,,,,positive,unstable_or_unavailable,,8,0.28352100941967057,16,2.667675051225679,0.04198681909375811
timing,quarterly_mean,direct_quarterly,timing_factor_quarterly_mean,d_wx_shadow_rate,baseline_2005q1_2022q2,tightening,2022Q1,2025Q4,,,,,positive,unstable_or_unavailable,,2,0.022491219955023893,4,2.536613772359952,0.0399240317976054
timing,quarterly_mean,direct_quarterly,timing_factor_quarterly_mean,d_dfr_eop,robustness_2005q1_2025q4,pre_qe,2005Q1,2014Q1,0.21153030294229855,0.006183012015808783,0.01874939260571907,positive,positive,stable,0.6484983106882267,36,2.4293833962391775,112,39.944635440956326,0.6286928317056368
timing,quarterly_mean,direct_quarterly,timing_factor_quarterly_mean,d_dfr_eop,robustness_2005q1_2025q4,qe_era,2014Q2,2019Q4,0.5154851133918592,0.02395879575455198,0.00958963174732067,positive,positive,stable,0.4806858403683468,23,0.4633968930685427,49,11.147660204727934,0.17545420013563787
timing,quarterly_mean,direct_quarterly,timing_factor_quarterly_mean,d_dfr_eop,robustness_2005q1_2025q4,covid,2020Q1,2021Q4,,,,,positive,unstable_or_unavailable,,8,0.28352100941967057,16,2.667675051225679,0.04198681909375811
timing,quarterly_mean,direct_quarterly,timing_factor_quarterly_mean,d_dfr_eop,robustness_2005q1_2025q4,tightening,2022Q1,2025Q4,0.012562147663589289,0.0008964918429056789,0.022668825233996548,positive,positive,stable,0.9123503445986402,16,0.5942440382688877,31,9.776041527990024,0.15386614906496698
timing,quarterly_mean,direct_quarterly,timing_factor_quarterly_mean,d_ln_ecb_assets_ea_stock,robustness_2005q1_2025q4,pre_qe,2005Q1,2014Q1,1.780253088155281,0.04975518434062214,-0.012738495592623494,negative,negative,stable,0.19098636832441934,36,2.4293833962391775,112,39.944635440956326,0.6286928317056368
timing,quarterly_mean,direct_quarterly,timing_factor_quarterly_mean,d_ln_ecb_assets_ea_stock,robustness_2005q1_2025q4,qe_era,2014Q2,2019Q4,0.2799625600267001,0.01315615848650952,0.006773101761323029,positive,negative,unstable_or_unavailable,0.6022745098613737,23,0.4633968930685427,49,11.147660204727934,0.17545420013563787
timing,quarterly_mean,direct_quarterly,timing_factor_quarterly_mean,d_ln_ecb_assets_ea_stock,robustness_2005q1_2025q4,covid,2020Q1,2021Q4,,,,,negative,unstable_or_unavailable,,8,0.28352100941967057,16,2.667675051225679,0.04198681909375811
timing,quarterly_mean,direct_quarterly,timing_factor_quarterly_mean,d_ln_ecb_assets_ea_stock,robustness_2005q1_2025q4,tightening,2022Q1,2025Q4,0.6096896980829771,0.04173187183865911,-0.008226331183621306,negative,negative,stable,0.44790718665038015,16,0.5942440382688877,31,9.776041527990024,0.15386614906496698
timing,quarterly_mean,direct_quarterly,timing_factor_quarterly_mean,d_ecb_assets_ea_qavg,robustness_2005q1_2025q4,pre_qe,2005Q1,2014Q1,1.403550964842799,0.03964435562513443,-19414.79865167034,negative,negative,stable,0.24434540996544904,36,2.4293833962391775,112,39.944635440956326,0.6286928317056368
timing,quarterly_mean,direct_quarterly,timing_factor_quarterly_mean,d_ecb_assets_ea_qavg,robustness_2005q1_2025q4,qe_era,2014Q2,2019Q4,0.11290136578841499,0.005347505955356834,12631.18570499898,positive,negative,unstable_or_unavailable,0.7401989312675498,23,0.4633968930685427,49,11.147660204727934,0.17545420013563787
