sample_name,response,response_label,channel,response_role,shock,horizon_months,cumulative_response,cumulative_se_independence_approx,ci_90_low,ci_90_high,ci_95_low,ci_95_high,ci_68_low,ci_68_high,significant_90,significant_95,shock_normalization,ci_method,interpretation_layer
full,ecb_house_purchase_growth_yoy,house-purchase lending growth,housing_finance,canonical_proxy,target_factor_monthly_easing,12,0.48316888226252847,0.09518707174834055,0.3266000820583805,0.6397376824666765,0.2966056498419509,0.669732114683106,0.3885093483827388,0.5778284161423181,True,True,1_sd_surprise,sum_of_horizon_betas_with_independence_se_approximation,reduced_form_dynamic_transmission
full,ecb_house_purchase_growth_yoy,house-purchase lending growth,housing_finance,canonical_proxy,target_factor_monthly_easing,24,0.35696383544406507,0.137602156554491,0.13062842915906622,0.5832992417290639,0.08726856440222053,0.6266591064859096,0.22012428611178889,0.4938033847763412,True,True,1_sd_surprise,sum_of_horizon_betas_with_independence_se_approximation,reduced_form_dynamic_transmission
full,ecb_house_purchase_growth_yoy,house-purchase lending growth,housing_finance,canonical_proxy,timing_factor_monthly_easing,0,0.0074270165849829204,0.02821808133350457,-0.03898759684204371,0.05384163001200955,-0.04787940654150802,0.06273343971147385,-0.02063467684617468,0.03548871001614052,False,False,1_sd_surprise,sum_of_horizon_betas_with_independence_se_approximation,reduced_form_dynamic_transmission
full,ecb_house_purchase_growth_yoy,house-purchase lending growth,housing_finance,canonical_proxy,timing_factor_monthly_easing,1,0.021139804786434114,0.047081323729149034,-0.056302081311133095,0.09858169088400132,-0.07113789406716903,0.11341750364003725,-0.02568058874796855,0.06796019832083677,False,False,1_sd_surprise,sum_of_horizon_betas_with_independence_se_approximation,reduced_form_dynamic_transmission
full,ecb_house_purchase_growth_yoy,house-purchase lending growth,housing_finance,canonical_proxy,timing_factor_monthly_easing,3,0.036738995131817824,0.07560443967454455,-0.08761924168049057,0.16109723194412623,-0.11144298370162067,0.18492097396525634,-0.038446435908189226,0.11192442617182488,False,False,1_sd_surprise,sum_of_horizon_betas_with_independence_se_approximation,reduced_form_dynamic_transmission
full,ecb_house_purchase_growth_yoy,house-purchase lending growth,housing_finance,canonical_proxy,timing_factor_monthly_easing,6,0.10463528444155779,0.12280172716606906,-0.09735558188345605,0.3066261507665716,-0.13605167804325152,0.3453222469263671,-0.017485861210512876,0.22675643009362845,False,False,1_sd_surprise,sum_of_horizon_betas_with_independence_se_approximation,reduced_form_dynamic_transmission
full,ecb_house_purchase_growth_yoy,house-purchase lending growth,housing_finance,canonical_proxy,timing_factor_monthly_easing,12,0.22901377858657543,0.15735515077125944,-0.029812411879026418,0.4878399690521773,-0.07939664970696317,0.537424206880114,0.07253070843843723,0.3854968487347136,False,False,1_sd_surprise,sum_of_horizon_betas_with_independence_se_approximation,reduced_form_dynamic_transmission
full,ecb_house_purchase_growth_yoy,house-purchase lending growth,housing_finance,canonical_proxy,timing_factor_monthly_easing,24,0.1586629888324336,0.1875459905307186,-0.14982271391222537,0.4671486915770926,-0.2089203980526649,0.5262463757175321,-0.0278435999152212,0.34516957758008837,False,False,1_sd_surprise,sum_of_horizon_betas_with_independence_se_approximation,reduced_form_dynamic_transmission
full,ecb_house_purchase_growth_yoy,house-purchase lending growth,housing_finance,canonical_proxy,weighted_composite_monthly_easing,0,0.039434655888317245,0.02766141958033575,-0.006064330435024488,0.08493364221165897,-0.014780730250391887,0.09365004202702637,0.01192653912587974,0.06694277265075475,False,False,1_sd_surprise,sum_of_horizon_betas_with_independence_se_approximation,reduced_form_dynamic_transmission
full,ecb_house_purchase_growth_yoy,house-purchase lending growth,housing_finance,canonical_proxy,weighted_composite_monthly_easing,1,0.08847501941556624,0.04009945836858994,0.022517279879201504,0.15443275895193098,0.00988152521356668,0.1670685136175658,0.048597796928480666,0.12835224190265182,True,True,1_sd_surprise,sum_of_horizon_betas_with_independence_se_approximation,reduced_form_dynamic_transmission
