response,response_label,shock,horizon_months,cumulative_response,cumulative_se_independence_approx,ci_90_low,ci_90_high,ci_method
ln_dax_real_de,real DAX,weighted_composite_monthly_easing,6,-0.051343185434654354,0.025555142474593572,-0.09337765422125122,-0.009308716648057498,sum_of_monthly_reduced_form_betas_with_independence_se_approximation
ln_dax_real_de,real DAX,weighted_composite_monthly_easing,12,-0.07745330612915022,0.02910668355116157,-0.12532954013680708,-0.029577072121493353,sum_of_monthly_reduced_form_betas_with_independence_se_approximation
ln_dax_real_de,real DAX,weighted_composite_monthly_easing,24,-0.1072857355258154,0.03055870543165352,-0.15755033299001234,-0.05702113806161845,sum_of_monthly_reduced_form_betas_with_independence_se_approximation
ln_ecb_assets_ea_stock,ECB assets,fg_factor_monthly_easing,0,-0.0004787604492188483,0.0006877543893847842,-0.0016100157510502058,0.0006524948526125092,sum_of_monthly_reduced_form_betas_with_independence_se_approximation
ln_ecb_assets_ea_stock,ECB assets,fg_factor_monthly_easing,1,-1.4619725268257835e-05,0.0010424149557116584,-0.0017292397459590374,0.0017000002954225219,sum_of_monthly_reduced_form_betas_with_independence_se_approximation
ln_ecb_assets_ea_stock,ECB assets,fg_factor_monthly_easing,3,0.005326750998654367,0.0025743725320915953,0.0010922850021192615,0.009561216995189473,sum_of_monthly_reduced_form_betas_with_independence_se_approximation
ln_ecb_assets_ea_stock,ECB assets,fg_factor_monthly_easing,6,0.008253671451244126,0.0032013716747591407,0.0029878836407968446,0.013519459261691407,sum_of_monthly_reduced_form_betas_with_independence_se_approximation
ln_ecb_assets_ea_stock,ECB assets,fg_factor_monthly_easing,12,0.010957607665771585,0.003926705657192884,0.004498751623567005,0.017416463707976164,sum_of_monthly_reduced_form_betas_with_independence_se_approximation
ln_ecb_assets_ea_stock,ECB assets,fg_factor_monthly_easing,24,0.014777735531686606,0.004353456575369789,0.007616936693913875,0.021938534369459337,sum_of_monthly_reduced_form_betas_with_independence_se_approximation
ln_ecb_assets_ea_stock,ECB assets,qe_factor_monthly_easing,0,-0.0011605435194928537,0.0008702515020016126,-0.0025919798589201723,0.00027089281993446517,sum_of_monthly_reduced_form_betas_with_independence_se_approximation
