response,horizon,cumulative_response,cumulative_HAC_se_independence_approx,CI_68_low,CI_68_high,CI_low,CI_high,min_F_stat_to_horizon,weak_iv_flag_to_horizon,ci_method
ln_nfc_loans_ea_stock,0,7.129894912061861e-09,1.8936394400489597e-08,-1.1701551779074048e-08,2.596134160319777e-08,-2.4017702098966987e-08,3.827749192309071e-08,0.20642234843224008,weak_iv_risk,sum_of_reported_horizon_betas_with_independence_se_approximation
ln_nfc_loans_ea_stock,1,-8.69245176357498e-09,2.8841062839796546e-08,-3.7373674064758524e-08,1.9988770537608566e-08,-5.6131778580749636e-08,3.8746875053599675e-08,0.20642234843224008,weak_iv_risk,sum_of_reported_horizon_betas_with_independence_se_approximation
ln_nfc_loans_ea_stock,2,-1.9984516609491657e-08,3.5739028434037307e-08,-5.552547517397758e-08,1.5556441954994267e-08,-7.876998715293969e-08,3.8800953933956374e-08,0.20642234843224008,weak_iv_risk,sum_of_reported_horizon_betas_with_independence_se_approximation
ln_nfc_loans_ea_stock,4,-6.682279674730055e-08,4.416260986137017e-08,-1.1074065226705691e-07,-2.2904941227544195e-08,-1.3946382575341808e-07,5.8182322588169926e-09,0.16606018788504126,weak_iv_risk,sum_of_reported_horizon_betas_with_independence_se_approximation
ln_nfc_loans_ea_stock,8,-2.0039508124596004e-07,8.107881780188725e-08,-2.810245507703741e-07,-1.19765611721546e-07,-3.337578687763318e-07,-6.703229371558828e-08,0.04747973873658527,weak_iv_risk,sum_of_reported_horizon_betas_with_independence_se_approximation
ln_nfc_loans_ea_stock,12,-4.4141404592572267e-07,1.1164339942904569e-07,-5.524387045962724e-07,-3.303893872551729e-07,-6.250510964017803e-07,-2.57776995449665e-07,0.015702461598562825,weak_iv_risk,sum_of_reported_horizon_betas_with_independence_se_approximation
