response,regime,horizon,cumulative_response,F_stat,weak_iv_flag
ln_hh_loans_ea_stock,qe,2,9.427139820896258e-08,1.4216360097862715,weak_iv_risk
ln_hh_loans_ea_stock,qe,4,9.184423012921347e-08,1.1900665335224,weak_iv_risk
ln_hh_loans_ea_stock,qe,8,4.475129417262702e-08,0.9534796233794917,weak_iv_risk
ln_hh_loans_ea_stock,qe,12,-2.65467865661504e-08,0.0021781474005609664,weak_iv_risk
ln_hh_loans_ea_stock,tightening,0,-1.4574777723148992e-07,1.4636764838310359,weak_iv_risk
ln_hh_loans_ea_stock,tightening,1,-2.4467808983265805e-07,1.4525411404335429,weak_iv_risk
ln_hh_loans_ea_stock,tightening,2,-2.446780827470318e-07,1.4216360097862715,weak_iv_risk
ln_hh_loans_ea_stock,tightening,4,-2.4467806383899117e-07,1.1900665335224,weak_iv_risk
ln_hh_loans_ea_stock,tightening,8,-2.446779850633751e-07,0.9534796233794917,weak_iv_risk
ln_hh_loans_ea_stock,tightening,12,-2.4467831740552833e-07,0.0021781474005609664,weak_iv_risk
ln_house_price_de_real,covid,0,2.0526627620885496e-08,1.4636764838310359,weak_iv_risk
ln_house_price_de_real,covid,1,8.410250649487014e-08,1.4525411404335429,weak_iv_risk
ln_house_price_de_real,covid,2,1.2757028847095538e-07,1.4216360097862715,weak_iv_risk
ln_house_price_de_real,covid,4,1.573201517172581e-07,1.1900665335224,weak_iv_risk
ln_house_price_de_real,covid,8,9.63804452553429e-08,0.9534796233794917,weak_iv_risk
ln_house_price_de_real,covid,12,9.638050645852154e-08,0.0021781474005609664,weak_iv_risk
ln_house_price_de_real,pre_qe,0,3.0998379534396225e-08,1.4636764838310359,weak_iv_risk
ln_house_price_de_real,pre_qe,1,8.407378890330736e-08,1.4525411404335429,weak_iv_risk
ln_house_price_de_real,pre_qe,2,1.4508727386297397e-07,1.4216360097862715,weak_iv_risk
ln_house_price_de_real,pre_qe,4,2.0841677306179707e-07,1.1900665335224,weak_iv_risk
ln_house_price_de_real,pre_qe,8,2.3280257175732978e-07,0.9534796233794917,weak_iv_risk
ln_house_price_de_real,pre_qe,12,2.550981295569416e-07,0.0021781474005609664,weak_iv_risk
ln_house_price_de_real,qe,0,1.4991995449988845e-08,1.4636764838310359,weak_iv_risk
ln_house_price_de_real,qe,1,4.4656952227523755e-08,1.4525411404335429,weak_iv_risk
ln_house_price_de_real,qe,2,1.0980689395291369e-07,1.4216360097862715,weak_iv_risk
ln_house_price_de_real,qe,4,1.4473372364698865e-07,1.1900665335224,weak_iv_risk
ln_house_price_de_real,qe,8,2.26213210470326e-07,0.9534796233794917,weak_iv_risk
ln_house_price_de_real,qe,12,3.357428373986067e-07,0.0021781474005609664,weak_iv_risk
ln_house_price_de_real,tightening,0,-5.7283243988834586e-08,1.4636764838310359,weak_iv_risk
ln_house_price_de_real,tightening,1,-1.9409757291250465e-07,1.4525411404335429,weak_iv_risk
ln_house_price_de_real,tightening,2,-1.9409757563493676e-07,1.4216360097862715,weak_iv_risk
ln_house_price_de_real,tightening,4,-1.9409761794964798e-07,1.1900665335224,weak_iv_risk
ln_house_price_de_real,tightening,8,-1.940978460984034e-07,0.9534796233794917,weak_iv_risk
ln_house_price_de_real,tightening,12,-1.9409795513188022e-07,0.0021781474005609664,weak_iv_risk
ln_nfc_loans_ea_stock,covid,0,-3.6636776108812526e-08,1.4636764838310359,weak_iv_risk
ln_nfc_loans_ea_stock,covid,1,-1.0865556846699426e-07,1.4525411404335429,weak_iv_risk
ln_nfc_loans_ea_stock,covid,2,-1.6959849315473574e-07,1.4216360097862715,weak_iv_risk
ln_nfc_loans_ea_stock,covid,4,-2.1937543764162252e-07,1.1900665335224,weak_iv_risk
ln_nfc_loans_ea_stock,covid,8,-2.1728225268084827e-07,0.9534796233794917,weak_iv_risk
ln_nfc_loans_ea_stock,covid,12,-2.1728281396107004e-07,0.0021781474005609664,weak_iv_risk
