response,response_label,channel,response_role,shock,horizon_months,coefficient_common_sample,ci_68_low,ci_68_high,ci_90_low,ci_90_high,ci_95_low,ci_95_high,bootstrap_replications,bootstrap_method,block_length,block_length_rule,nobs_common_horizon_sample,interpretation_layer,moving_block_width_90,wild_width_90,width_ratio_mbb_to_wild
ln_ecb_assets_ea_stock,ECB assets,financial_liquidity,monthly,target_factor_monthly_easing,0,-0.003644210684016807,-0.005798358500610008,-0.0012718541171199472,-0.00770413857582185,0.00013114659528645124,-0.009343630267303511,0.0013891934066199328,399,moving_block,12,automatic_max_6_n_cuberoot_half_max_horizon,222,dependence_aware_reduced_form_uncertainty,0.007835285171108302,0.009516044022380698,0.8233763056035224
ln_ecb_assets_ea_stock,ECB assets,financial_liquidity,monthly,target_factor_monthly_easing,1,-0.0017495066924707373,-0.004954785731565251,0.0015756888131450025,-0.007233875672586567,0.004525545944358686,-0.008510565171022616,0.005643057998060664,399,moving_block,12,automatic_max_6_n_cuberoot_half_max_horizon,222,dependence_aware_reduced_form_uncertainty,0.011759421616945253,0.015581507486000873,0.7547037170511548
ln_ecb_assets_ea_stock,ECB assets,financial_liquidity,monthly,target_factor_monthly_easing,3,-0.0025537266943245836,-0.0075552213529109825,0.0021790555625944897,-0.010640371165044996,0.0052477245820464575,-0.01228742689911832,0.006192426721737842,399,moving_block,12,automatic_max_6_n_cuberoot_half_max_horizon,222,dependence_aware_reduced_form_uncertainty,0.015888095747091453,0.024537401705515098,0.6475052223447276
ln_ecb_assets_ea_stock,ECB assets,financial_liquidity,monthly,target_factor_monthly_easing,6,-0.0030022971326662,-0.008832773962458795,0.00330966920030403,-0.013498943149080546,0.008958541002141744,-0.016563206460423356,0.010094096494176918,399,moving_block,12,automatic_max_6_n_cuberoot_half_max_horizon,222,dependence_aware_reduced_form_uncertainty,0.02245748415122229,0.030427900309518422,0.7380556634792564
ln_ecb_assets_ea_stock,ECB assets,financial_liquidity,monthly,target_factor_monthly_easing,12,-0.009994641291972776,-0.02006226147225599,0.0007318781794667141,-0.025618564501877123,0.008225615175911034,-0.02890330229444584,0.010208151316673061,399,moving_block,12,automatic_max_6_n_cuberoot_half_max_horizon,222,dependence_aware_reduced_form_uncertainty,0.03384417967778816,0.04829520790612783,0.7007771815284787
ln_ecb_assets_ea_stock,ECB assets,financial_liquidity,monthly,target_factor_monthly_easing,24,-0.010601283414378108,-0.0238665167092015,0.003405222324313873,-0.03270908306597786,0.012893041084352722,-0.03598916453636244,0.018060096715520637,399,moving_block,12,automatic_max_6_n_cuberoot_half_max_horizon,222,dependence_aware_reduced_form_uncertainty,0.04560212415033058,0.0704102750055994,0.6476629177588649
ln_dax_real_de,real DAX,financial_market,monthly,target_factor_monthly_easing,0,-0.0013860180232138184,-0.004649583783609764,0.0017102522793438011,-0.006534478551764709,0.0038137609216374797,-0.007550927901765705,0.005454694137357907,399,moving_block,12,automatic_max_6_n_cuberoot_half_max_horizon,222,dependence_aware_reduced_form_uncertainty,0.01034823947340219,0.014877293871936585,0.6955727004171326
ln_dax_real_de,real DAX,financial_market,monthly,target_factor_monthly_easing,1,-0.0017823422277826817,-0.006470165718155474,0.003251053273442514,-0.009042961309700918,0.006198795331935461,-0.010777127228429566,0.008459984318132933,399,moving_block,12,automatic_max_6_n_cuberoot_half_max_horizon,222,dependence_aware_reduced_form_uncertainty,0.015241756641636378,0.015618273640473291,0.9758925341235407
ln_dax_real_de,real DAX,financial_market,monthly,target_factor_monthly_easing,3,-0.0060231516035394355,-0.011465502309419213,0.0003038827105364883,-0.016231154913110696,0.0037798071258449677,-0.017035542182907426,0.006099494318144787,399,moving_block,12,automatic_max_6_n_cuberoot_half_max_horizon,222,dependence_aware_reduced_form_uncertainty,0.020010962038955665,0.015656783242821534,1.2781017485268231
ln_dax_real_de,real DAX,financial_market,monthly,target_factor_monthly_easing,6,-0.008574169577202593,-0.015817252785984462,-0.0022433035321050726,-0.019212339420186537,0.0033177244308677514,-0.021502474161475715,0.007168177688727262,399,moving_block,12,automatic_max_6_n_cuberoot_half_max_horizon,222,dependence_aware_reduced_form_uncertainty,0.02253006385105429,0.023877500358315554,0.94356877868114
