target,instrument,regime,observations,sample_start,sample_end,first_stage_f_stat,partial_r_squared,coefficient,sign,relevance_class
d_dfr_mavg,target_factor_monthly_easing,qe,71,2014-02,2019-12,0.1955994960194888,0.003000194760559432,0.0008460390614965438,positive,weak
d_dfr_mavg,target_factor_monthly_easing,tightening,46,2022-01,2025-10,0.2793676833588518,0.006935751463503502,-0.002676528721991503,negative,weak
d_dfr_mavg,fg_factor_monthly_easing,covid,24,,,,,,,not_available
d_dfr_mavg,fg_factor_monthly_easing,pre_qe,103,2005-04,2014-01,2.025229154092367,0.020451648245528663,0.002782742071294193,positive,weak
d_dfr_mavg,fg_factor_monthly_easing,qe,71,2014-02,2019-12,25.076625876291267,0.2783921537062324,0.006176117350385145,positive,strong_F16
d_dfr_mavg,fg_factor_monthly_easing,tightening,46,2022-01,2025-10,2.3834892214803762,0.05623626712338729,0.007872175078949885,positive,weak
d_dfr_mavg,qe_factor_monthly_easing,covid,24,,,,,,,not_available
d_dfr_mavg,qe_factor_monthly_easing,pre_qe,1,,,,,,,not_available
d_dfr_mavg,qe_factor_monthly_easing,qe,71,2014-02,2019-12,4.896475180579741,0.0700532490076151,0.0018064070664654051,positive,weak
d_dfr_mavg,qe_factor_monthly_easing,tightening,46,2022-01,2025-10,0.4390036297363052,0.010855945753655748,0.0058944524344679665,positive,weak
d_dfr_mavg,weighted_composite_monthly_easing,covid,24,,,,,,,not_available
d_dfr_mavg,weighted_composite_monthly_easing,pre_qe,105,2005-04,2014-01,0.07543770127808123,0.0007614167853139658,0.003529619143784704,positive,weak
d_dfr_mavg,weighted_composite_monthly_easing,qe,71,2014-02,2019-12,5.939273251351235,0.08372334504058519,0.014597969596774694,positive,borderline
d_dfr_mavg,weighted_composite_monthly_easing,tightening,46,2022-01,2025-10,0.18661312266923072,0.004643663851432218,0.015238493235349766,positive,weak
d_ln_ecb_assets_ea_stock,timing_factor_monthly_easing,covid,24,2020-01,2021-12,0.12529567201659006,0.006912751895685345,0.003066087557015539,positive,weak
d_ln_ecb_assets_ea_stock,timing_factor_monthly_easing,pre_qe,103,2005-04,2014-01,5.794956201114574,0.05637393521309503,0.004006414933788737,positive,borderline
d_ln_ecb_assets_ea_stock,timing_factor_monthly_easing,qe,71,2014-02,2019-12,5.561392481738209,0.07881636524077294,-0.0039875846374453116,negative,borderline
d_ln_ecb_assets_ea_stock,timing_factor_monthly_easing,tightening,46,2022-01,2025-10,1.5886499631846842,0.038199123188441965,0.003176335906787931,positive,weak
d_ln_ecb_assets_ea_stock,target_factor_monthly_easing,covid,24,2020-01,2021-12,5.577047776415027,0.23654563664217318,-0.004896989791199666,negative,borderline
d_ln_ecb_assets_ea_stock,target_factor_monthly_easing,pre_qe,105,2005-04,2014-01,0.7187651565690754,0.007207922755968123,-0.0016578066949702397,negative,weak
d_ln_ecb_assets_ea_stock,target_factor_monthly_easing,qe,71,2014-02,2019-12,0.09248897928384324,0.0014208855850216225,0.0005126418245265499,positive,weak
d_ln_ecb_assets_ea_stock,target_factor_monthly_easing,tightening,46,2022-01,2025-10,0.08877906357887752,0.0022145614222393297,0.00019691354462881883,positive,weak
d_ln_ecb_assets_ea_stock,fg_factor_monthly_easing,covid,24,2020-01,2021-12,0.772953929122542,0.041173804188772666,-0.004473171279825675,negative,weak
d_ln_ecb_assets_ea_stock,fg_factor_monthly_easing,pre_qe,103,2005-04,2014-01,0.49874524101842893,0.005115401637072589,-0.0007430397542869286,negative,weak
d_ln_ecb_assets_ea_stock,fg_factor_monthly_easing,qe,71,2014-02,2019-12,2.8129632868499845,0.04148120286310306,0.002140418109814444,positive,weak
d_ln_ecb_assets_ea_stock,fg_factor_monthly_easing,tightening,46,2022-01,2025-10,5.318780800866475,0.11736372221127322,0.0014533379306956738,positive,borderline
d_ln_ecb_assets_ea_stock,qe_factor_monthly_easing,covid,24,2020-01,2021-12,0.26003076757787036,0.014240434251599156,0.0018570661791586385,positive,weak
d_ln_ecb_assets_ea_stock,qe_factor_monthly_easing,pre_qe,1,,,,,,,not_available
d_ln_ecb_assets_ea_stock,qe_factor_monthly_easing,qe,71,2014-02,2019-12,1.3078488987865138,0.019723892729242926,-0.0008726837340328527,negative,weak
d_ln_ecb_assets_ea_stock,qe_factor_monthly_easing,tightening,46,2022-01,2025-10,3.764881120089715,0.08602516501207846,-0.0020946522862204655,negative,weak
d_ln_ecb_assets_ea_stock,weighted_composite_monthly_easing,covid,24,2020-01,2021-12,7.4857278241864,0.2937223482816258,-0.06981526826299789,negative,borderline
d_ln_ecb_assets_ea_stock,weighted_composite_monthly_easing,pre_qe,105,2005-04,2014-01,0.5394809836384233,0.005419768902824591,0.004968109388375146,positive,weak
d_ln_ecb_assets_ea_stock,weighted_composite_monthly_easing,qe,71,2014-02,2019-12,1.1702919652188533,0.017686063193343544,-0.006051554355814559,negative,weak
d_ln_ecb_assets_ea_stock,weighted_composite_monthly_easing,tightening,46,2022-01,2025-10,0.6239559532185155,0.01535931049986975,0.0035718988409125406,positive,weak
d_ln_ecb_assets_ea_mavg,timing_factor_monthly_easing,covid,24,2020-01,2021-12,0.1363772558242951,0.007519542293403667,0.002968378247095443,positive,weak
d_ln_ecb_assets_ea_mavg,timing_factor_monthly_easing,pre_qe,103,2005-04,2014-01,9.338164599215405,0.08781573985605828,0.004197006205364505,positive,borderline
d_ln_ecb_assets_ea_mavg,timing_factor_monthly_easing,qe,71,2014-02,2019-12,4.151726542978635,0.06003793036748384,-0.003111692170175352,negative,weak
d_ln_ecb_assets_ea_mavg,timing_factor_monthly_easing,tightening,46,2022-01,2025-10,0.07286075594173246,0.0018182070001311087,0.0005671018063244156,positive,weak
d_ln_ecb_assets_ea_mavg,target_factor_monthly_easing,covid,24,2020-01,2021-12,0.8883364901240441,0.04703095429227025,-0.002040153006862559,negative,weak
d_ln_ecb_assets_ea_mavg,target_factor_monthly_easing,pre_qe,105,2005-04,2014-01,2.694537254642258,0.02649638149092669,-0.0026717491661540247,negative,weak
d_ln_ecb_assets_ea_mavg,target_factor_monthly_easing,qe,71,2014-02,2019-12,0.5742286485462242,0.00875692570665038,-0.0011460270970600974,negative,weak
d_ln_ecb_assets_ea_mavg,target_factor_monthly_easing,tightening,46,2022-01,2025-10,0.06275506314628465,0.001566419060480766,0.00016596051159222436,positive,weak
d_ln_ecb_assets_ea_mavg,fg_factor_monthly_easing,covid,24,2020-01,2021-12,1.3234457589243345,0.06848911811254546,-0.005269248562977239,negative,weak
d_ln_ecb_assets_ea_mavg,fg_factor_monthly_easing,pre_qe,103,2005-04,2014-01,0.17856033460742404,0.0018374457698550077,-0.0003714159741849395,negative,weak
d_ln_ecb_assets_ea_mavg,fg_factor_monthly_easing,qe,71,2014-02,2019-12,0.7397883168160592,0.01125328109136645,0.0009975346224485523,positive,weak
d_ln_ecb_assets_ea_mavg,fg_factor_monthly_easing,tightening,46,2022-01,2025-10,4.710881093213204,0.10536319074974085,0.0011026899426347827,positive,weak
d_ln_ecb_assets_ea_mavg,qe_factor_monthly_easing,covid,24,2020-01,2021-12,1.4338120025971661,0.07377924631593376,0.0039825064559763325,positive,weak
d_ln_ecb_assets_ea_mavg,qe_factor_monthly_easing,pre_qe,1,,,,,,,not_available
d_ln_ecb_assets_ea_mavg,qe_factor_monthly_easing,qe,71,2014-02,2019-12,0.7275088168835755,0.011068559115946574,0.0005830237162210227,positive,weak
d_ln_ecb_assets_ea_mavg,qe_factor_monthly_easing,tightening,46,2022-01,2025-10,0.8434631994770834,0.020651118524343995,-0.0008394546505066128,negative,weak
d_ln_ecb_assets_ea_mavg,weighted_composite_monthly_easing,covid,24,2020-01,2021-12,0.28576660014656163,0.015627816235184323,-0.01486259756725141,negative,weak
d_ln_ecb_assets_ea_mavg,weighted_composite_monthly_easing,pre_qe,105,2005-04,2014-01,0.935020710538984,0.00935628675404255,0.005422291656916914,positive,weak
d_ln_ecb_assets_ea_mavg,weighted_composite_monthly_easing,qe,71,2014-02,2019-12,0.03483300958679152,0.000535605428273442,-0.0009415979970850297,negative,weak
d_ln_ecb_assets_ea_mavg,weighted_composite_monthly_easing,tightening,46,2022-01,2025-10,0.7762124070321327,0.019035912391369376,0.0034105645382955345,positive,weak
d_ln_dax_real_de,timing_factor_monthly_easing,covid,24,2020-01,2021-12,2.688733608658158,0.12996124651790836,-0.03777257652256146,negative,weak
d_ln_dax_real_de,timing_factor_monthly_easing,pre_qe,103,2005-04,2014-01,0.0172949334408187,0.0001782664982844963,-0.00026836145669227856,negative,weak
d_ln_dax_real_de,timing_factor_monthly_easing,qe,71,2014-02,2019-12,0.0006370778343806061,9.801101389479359e-06,-0.00012042386548528298,negative,weak
