response,response_label,channel,response_role,shock,horizon_months,sample_name,controls,nobs,sample_start,sample_end,raw_coefficient_per_unit_shock,raw_std_error_hac,coefficient,std_error_hac,t_stat,p_value,ci_90_low,ci_90_high,ci_95_low,ci_95_high,ci_68_low,ci_68_high,bootstrap_ci_90_low,bootstrap_ci_90_high,bootstrap_ci_68_low,bootstrap_ci_68_high,bootstrap_ci_95_low,bootstrap_ci_95_high,bootstrap_replications,bootstrap_method,ci_method,horizon_consistent_bandwidth,coefficient_10bp_equiv,std_error_10bp_equiv,shock_scale_raw_units,shock_normalization,optional_10bp_scaling_note,r_squared,hac_bandwidth,interpretation_layer
ln_dax_real_de,real DAX,financial_market,monthly,target_factor_monthly_easing,12,regime_covid,"L1_ln_dax_real_de,L2_ln_dax_real_de,L1_inflation_ea20_mom,L2_inflation_ea20_mom,L1_dfr_mavg,L2_dfr_mavg",10,2020-03,2020-12,,,,,,,,,,,,,,,,,,,0,not_run,HAC_Newey_West_horizon_bandwidth,13,,,3.5013109923553807,1_sd_surprise,10bp equivalent assumes factor units are basis points.,,13,reduced_form_dynamic_transmission
ln_dax_real_de,real DAX,financial_market,monthly,target_factor_monthly_easing,24,regime_covid,"L1_ln_dax_real_de,L2_ln_dax_real_de,L1_inflation_ea20_mom,L2_inflation_ea20_mom,L1_dfr_mavg,L2_dfr_mavg",0,,,,,,,,,,,,,,,,,,,,,0,not_run,HAC_Newey_West_horizon_bandwidth,25,,,,1_sd_surprise,10bp equivalent assumes factor units are basis points.,,25,reduced_form_dynamic_transmission
ln_hh_loans_ea_stock,household credit,financial_credit,monthly_fallback,target_factor_monthly_easing,0,regime_covid,"L1_ln_hh_loans_ea_stock,L2_ln_hh_loans_ea_stock,L1_inflation_ea20_mom,L2_inflation_ea20_mom,L1_dfr_mavg,L2_dfr_mavg",22,2020-03,2021-12,0.0002397919180904401,0.0001285730351007978,0.0005819058124683768,0.0003120096667463025,1.8650249479017873,0.062177907358543616,6.869558047680098e-05,0.0010951160444599528,-2.962189718272066e-05,0.0011934335221194742,0.0002716253397348684,0.0008921862852018852,,,,,,,0,not_run,HAC_Newey_West_horizon_bandwidth,1,0.002397919180904401,0.001285730351007978,2.426711530156345,1_sd_surprise,10bp equivalent assumes factor units are basis points.,0.2923530470036667,1,reduced_form_dynamic_transmission
ln_hh_loans_ea_stock,household credit,financial_credit,monthly_fallback,target_factor_monthly_easing,1,regime_covid,"L1_ln_hh_loans_ea_stock,L2_ln_hh_loans_ea_stock,L1_inflation_ea20_mom,L2_inflation_ea20_mom,L1_dfr_mavg,L2_dfr_mavg",21,2020-03,2021-11,0.0003884252175054419,0.0002479742028534111,0.0009623554942210186,0.0006143765280577186,1.5663936531940699,0.11725648788425881,-4.820396626857278e-05,0.00197291495471061,-0.00024180037371887184,0.002166511362160909,0.0003513839126349824,0.0015733270758070549,,,,,,,0,not_run,HAC_Newey_West_horizon_bandwidth,2,0.0038842521750544192,0.002479742028534111,2.477582429898584,1_sd_surprise,10bp equivalent assumes factor units are basis points.,0.5144243928752594,2,reduced_form_dynamic_transmission
ln_hh_loans_ea_stock,household credit,financial_credit,monthly_fallback,target_factor_monthly_easing,3,regime_covid,"L1_ln_hh_loans_ea_stock,L2_ln_hh_loans_ea_stock,L1_inflation_ea20_mom,L2_inflation_ea20_mom,L1_dfr_mavg,L2_dfr_mavg",19,2020-03,2021-09,,,,,,,,,,,,,,,,,,,0,not_run,HAC_Newey_West_horizon_bandwidth,4,,,2.605523586959283,1_sd_surprise,10bp equivalent assumes factor units are basis points.,,4,reduced_form_dynamic_transmission
ln_hh_loans_ea_stock,household credit,financial_credit,monthly_fallback,target_factor_monthly_easing,6,regime_covid,"L1_ln_hh_loans_ea_stock,L2_ln_hh_loans_ea_stock,L1_inflation_ea20_mom,L2_inflation_ea20_mom,L1_dfr_mavg,L2_dfr_mavg",16,2020-03,2021-06,,,,,,,,,,,,,,,,,,,0,not_run,HAC_Newey_West_horizon_bandwidth,7,,,2.821338378337224,1_sd_surprise,10bp equivalent assumes factor units are basis points.,,7,reduced_form_dynamic_transmission
ln_hh_loans_ea_stock,household credit,financial_credit,monthly_fallback,target_factor_monthly_easing,12,regime_covid,"L1_ln_hh_loans_ea_stock,L2_ln_hh_loans_ea_stock,L1_inflation_ea20_mom,L2_inflation_ea20_mom,L1_dfr_mavg,L2_dfr_mavg",10,2020-03,2020-12,,,,,,,,,,,,,,,,,,,0,not_run,HAC_Newey_West_horizon_bandwidth,13,,,3.5013109923553807,1_sd_surprise,10bp equivalent assumes factor units are basis points.,,13,reduced_form_dynamic_transmission
ln_hh_loans_ea_stock,household credit,financial_credit,monthly_fallback,target_factor_monthly_easing,24,regime_covid,"L1_ln_hh_loans_ea_stock,L2_ln_hh_loans_ea_stock,L1_inflation_ea20_mom,L2_inflation_ea20_mom,L1_dfr_mavg,L2_dfr_mavg",0,,,,,,,,,,,,,,,,,,,,,0,not_run,HAC_Newey_West_horizon_bandwidth,25,,,,1_sd_surprise,10bp equivalent assumes factor units are basis points.,,25,reduced_form_dynamic_transmission
ln_nfc_loans_ea_stock,NFC credit,financial_credit,monthly,target_factor_monthly_easing,0,regime_covid,"L1_ln_nfc_loans_ea_stock,L2_ln_nfc_loans_ea_stock,L1_inflation_ea20_mom,L2_inflation_ea20_mom,L1_dfr_mavg,L2_dfr_mavg",22,2020-03,2021-12,-0.0011614970550287733,0.0008430482920979447,-0.002818618295680963,0.0020458350109126967,-1.3777349007354747,0.1682851516759514,-0.006183717433525016,0.0005464808421630908,-0.0068283812353809575,0.0011911446440190311,-0.004853115050029605,-0.0007841215413323206,,,,,,,0,not_run,HAC_Newey_West_horizon_bandwidth,1,-0.011614970550287733,0.008430482920979447,2.426711530156345,1_sd_surprise,10bp equivalent assumes factor units are basis points.,0.6881632346413691,1,reduced_form_dynamic_transmission
ln_nfc_loans_ea_stock,NFC credit,financial_credit,monthly,target_factor_monthly_easing,1,regime_covid,"L1_ln_nfc_loans_ea_stock,L2_ln_nfc_loans_ea_stock,L1_inflation_ea20_mom,L2_inflation_ea20_mom,L1_dfr_mavg,L2_dfr_mavg",21,2020-03,2021-11,-0.0015541933722536619,0.0012446367721607103,-0.0038506421917605016,0.0030836901983110625,-1.248712401093177,0.21177028345199805,-0.008922861198847158,0.0012215768153261545,-0.00989456391992936,0.0021932795364083576,-0.006917242218847585,-0.000784042164673419,,,,,,,0,not_run,HAC_Newey_West_horizon_bandwidth,2,-0.015541933722536618,0.012446367721607104,2.477582429898584,1_sd_surprise,10bp equivalent assumes factor units are basis points.,0.7794945116114871,2,reduced_form_dynamic_transmission
