response,response_label,channel,horizon_months,block_length_setting,sensitivity_block_length,interval_width_90,bootstrap_replications
ln_nfc_loans_ea_stock,NFC credit,financial_credit,6,6,6,0.004154197802139851,199
ln_nfc_loans_ea_stock,NFC credit,financial_credit,12,6,6,0.00618115351862789,199
ln_nfc_loans_ea_stock,NFC credit,financial_credit,24,6,6,0.009215547368966414,199
ln_nfc_loans_ea_stock,NFC credit,financial_credit,6,9,9,0.003871446024858456,199
ln_nfc_loans_ea_stock,NFC credit,financial_credit,12,9,9,0.005784540916783355,199
ln_nfc_loans_ea_stock,NFC credit,financial_credit,24,9,9,0.00873700281916553,199
ln_nfc_loans_ea_stock,NFC credit,financial_credit,6,12,12,0.004348944676572198,199
ln_nfc_loans_ea_stock,NFC credit,financial_credit,12,12,12,0.0067417053652388155,199
ln_nfc_loans_ea_stock,NFC credit,financial_credit,24,12,12,0.010478526202003622,199
ln_nfc_loans_ea_stock,NFC credit,financial_credit,6,auto,12,0.004348944676572198,199
ln_nfc_loans_ea_stock,NFC credit,financial_credit,12,auto,12,0.0067417053652388155,199
ln_nfc_loans_ea_stock,NFC credit,financial_credit,24,auto,12,0.010478526202003622,199
ecb_house_purchase_growth_yoy,house-purchase lending growth,housing_finance,6,4,4,0.21734045670373583,199
ecb_house_purchase_growth_yoy,house-purchase lending growth,housing_finance,12,4,4,0.2996130335139851,199
ecb_house_purchase_growth_yoy,house-purchase lending growth,housing_finance,24,4,4,0.32877662054746537,199
ecb_house_purchase_growth_yoy,house-purchase lending growth,housing_finance,6,6,6,0.2072373823437611,199
ecb_house_purchase_growth_yoy,house-purchase lending growth,housing_finance,12,6,6,0.2559028558106244,199
ecb_house_purchase_growth_yoy,house-purchase lending growth,housing_finance,24,6,6,0.39021427531813013,199
ecb_house_purchase_growth_yoy,house-purchase lending growth,housing_finance,6,9,9,0.16404728746139685,199
ecb_house_purchase_growth_yoy,house-purchase lending growth,housing_finance,12,9,9,0.25048148941091686,199
ecb_house_purchase_growth_yoy,house-purchase lending growth,housing_finance,24,9,9,0.30721060581954196,199
ecb_house_purchase_growth_yoy,house-purchase lending growth,housing_finance,6,12,12,0.17822882785349847,199
ecb_house_purchase_growth_yoy,house-purchase lending growth,housing_finance,12,12,12,0.2536689451898545,199
ecb_house_purchase_growth_yoy,house-purchase lending growth,housing_finance,24,12,12,0.3822268932552442,199
ecb_house_purchase_growth_yoy,house-purchase lending growth,housing_finance,6,auto,12,0.17822882785349847,199
ecb_house_purchase_growth_yoy,house-purchase lending growth,housing_finance,12,auto,12,0.2536689451898545,199
ecb_house_purchase_growth_yoy,house-purchase lending growth,housing_finance,24,auto,12,0.3822268932552442,199
ln_ecb_house_purchase_pure_new_loans,pure new house-purchase loans,housing_finance,6,4,4,0.056948480161453534,199
ln_ecb_house_purchase_pure_new_loans,pure new house-purchase loans,housing_finance,12,4,4,0.06524476046412188,199
ln_ecb_house_purchase_pure_new_loans,pure new house-purchase loans,housing_finance,24,4,4,0.05691476775665918,199
ln_ecb_house_purchase_pure_new_loans,pure new house-purchase loans,housing_finance,6,6,6,0.054950771779025784,199
ln_ecb_house_purchase_pure_new_loans,pure new house-purchase loans,housing_finance,12,6,6,0.061945878719184624,199
ln_ecb_house_purchase_pure_new_loans,pure new house-purchase loans,housing_finance,24,6,6,0.059522832247134914,199
ln_ecb_house_purchase_pure_new_loans,pure new house-purchase loans,housing_finance,6,9,9,0.05318501062876529,199
ln_ecb_house_purchase_pure_new_loans,pure new house-purchase loans,housing_finance,12,9,9,0.058933614955630195,199
ln_ecb_house_purchase_pure_new_loans,pure new house-purchase loans,housing_finance,24,9,9,0.05440702665199423,199
ln_ecb_house_purchase_pure_new_loans,pure new house-purchase loans,housing_finance,6,12,12,0.05441272742817229,199
ln_ecb_house_purchase_pure_new_loans,pure new house-purchase loans,housing_finance,12,12,12,0.05469763673879587,199
ln_ecb_house_purchase_pure_new_loans,pure new house-purchase loans,housing_finance,24,12,12,0.048899695974862656,199
ln_ecb_house_purchase_pure_new_loans,pure new house-purchase loans,housing_finance,6,auto,12,0.05441272742817229,199
ln_ecb_house_purchase_pure_new_loans,pure new house-purchase loans,housing_finance,12,auto,12,0.05469763673879587,199
ln_ecb_house_purchase_pure_new_loans,pure new house-purchase loans,housing_finance,24,auto,12,0.048899695974862656,199
ecb_wage_tracker_ex_oneoffs_real_yoy,real wage tracker excl. one-offs,compensation_proxy,6,4,4,0.2976978537760035,199
ecb_wage_tracker_ex_oneoffs_real_yoy,real wage tracker excl. one-offs,compensation_proxy,12,4,4,0.5167901557703906,199
