target,instrument,top5_abs_shock_share,jackknife_without_top5_f_stat,jackknife_f_ratio
d_wx_shadow_rate,timing_factor_monthly_easing,0.2103253921689493,0.02507782174276784,1.1327674484735206
d_wx_shadow_rate,target_factor_monthly_easing,0.3051064531081703,3.277537359741957,12.5889978813226
d_wx_shadow_rate,fg_factor_monthly_easing,0.19178332512722449,1.8710589972175453,6.298680168096377
d_wx_shadow_rate,qe_factor_monthly_easing,0.2371811623897881,0.01956696781726147,0.05951029269272007
d_wx_shadow_rate,weighted_composite_monthly_easing,0.177140429341736,0.597374233861496,1.309163839887932
d_dfr_eop,timing_factor_monthly_easing,0.19120183633612997,0.04396016390452041,0.03181548120313724
d_dfr_eop,target_factor_monthly_easing,0.28803141563810597,5.3403822703355885,0.3128135522771001
d_dfr_eop,fg_factor_monthly_easing,0.1717500890975518,0.23263138162390862,1.0314580571830851
d_dfr_eop,qe_factor_monthly_easing,0.18845495987663957,2.0788806146433894,0.36262884631692216
d_dfr_eop,weighted_composite_monthly_easing,0.15872725901413534,0.7401135753059819,17.472300932972058
d_dfr_mavg,timing_factor_monthly_easing,0.19120183633612997,0.334319440732979,3.0290539583994778
d_dfr_mavg,target_factor_monthly_easing,0.28803141563810597,0.6832470411240068,0.2779667693395179
d_dfr_mavg,fg_factor_monthly_easing,0.1717500890975518,1.3119099792143312,0.13915982098980703
d_dfr_mavg,qe_factor_monthly_easing,0.18845495987663957,0.014624970941788861,0.0278337723575222
d_dfr_mavg,weighted_composite_monthly_easing,0.15872725901413534,0.21087767308533276,0.36000240712256326
d_ln_ecb_assets_ea_stock,timing_factor_monthly_easing,0.19120183633612997,6.503678891731951,0.9226670479629329
d_ln_ecb_assets_ea_stock,target_factor_monthly_easing,0.28803141563810597,4.773120220079352,4.058866524937802
d_ln_ecb_assets_ea_stock,fg_factor_monthly_easing,0.1717500890975518,0.2743671909677991,5.846896301452332
d_ln_ecb_assets_ea_stock,qe_factor_monthly_easing,0.18845495987663957,0.8751020938310946,0.42417843638835767
d_ln_ecb_assets_ea_stock,weighted_composite_monthly_easing,0.15872725901413534,0.04562744780121192,0.18259430147210085
d_ln_ecb_assets_ea_mavg,timing_factor_monthly_easing,0.19120183633612997,9.073515499122886,0.8255673739020107
d_ln_ecb_assets_ea_mavg,target_factor_monthly_easing,0.28803141563810597,6.917534609970368,1.563569522605224
d_ln_ecb_assets_ea_mavg,fg_factor_monthly_easing,0.1717500890975518,0.11183295610418491,23.489904348331986
d_ln_ecb_assets_ea_mavg,qe_factor_monthly_easing,0.18845495987663957,0.6765303511791286,0.85692709920521
d_ln_ecb_assets_ea_mavg,weighted_composite_monthly_easing,0.15872725901413534,0.6052836737891916,0.6658045516413724
d_ln_dax_real_de,timing_factor_monthly_easing,0.19120183633612997,1.0021236963685192,1.5248922623119145
d_ln_dax_real_de,target_factor_monthly_easing,0.28803141563810597,2.8996466058565433,9.91031761754558
d_ln_dax_real_de,fg_factor_monthly_easing,0.1717500890975518,2.0459543820026727,18.710589323263623
d_ln_dax_real_de,qe_factor_monthly_easing,0.18845495987663957,1.2250092813496778,2.6527697575260745
d_ln_dax_real_de,weighted_composite_monthly_easing,0.15872725901413534,0.0012959355831544167,0.001822892813544523
d_ln_hh_loans_ea_stock,timing_factor_monthly_easing,0.19120183633612997,2.414125195679095,453.5073173421662
d_ln_hh_loans_ea_stock,target_factor_monthly_easing,0.28803141563810597,3.172843759599129,1.0512565638793903
d_ln_hh_loans_ea_stock,fg_factor_monthly_easing,0.1717500890975518,0.3476672703870884,0.14597783257037397
d_ln_hh_loans_ea_stock,qe_factor_monthly_easing,0.18845495987663957,1.611089356467208,1.6265451068317547
d_ln_hh_loans_ea_stock,weighted_composite_monthly_easing,0.15872725901413534,0.03614660810282336,0.2550930777648893
d_ln_nfc_loans_ea_stock,timing_factor_monthly_easing,0.19120183633612997,1.1939821624456233,23.171405788166272
d_ln_nfc_loans_ea_stock,target_factor_monthly_easing,0.28803141563810597,4.259986958990676,362.8256978941861
d_ln_nfc_loans_ea_stock,fg_factor_monthly_easing,0.1717500890975518,0.4517763543516482,1.3315157412461978
d_ln_nfc_loans_ea_stock,qe_factor_monthly_easing,0.18845495987663957,1.1549502196283103,0.46211720057184225
d_ln_nfc_loans_ea_stock,weighted_composite_monthly_easing,0.15872725901413534,1.8207008908011424,1.9159245200560902
d_ln_retail_de_chained_index,timing_factor_monthly_easing,0.19120183633612997,2.2606644895068166,506.1276982746589
d_ln_retail_de_chained_index,target_factor_monthly_easing,0.28803141563810597,0.7302117883202306,124.02134184463613
d_ln_retail_de_chained_index,fg_factor_monthly_easing,0.1717500890975518,0.056142093836199204,1.551577359408789
d_ln_retail_de_chained_index,qe_factor_monthly_easing,0.18845495987663957,1.678924435415623,1.2770748469148234
d_ln_retail_de_chained_index,weighted_composite_monthly_easing,0.15872725901413534,2.262459721421465,9.83688525700558
