factor,aggregation,architecture,instrument,target_equation,sample,regime,regime_start,regime_end,F_stat,partial_R2,coef,sign,full_sample_sign,sign_stability,p_value,observations,instrument_variance,event_count,shock_abs_sum,shock_concentration_share
timing,quarterly_sum,direct_quarterly,timing_factor_quarterly_sum,d_ln_hh_loans_ea_stock,robustness_2005q1_2025q4,covid,2020Q1,2021Q4,,,,,negative,unstable_or_unavailable,,8,1.1340840376786823,16,5.335350102451358,0.03261067215229919
timing,quarterly_sum,direct_quarterly,timing_factor_quarterly_sum,d_ln_hh_loans_ea_stock,robustness_2005q1_2025q4,tightening,2022Q1,2025Q4,1.3128310852762308,0.0857340538771148,-0.0007867334810995326,negative,negative,stable,0.27109118045082364,16,2.2890054434593035,31,18.910234466245967,0.11558294107419877
timing,quarterly_sum,direct_quarterly,timing_factor_quarterly_sum,d_ln_nfc_loans_ea_stock,robustness_2005q1_2025q4,pre_qe,2005Q1,2014Q1,0.06138616991337937,0.0018022217183751065,0.00016426713253598225,positive,positive,stable,0.8058085250481251,36,20.47134363813228,112,114.7118606145561,0.7011406574355419
timing,quarterly_sum,direct_quarterly,timing_factor_quarterly_sum,d_ln_nfc_loans_ea_stock,robustness_2005q1_2025q4,qe_era,2014Q2,2019Q4,3.227612638573886,0.13322041617237418,-0.0020875588098223374,negative,positive,unstable_or_unavailable,0.08680664917866096,23,2.3355742527133816,49,24.650041271918987,0.15066572933796013
timing,quarterly_sum,direct_quarterly,timing_factor_quarterly_sum,d_ln_nfc_loans_ea_stock,robustness_2005q1_2025q4,covid,2020Q1,2021Q4,,,,,positive,unstable_or_unavailable,,8,1.1340840376786823,16,5.335350102451358,0.03261067215229919
timing,quarterly_sum,direct_quarterly,timing_factor_quarterly_sum,d_ln_nfc_loans_ea_stock,robustness_2005q1_2025q4,tightening,2022Q1,2025Q4,0.25113934175447733,0.017622404478122182,0.0008610062502101381,positive,positive,stable,0.6240610618857042,16,2.2890054434593035,31,18.910234466245967,0.11558294107419877
timing,quarterly_sum,direct_quarterly,timing_factor_quarterly_sum,d_ln_house_price_de_real,robustness_2005q1_2025q4,pre_qe,2005Q1,2014Q1,0.9530519079176867,0.02726662926111462,-0.00028385123224497786,negative,negative,stable,0.33583894111082535,36,20.47134363813228,112,114.7118606145561,0.7011406574355419
timing,quarterly_sum,direct_quarterly,timing_factor_quarterly_sum,d_ln_house_price_de_real,robustness_2005q1_2025q4,qe_era,2014Q2,2019Q4,6.368051821303398,0.23268195569355368,-0.0026327465230904044,negative,negative,stable,0.019748013444743917,23,2.3355742527133816,49,24.650041271918987,0.15066572933796013
timing,quarterly_sum,direct_quarterly,timing_factor_quarterly_sum,d_ln_house_price_de_real,robustness_2005q1_2025q4,covid,2020Q1,2021Q4,,,,,negative,unstable_or_unavailable,,8,1.1340840376786823,16,5.335350102451358,0.03261067215229919
timing,quarterly_sum,direct_quarterly,timing_factor_quarterly_sum,d_ln_house_price_de_real,robustness_2005q1_2025q4,tightening,2022Q1,2025Q4,0.10014154546139549,0.007102165970357185,0.0011217425333838018,positive,negative,unstable_or_unavailable,0.7563289690566313,16,2.2890054434593035,31,18.910234466245967,0.11558294107419877
timing,quarterly_mean,direct_quarterly,timing_factor_quarterly_mean,d_wx_shadow_rate,baseline_2005q1_2022q2,pre_qe,2005Q1,2014Q1,0.5555092260232882,0.016075851245304227,0.043748787217741614,positive,positive,stable,0.4611969886710775,36,2.4293833962391775,112,39.944635440956326,0.6286928317056368
timing,quarterly_mean,direct_quarterly,timing_factor_quarterly_mean,d_wx_shadow_rate,baseline_2005q1_2022q2,qe_era,2014Q2,2019Q4,0.038373922800798016,0.0018239966140733642,0.02788778554411931,positive,positive,stable,0.84657736295603,23,0.4633968930685427,49,11.147660204727934,0.17545420013563787
