date,quarter,regime,event_count,events_without_abgmr_factor_count,missing_quarter_flag,timing_factor_event_count,target_factor_event_count,fg_factor_event_count,qe_factor_event_count,year
2002-03-31,2002Q1,pre_gfc,3,0,False,3,3,3,0,2002
2002-06-30,2002Q2,pre_gfc,3,0,False,3,3,3,0,2002
2002-09-30,2002Q3,pre_gfc,3,0,False,2,3,2,0,2002
2002-12-31,2002Q4,pre_gfc,3,0,False,3,3,3,0,2002
2003-03-31,2003Q1,pre_gfc,3,0,False,3,3,3,0,2003
2003-06-30,2003Q2,pre_gfc,3,0,False,3,3,3,0,2003
2003-09-30,2003Q3,pre_gfc,3,0,False,2,3,2,0,2003
2003-12-31,2003Q4,pre_gfc,3,0,False,3,3,3,0,2003
2004-03-31,2004Q1,pre_gfc,3,0,False,3,3,3,0,2004
2004-06-30,2004Q2,pre_gfc,3,0,False,3,3,3,0,2004
2004-09-30,2004Q3,pre_gfc,3,0,False,2,3,2,0,2004
2004-12-31,2004Q4,pre_gfc,3,0,False,3,3,3,0,2004
2005-03-31,2005Q1,pre_gfc,3,0,False,3,3,3,0,2005
2005-06-30,2005Q2,pre_gfc,3,0,False,3,3,3,0,2005
2005-09-30,2005Q3,pre_gfc,3,0,False,2,3,2,0,2005
2005-12-31,2005Q4,pre_gfc,3,0,False,3,3,3,0,2005
2006-03-31,2006Q1,pre_gfc,3,0,False,3,3,3,0,2006
2006-06-30,2006Q2,pre_gfc,3,0,False,3,3,3,0,2006
2006-09-30,2006Q3,pre_gfc,3,0,False,3,3,3,0,2006
2006-12-31,2006Q4,pre_gfc,3,0,False,3,3,3,0,2006
2007-03-31,2007Q1,pre_gfc,3,0,False,3,3,3,0,2007
2007-06-30,2007Q2,pre_gfc,3,0,False,3,3,3,0,2007
2007-09-30,2007Q3,pre_gfc,3,0,False,2,3,2,0,2007
2007-12-31,2007Q4,pre_gfc,3,0,False,3,3,3,0,2007
2008-03-31,2008Q1,pre_gfc,3,0,False,3,3,3,0,2008
2008-06-30,2008Q2,pre_gfc,3,0,False,3,3,3,0,2008
2008-09-30,2008Q3,gfc,3,0,False,3,3,3,0,2008
2008-12-31,2008Q4,gfc,4,2,False,2,2,2,0,2008
2009-03-31,2009Q1,gfc,3,0,False,3,3,3,0,2009
2009-06-30,2009Q2,gfc,3,0,False,3,3,3,0,2009
2009-09-30,2009Q3,gfc,3,0,False,3,3,3,0,2009
2009-12-31,2009Q4,gfc,3,0,False,3,3,3,0,2009
2010-03-31,2010Q1,euro_crisis,3,0,False,3,3,3,0,2010
2010-06-30,2010Q2,euro_crisis,3,0,False,3,3,3,0,2010
2010-09-30,2010Q3,euro_crisis,3,0,False,3,3,3,0,2010
2010-12-31,2010Q4,euro_crisis,3,0,False,3,3,3,0,2010
2011-03-31,2011Q1,euro_crisis,3,0,False,3,3,3,0,2011
2011-06-30,2011Q2,euro_crisis,3,0,False,3,3,3,0,2011
2011-09-30,2011Q3,euro_crisis,3,0,False,3,3,3,0,2011
2011-12-31,2011Q4,euro_crisis,3,0,False,3,3,3,0,2011
2012-03-31,2012Q1,euro_crisis,3,0,False,3,3,3,0,2012
2012-06-30,2012Q2,euro_crisis,3,0,False,3,3,3,0,2012
2012-09-30,2012Q3,euro_crisis,3,0,False,3,3,3,0,2012
2012-12-31,2012Q4,euro_crisis,3,0,False,3,3,3,0,2012
2013-03-31,2013Q1,euro_crisis,3,0,False,3,3,3,0,2013
