,shadow_rate,ln_credit,ln_real_equity,ln_real_housing,ln_real_income,ln_cpi
2005-01-31,2.391755505002147,8.777603043417143,2.066479503777268,-0.17942388020237485,9.326032333972256,5.25540986553676
2005-02-28,2.7888515426967566,8.786274438668313,2.0524231040528584,-0.17244327316262537,9.326254996572539,5.259576538231606
2005-03-31,3.073383421545385,8.798217068196148,2.0356833617912398,-0.15982356747559326,9.329793123991147,5.263208189434469
2005-04-30,2.922924068856347,8.803752755340987,1.993804354990246,-0.14831076999017107,9.332929617059934,5.2663105704129505
2005-05-31,2.9731874833394296,8.810958041210167,2.075449856154044,-0.13266989840992935,9.337210880081845,5.265794174842477
2005-06-30,3.1313759500636285,8.817074582662743,2.042580458516122,-0.11871726127427,9.33921719889707,5.2663105704129505
2005-07-31,3.5702876927449876,8.829476114931357,2.108479652660842,-0.11286250358125544,9.340236414716367,5.272486606513515
2005-08-31,3.598210288992776,8.83865600524643,2.087637086058594,-0.10856696534968793,9.34183343862506,5.2786247332023
2005-09-30,3.7551886093424254,8.84434910483752,2.0864965761742416,-0.11269226814506322,9.338311334020055,5.292299294222474
2005-10-31,4.1048199570163675,8.850031286107177,2.070853792888545,-0.10779665212403125,9.343883014537425,5.293807211070151
2005-11-30,4.142646586214941,8.85205442249316,2.133338712093868,-0.09761672476092315,9.350111009965708,5.288771953704505
2005-12-31,4.195795625796878,8.863772369681671,2.116845282651764,-0.0952097305335197,9.353158508992438,5.288771953704505
2006-01-31,4.491318622217235,8.869429104419497,2.149875922613858,-0.09726492399473147,9.363215953496724,5.294811227218749
2006-02-28,4.7407321424065465,8.876517166072842,2.125607307012811,-0.09406271347988393,9.3675834083936,5.295312857527738
2006-03-31,4.875983370029503,8.88400075533504,2.143717916542198,-0.08870808576421535,9.371395730976971,5.296816240421769
2006-04-30,4.961152957388548,8.896623667161528,2.1369898341105813,-0.08879037387634041,9.371131810219774,5.301811255802292
2006-05-31,5.020782214812542,8.907992315140508,2.0601179352533174,-0.08779748727529761,9.370484483825434,5.304796332645746
2006-06-30,5.345050081571853,8.913673866774767,2.0548794644246593,-0.08937293433287465,9.371770208627584,5.307277107919509
2006-07-31,5.2184262399835015,8.918381071880725,2.0067741282686824,-0.09448400565530353,9.37134465497587,5.312713246831769
2006-08-31,5.104677872892126,8.925616886586303,2.0478701045537493,-0.10001011792742895,9.370501524100124,5.3171391207886245
2006-09-30,5.0117324406352415,8.926505516153547,2.0988101981177816,-0.09620900571806833,9.375863284994118,5.312220271717028
2006-10-31,5.087923871696655,8.948309600393758,2.1495712935018303,-0.09254333250525755,9.380395334114592,5.307772525318792
2006-11-30,5.020675128284845,8.955301247045615,2.1824012817411766,-0.09533938815167659,9.384453330220248,5.308267697401205
2006-12-31,5.154975875652249,8.96656404638912,2.1576077027846696,-0.10296718959696397,9.389205963796748,5.313698468586339
2007-01-31,5.264485152177839,8.972574437800969,2.1758874566865445,-0.10741786687363526,9.389038706152682,5.315356374642572
2007-02-28,5.064083257283433,8.979132680207746,2.1547789250774265,-0.11264692819561947,9.392328539868899,5.319227223776111
2007-03-31,5.038114599189092,8.973256979723365,2.1556533995323424,-0.11935828393132641,9.395582659281114,5.324413871269311
2007-04-30,5.041697004576991,8.98069619669067,2.2050797361046017,-0.12269481353957912,9.39705227707143,5.327410040751309
2007-05-31,5.215793544385416,8.985845823476108,2.2328025006245924,-0.12817089419554786,9.397641178372835,5.331534517408233
2007-06-30,5.196554766855778,8.993880562736509,2.233548791396992,-0.13237808293227718,9.397093760347454,5.333848589587692
2007-07-31,4.968777479784293,9.002586111366895,2.2307144681364868,-0.13716924556955598,9.398180009454043,5.335627602054373
2007-08-31,4.465048692465419,9.013785958101892,2.259315687778741,-0.1416798286326614,9.398552876349026,5.335935835254491
2007-09-30,4.244153295959896,9.02938134052285,2.3052858689534523,-0.15209729757279347,9.400100857867136,5.34016443549993
2007-10-31,4.064164778813774,9.039747481482935,2.3705327540986523,-0.1641089540489731,9.399339583523378,5.343242929901029
2007-11-30,3.490714181148559,9.04983298268007,2.293417536221101,-0.18536554300100458,9.3984865990614,5.351071093983903
2007-12-31,3.474522218213331,9.055647818695352,2.288525643140973,-0.19872724085707377,9.40265351289779,5.353964917386851
2008-01-31,2.222757469394247,9.05906344429825,2.160885599341921,-0.2152987905430985,9.404022156340773,5.357406692754025
2008-02-29,1.7373226668997945,9.064325119221836,2.104842949069634,-0.22880516815304722,9.40440932380377,5.359821601391479
2008-03-31,1.3323007834129243,9.069900056182798,2.1220590822690357,-0.24002467920072923,9.404746943260447,5.363393243284224
2008-04-30,1.6918242116779398,9.070773030465048,2.1931768800297378,-0.245814733551989,9.401026845101764,5.365704950249732
2008-05-31,1.8893173814456308,9.071156634908114,2.245451278855458,-0.2535273610795054,9.449058015075236,5.371605002317856
2008-06-30,2.0219647851861526,9.070423837652305,2.133909355823234,-0.26683523313499335,9.423562872008574,5.382028721115022
2008-07-31,1.8902888487572627,9.070538246193681,2.133336566520545,-0.2788994792462052,9.408264571997545,5.389144786508527
2008-08-31,1.710376366569545,9.069410428878673,2.147395875078737,-0.2861011744833653,9.40266176334847,5.387655201900231
2008-09-30,1.4793906015933027,9.074499775190823,1.9858870851870662,-0.301463126649549,9.405002140854743,5.3885099281999045
2008-10-31,0.786333975692699,9.125493159129435,1.8166474514464885,-0.30995176034921995,9.412505404905195,5.3798743118003465
2008-11-30,0.08496627960430658,9.117567693241167,1.7161205470501626,-0.31169918579229017,9.421079303131632,5.362010217707528
2008-12-31,-0.016712523570112242,9.108897111623445,1.745995733393276,-0.326296089138149,9.416443557434937,5.353742612653447
2009-01-31,0.14160843417537414,9.108896470805078,1.7172113724406823,-0.3499039925416655,9.422342082871548,5.356270186985713
2009-02-28,0.065410617391988,9.112485636784951,1.6584866172604906,-0.3652919218417485,9.41261977277775,5.359906229217159
