variable,nobs,start,end,adf_c_level_stat,adf_c_level_pvalue,adf_ct_level_stat,adf_ct_level_pvalue,kpss_c_level_stat,kpss_c_level_pvalue,kpss_ct_level_stat,kpss_ct_level_pvalue,pp_c_level_stat,pp_c_level_pvalue,adf_c_diff_stat,adf_c_diff_pvalue,kpss_c_diff_stat,kpss_c_diff_pvalue,pp_c_diff_stat,pp_c_diff_pvalue,notes,integration_order
ln_ecb_assets_ea_stock,84,2005-03-31,2025-12-31,-1.6191971532291232,0.47315022487416364,-2.6834873654769713,0.2430025485951658,1.4071095244831369,0.01,0.0867327545495092,0.1,-1.6312355015448792,0.4668440686095653,-3.6653250342579833,0.004628185058174614,0.1688909171292964,0.1,-7.968981334860257,2.8145158546352552e-12,,I(1)
d_ln_ecb_assets_ea_stock,83,2005-06-30,2025-12-31,-3.6653250342579833,0.004628185058174614,-3.8973514923828403,0.012234934153415014,0.1688909171292964,0.1,0.06829141841988992,0.1,-7.968981334860257,2.8145158546352552e-12,-8.327511667291787,3.43866170094201e-13,0.025782602490847812,0.1,-34.92475477964311,0.0,,I(0)
d4_ln_ecb_assets_ea_stock,80,2006-03-31,2025-12-31,-1.9580412540058114,0.30526797999743627,-2.2204924266535713,0.47832585921574644,0.16629032981564112,0.1,0.07427540348430967,0.1,-2.01371094150063,0.28059387566698857,-2.8485374326220234,0.05166803215334108,0.03109958315889607,0.1,-5.641963894067608,1.0316225012461833e-06,,unclear
ecb_assets_ea_stock,84,2005-03-31,2025-12-31,-1.3409968348419017,0.6102138712530621,-2.819540003729912,0.1898602106862125,1.3019164208155454,0.01,0.1456146290706612,0.05071364986914592,-0.9927719613428261,0.7558914245141313,-3.1630572760767555,0.02222515183376139,0.10351089405594155,0.1,-5.4833398803866835,2.2585005409554683e-06,,I(1)
