"date","wx_shadow_rate","dfr_eop","dfr_avg","hh_loans_ea_stock","nfc_loans_ea_stock","dax_close","dax_volume","retail_de_mom_pct","retail_de_chained_index","hicp_de","hicp_ea20","hicp_ea","dax_real_de","hh_loans_real_de_hicp","nfc_loans_real_de_hicp"
1998-01-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.1,NA,86.34,NA,NA,NA
1998-02-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.4,NA,86.57,NA,NA,NA
1998-03-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.2,NA,86.64,NA,NA,NA
1998-04-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.3,NA,86.82,NA,NA,NA
1998-05-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.6,NA,86.99,NA,NA,NA
1998-06-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.7,NA,87.04,NA,NA,NA
1998-07-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,NA,87.07,NA,NA,NA
1998-08-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.9,NA,87.1,NA,NA,NA
1998-09-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.6,NA,87.03,NA,NA,NA
1998-10-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.4,NA,87.01,NA,NA,NA
1998-11-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.4,NA,87.01,NA,NA,NA
1998-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.4,NA,87.05,NA,NA,NA
1999-01-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.3,NA,86.99,NA,NA,NA
1999-02-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.5,NA,87.21,NA,NA,NA
1999-03-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.6,NA,87.46,NA,NA,NA
1999-04-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,NA,87.74,NA,NA,NA
1999-05-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,NA,87.81,NA,NA,NA
1999-06-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.1,NA,87.81,NA,NA,NA
1999-07-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.5,NA,87.96,NA,NA,NA
1999-08-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.5,NA,88.06,NA,NA,NA
1999-09-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.3,NA,88.11,NA,NA,NA
1999-10-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.2,NA,88.15,NA,NA,NA
1999-11-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.3,NA,88.26,NA,NA,NA
1999-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.6,88.37,88.57,NA,NA,NA
2000-01-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.8,88.4,88.61,NA,NA,NA
2000-02-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,88.68,88.89,NA,NA,NA
2000-03-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.9,89,89.17,NA,NA,NA
2000-04-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.9,89.09,89.24,NA,NA,NA
2000-05-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.8,89.21,89.36,NA,NA,NA
2000-06-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.3,89.51,89.68,NA,NA,NA
