,ecb_total_assets,ecb_monetary_policy_securities,wx_shadow_rate,dfr_eop,hh_loans_ea_stock,nfc_loans_ea_stock,house_price_de_real
ecb_total_assets,1.0,0.9730398752432553,-0.8404355918213842,0.03187531519399223,0.8933058125896629,0.7168802967546863,0.912532980325214
ecb_monetary_policy_securities,0.9730398752432553,1.0,-0.8612603707300258,0.13501445684020127,0.8467543647001192,0.6262185032178748,0.8937858951341241
wx_shadow_rate,-0.8404355918213842,-0.8612603707300258,1.0,0.837850826753109,-0.8322818001274734,-0.3897408747477374,-0.8294266491052058
dfr_eop,0.03187531519399223,0.13501445684020127,0.837850826753109,1.0,0.09738274151805887,0.2754579679247317,-0.19367484535294308
hh_loans_ea_stock,0.8933058125896629,0.8467543647001192,-0.8322818001274734,0.09738274151805887,1.0,0.9038045222605713,0.7448611358554709
nfc_loans_ea_stock,0.7168802967546863,0.6262185032178748,-0.3897408747477374,0.2754579679247317,0.9038045222605713,1.0,0.4292369344899094
house_price_de_real,0.912532980325214,0.8937858951341241,-0.8294266491052058,-0.19367484535294308,0.7448611358554709,0.4292369344899094,1.0
