"date","wx_shadow_rate","dfr_avg","dfr_eop","hh_loans_ea_stock","nfc_loans_ea_stock","credit_standards_enterprise","credit_standards_household","house_price_de","compensation_ea20_nominal","dax_close","retail_de_mom_pct","retail_de_chained_index","hicp_de","hicp_ea20","hicp_ea","ecb_total_assets","ecb_monetary_policy_securities","house_price_de_real","compensation_ea20_real","dax_real_de","hh_loans_real_de_hicp","nfc_loans_real_de_hicp"
1995-03-31,NA,NA,NA,NA,NA,NA,NA,NA,59.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995-06-30,NA,NA,NA,NA,NA,NA,NA,NA,60.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995-09-30,NA,NA,NA,NA,NA,NA,NA,NA,60.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995-12-31,NA,NA,NA,NA,NA,NA,NA,NA,61.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996-03-31,NA,NA,NA,NA,NA,NA,NA,NA,61.76,NA,NA,NA,88.2666666666667,NA,84.0533333333333,NA,NA,NA,NA,NA,NA,NA
1996-06-30,NA,NA,NA,NA,NA,NA,NA,NA,62,NA,NA,NA,88.5666666666667,NA,84.6533333333333,NA,NA,NA,NA,NA,NA,NA
1996-09-30,NA,NA,NA,NA,NA,NA,NA,NA,62.48,NA,NA,NA,88.8333333333333,NA,84.7466666666667,NA,NA,NA,NA,NA,NA,NA
1996-12-31,NA,NA,NA,NA,NA,NA,NA,NA,62.82,NA,NA,NA,88.7666666666667,NA,84.9933333333333,NA,NA,NA,NA,NA,NA,NA
1997-03-31,NA,NA,NA,NA,NA,NA,NA,NA,63.19,NA,NA,NA,89.7333333333333,NA,85.5666666666667,NA,NA,NA,NA,NA,NA,NA
1997-06-30,NA,NA,NA,NA,NA,NA,NA,NA,63.44,NA,NA,NA,89.8,NA,85.7933333333333,NA,NA,NA,NA,NA,NA,NA
1997-09-30,NA,NA,NA,NA,NA,NA,NA,NA,63.72,NA,NA,NA,90.2666666666667,NA,86.0933333333333,NA,NA,NA,NA,NA,NA,NA
1997-12-31,NA,NA,NA,NA,NA,NA,NA,NA,63.98,NA,NA,NA,90.0666666666667,NA,86.3066666666667,NA,NA,NA,NA,NA,NA,NA
1998-03-31,NA,NA,NA,NA,NA,NA,NA,NA,63.98,NA,NA,NA,90.2333333333333,NA,86.5166666666667,NA,NA,NA,NA,NA,NA,NA
1998-06-30,NA,NA,NA,NA,NA,NA,NA,NA,64.35,NA,NA,NA,90.5333333333333,NA,86.95,NA,NA,NA,NA,NA,NA,NA
1998-09-30,NA,NA,NA,NA,NA,NA,NA,NA,64.64,NA,NA,NA,90.8333333333333,NA,87.0666666666667,NA,NA,NA,NA,NA,NA,NA
1998-12-31,NA,NA,NA,NA,NA,NA,NA,NA,65.01,NA,NA,NA,90.4,NA,87.0233333333333,NA,NA,NA,NA,NA,NA,NA
1999-03-31,NA,NA,NA,NA,NA,NA,NA,NA,65.12,NA,NA,NA,90.4666666666667,NA,87.22,NA,NA,NA,NA,NA,NA,NA
1999-06-30,NA,NA,NA,NA,NA,NA,NA,NA,65.74,NA,NA,NA,91.0333333333333,NA,87.7866666666667,NA,NA,NA,NA,NA,NA,NA
1999-09-30,NA,NA,NA,NA,NA,NA,NA,NA,66.07,NA,NA,NA,91.4333333333333,NA,88.0433333333333,NA,NA,NA,NA,NA,NA,NA
1999-12-31,NA,NA,NA,NA,NA,NA,NA,NA,66.62,NA,NA,NA,91.3666666666667,88.37,88.3266666666667,806853,0,NA,75.3875749688808,NA,NA,NA
2000-03-31,NA,NA,NA,NA,NA,NA,NA,NA,67.11,NA,NA,NA,91.9,88.6933333333333,88.89,NA,NA,NA,75.6652134696332,NA,NA,NA
2000-06-30,NA,NA,NA,NA,NA,NA,NA,NA,67.42,NA,NA,NA,92,89.27,89.4266666666667,NA,NA,NA,75.5236921698219,NA,NA,NA
2000-09-30,NA,NA,NA,NA,NA,NA,NA,NA,68.02,NA,NA,NA,92.6,89.7766666666667,89.9666666666667,NA,NA,NA,75.7657891805592,NA,NA,NA
2000-12-31,NA,NA,NA,NA,NA,NA,NA,NA,68.46,NA,NA,NA,92.9,90.35,90.4833333333333,836078,0,NA,75.7719977863863,NA,NA,NA
2001-03-31,NA,NA,NA,NA,NA,NA,NA,NA,68.84,NA,NA,NA,93.4,90.6066666666667,90.72,NA,NA,NA,75.9767493194025,NA,NA,NA
2001-06-30,NA,NA,NA,NA,NA,NA,NA,NA,69.31,NA,NA,NA,94.3,91.91,92.01,NA,NA,NA,75.4107278859754,NA,NA,NA
2001-09-30,NA,NA,NA,NA,NA,NA,NA,NA,69.78,NA,NA,NA,94.4666666666667,91.9666666666667,92.0633333333333,NA,NA,NA,75.8753171438927,NA,NA,NA
2001-12-31,NA,NA,NA,NA,NA,NA,NA,NA,70.31,NA,NA,NA,94.2333333333333,92.2866666666667,92.38,814089,0,NA,76.1865202629488,NA,NA,NA
2002-03-31,NA,NA,NA,NA,NA,NA,NA,NA,70.68,NA,NA,NA,95.2,92.93,93.0166666666667,NA,NA,NA,76.057247390509,NA,NA,NA
2002-06-30,NA,NA,NA,NA,NA,NA,NA,NA,71.12,NA,NA,NA,95.3666666666667,93.85,93.9366666666667,NA,NA,NA,75.7805007991476,NA,NA,NA
2002-09-30,NA,NA,NA,NA,NA,NA,NA,NA,71.66,NA,NA,NA,95.5333333333333,93.9066666666667,93.99,NA,NA,NA,76.309811160017,NA,NA,NA
2002-12-31,NA,NA,NA,NA,NA,NA,NA,NA,72.11,NA,NA,NA,95.3333333333333,94.41,94.4966666666667,795161,0,NA,76.379620802881,NA,NA,NA
