system,nobs,sample_start,sample_end,variables,det_order,k_ar_diff,r_null,trace_stat,trace_crit_95,trace_reject_95,maxeig_stat,maxeig_crit_95,maxeig_reject_95,selected_trace_rank_5pct,selected_maxeig_rank_5pct,error
core_real_credit_house_income,84,2005-03-31,2025-12-31,"ln_hh_loans_ea_stock,ln_nfc_loans_ea_stock,ln_house_price_de_real,ln_compensation_ea20_real",0,3,1,26.704548098982915,29.7961,False,19.584292076527962,21.1314,False,1,1,
core_real_credit_house_income,84,2005-03-31,2025-12-31,"ln_hh_loans_ea_stock,ln_nfc_loans_ea_stock,ln_house_price_de_real,ln_compensation_ea20_real",0,3,2,7.120256022454953,15.4943,False,4.553070793424573,14.2639,False,1,1,
core_real_credit_house_income,84,2005-03-31,2025-12-31,"ln_hh_loans_ea_stock,ln_nfc_loans_ea_stock,ln_house_price_de_real,ln_compensation_ea20_real",0,3,3,2.5671852290303794,3.8415,False,2.5671852290303794,3.8415,False,1,1,
core_real_credit_house_income,84,2005-03-31,2025-12-31,"ln_hh_loans_ea_stock,ln_nfc_loans_ea_stock,ln_house_price_de_real,ln_compensation_ea20_real",1,1,0,77.4024479097684,55.2459,True,49.390085807804724,30.8151,True,1,1,
core_real_credit_house_income,84,2005-03-31,2025-12-31,"ln_hh_loans_ea_stock,ln_nfc_loans_ea_stock,ln_house_price_de_real,ln_compensation_ea20_real",1,1,1,28.012362101963678,35.0116,False,19.45955945703188,24.2522,False,1,1,
core_real_credit_house_income,84,2005-03-31,2025-12-31,"ln_hh_loans_ea_stock,ln_nfc_loans_ea_stock,ln_house_price_de_real,ln_compensation_ea20_real",1,1,2,8.552802644931793,18.3985,False,5.734101074816231,17.1481,False,1,1,
core_real_credit_house_income,84,2005-03-31,2025-12-31,"ln_hh_loans_ea_stock,ln_nfc_loans_ea_stock,ln_house_price_de_real,ln_compensation_ea20_real",1,1,3,2.8187015701155618,3.8415,False,2.8187015701155618,3.8415,False,1,1,
core_real_credit_house_income,84,2005-03-31,2025-12-31,"ln_hh_loans_ea_stock,ln_nfc_loans_ea_stock,ln_house_price_de_real,ln_compensation_ea20_real",1,2,0,70.87300632348885,55.2459,True,36.79338500419695,30.8151,True,1,1,
core_real_credit_house_income,84,2005-03-31,2025-12-31,"ln_hh_loans_ea_stock,ln_nfc_loans_ea_stock,ln_house_price_de_real,ln_compensation_ea20_real",1,2,1,34.07962131929191,35.0116,False,23.73288083581862,24.2522,False,1,1,
core_real_credit_house_income,84,2005-03-31,2025-12-31,"ln_hh_loans_ea_stock,ln_nfc_loans_ea_stock,ln_house_price_de_real,ln_compensation_ea20_real",1,2,2,10.34674048347329,18.3985,False,6.814397746457942,17.1481,False,1,1,
core_real_credit_house_income,84,2005-03-31,2025-12-31,"ln_hh_loans_ea_stock,ln_nfc_loans_ea_stock,ln_house_price_de_real,ln_compensation_ea20_real",1,2,3,3.5323427370153495,3.8415,False,3.5323427370153495,3.8415,False,1,1,
core_real_credit_house_income,84,2005-03-31,2025-12-31,"ln_hh_loans_ea_stock,ln_nfc_loans_ea_stock,ln_house_price_de_real,ln_compensation_ea20_real",1,3,0,54.51976446516155,55.2459,False,22.356403733992995,30.8151,False,0,0,
core_real_credit_house_income,84,2005-03-31,2025-12-31,"ln_hh_loans_ea_stock,ln_nfc_loans_ea_stock,ln_house_price_de_real,ln_compensation_ea20_real",1,3,1,32.16336073116855,35.0116,False,21.61791769187638,24.2522,False,0,0,
core_real_credit_house_income,84,2005-03-31,2025-12-31,"ln_hh_loans_ea_stock,ln_nfc_loans_ea_stock,ln_house_price_de_real,ln_compensation_ea20_real",1,3,2,10.545443039292168,18.3985,False,9.230290474995025,17.1481,False,0,0,
core_real_credit_house_income,84,2005-03-31,2025-12-31,"ln_hh_loans_ea_stock,ln_nfc_loans_ea_stock,ln_house_price_de_real,ln_compensation_ea20_real",1,3,3,1.3151525642971438,3.8415,False,1.3151525642971438,3.8415,False,0,0,
core_plus_real_dax,84,2005-03-31,2025-12-31,"ln_hh_loans_ea_stock,ln_nfc_loans_ea_stock,ln_house_price_de_real,ln_compensation_ea20_real,ln_dax_real_de",-1,1,0,113.97432099450066,60.0627,True,82.10706777326534,30.4428,True,1,1,
core_plus_real_dax,84,2005-03-31,2025-12-31,"ln_hh_loans_ea_stock,ln_nfc_loans_ea_stock,ln_house_price_de_real,ln_compensation_ea20_real,ln_dax_real_de",-1,1,1,31.867253221235302,40.1749,False,18.21628137025197,24.1592,False,1,1,
core_plus_real_dax,84,2005-03-31,2025-12-31,"ln_hh_loans_ea_stock,ln_nfc_loans_ea_stock,ln_house_price_de_real,ln_compensation_ea20_real,ln_dax_real_de",-1,1,2,13.650971850983336,24.2761,False,7.922785957670734,17.7961,False,1,1,
core_plus_real_dax,84,2005-03-31,2025-12-31,"ln_hh_loans_ea_stock,ln_nfc_loans_ea_stock,ln_house_price_de_real,ln_compensation_ea20_real,ln_dax_real_de",-1,1,3,5.7281858933126,12.3212,False,4.4503159365868505,11.2246,False,1,1,
core_plus_real_dax,84,2005-03-31,2025-12-31,"ln_hh_loans_ea_stock,ln_nfc_loans_ea_stock,ln_house_price_de_real,ln_compensation_ea20_real,ln_dax_real_de",-1,1,4,1.27786995672575,4.1296,False,1.27786995672575,4.1296,False,1,1,
core_plus_real_dax,84,2005-03-31,2025-12-31,"ln_hh_loans_ea_stock,ln_nfc_loans_ea_stock,ln_house_price_de_real,ln_compensation_ea20_real,ln_dax_real_de",-1,2,0,96.58181998218232,60.0627,True,52.07197246334581,30.4428,True,2,1,
core_plus_real_dax,84,2005-03-31,2025-12-31,"ln_hh_loans_ea_stock,ln_nfc_loans_ea_stock,ln_house_price_de_real,ln_compensation_ea20_real,ln_dax_real_de",-1,2,1,44.509847518836494,40.1749,True,22.05829688552649,24.1592,False,2,1,
core_plus_real_dax,84,2005-03-31,2025-12-31,"ln_hh_loans_ea_stock,ln_nfc_loans_ea_stock,ln_house_price_de_real,ln_compensation_ea20_real,ln_dax_real_de",-1,2,2,22.45155063331001,24.2761,False,11.232502744173031,17.7961,False,2,1,
