,wx_shadow_rate,dfr_eop,dfr_avg,hh_loans_ea_stock,nfc_loans_ea_stock
wx_shadow_rate,1.0,0.8366858881661071,0.8350769605348978,-0.8023864023472337,-0.3436885077729846
dfr_eop,0.8366858881661071,1.0,0.9983799318240713,-0.680628347322581,-0.31241343873468674
dfr_avg,0.8350769605348978,0.9983799318240713,1.0,-0.6818769389772035,-0.30488113921324556
hh_loans_ea_stock,-0.8023864023472337,-0.680628347322581,-0.6818769389772035,1.0,0.7577099215513095
nfc_loans_ea_stock,-0.3436885077729846,-0.31241343873468674,-0.30488113921324556,0.7577099215513095,1.0
