,wx_shadow_rate,dfr_eop,ln_hh_loans_ea_stock,ln_nfc_loans_ea_stock,ln_house_price_de_real,ln_compensation_ea20_real,ln_dax_real_de,ln_retail_de_chained_index,ln_hicp_de,credit_standards_enterprise,credit_standards_household
wx_shadow_rate,1.0,0.8395627628573735,-0.7670552979495401,-0.3765904992063995,-0.7995611219701011,-0.8955979748167775,-0.7882691867801821,-0.8181062186888521,-0.8266518559850932,0.3086573154992303,0.24128643660473015
dfr_eop,0.8395627628573735,1.0,0.02769283803475169,0.1581584199320828,-0.17756951158909515,-0.2248114859597428,0.02751810593564686,0.012930563802331393,0.23101809867421408,0.3281973817648414,0.15264368859485594
ln_hh_loans_ea_stock,-0.7670552979495401,0.02769283803475169,1.0,0.9272952225701624,0.7364057525367372,0.7544437639751174,0.812917072515175,0.8141201360549392,0.9058991165867695,-0.19763476996760357,-0.030797320615687407
ln_nfc_loans_ea_stock,-0.3765904992063995,0.1581584199320828,0.9272952225701624,1.0,0.4000679791939726,0.5667966977186305,0.46538576980889335,0.47492194307078517,0.7588775408977602,0.037634068998543505,0.22049206056855947
ln_house_price_de_real,-0.7995611219701011,-0.17756951158909515,0.7364057525367372,0.4000679791939726,1.0,0.7770967741425615,0.7445908253782663,0.9489668343321994,0.7052220656239238,-0.17488060357543625,-0.14977578407866798
ln_compensation_ea20_real,-0.8955979748167775,-0.2248114859597428,0.7544437639751174,0.5667966977186305,0.7770967741425615,1.0,0.8076734709093297,0.8268232390281531,0.7994724994977828,-0.3215113920189741,-0.2900185905551109
ln_dax_real_de,-0.7882691867801821,0.02751810593564686,0.812917072515175,0.46538576980889335,0.7445908253782663,0.8076734709093297,1.0,0.8514538415883305,0.8416629743886004,-0.340472256417501,-0.3950253485707956
ln_retail_de_chained_index,-0.8181062186888521,0.012930563802331393,0.8141201360549392,0.47492194307078517,0.9489668343321994,0.8268232390281531,0.8514538415883305,1.0,0.8406130976938488,-0.20215226105519124,-0.2041151455250701
ln_hicp_de,-0.8266518559850932,0.23101809867421408,0.9058991165867695,0.7588775408977602,0.7052220656239238,0.7994724994977828,0.8416629743886004,0.8406130976938488,1.0,-0.17483032845371124,-0.0968596785139246
credit_standards_enterprise,0.3086573154992303,0.3281973817648414,-0.19763476996760357,0.037634068998543505,-0.17488060357543625,-0.3215113920189741,-0.340472256417501,-0.20215226105519124,-0.17483032845371124,1.0,0.7907731484932866
credit_standards_household,0.24128643660473015,0.15264368859485594,-0.030797320615687407,0.22049206056855947,-0.14977578407866798,-0.2900185905551109,-0.3950253485707956,-0.2041151455250701,-0.0968596785139246,0.7907731484932866,1.0
