,wx_shadow_rate,dfr_eop,ln_hh_loans_ea_stock,ln_nfc_loans_ea_stock,ln_house_price_de_real,ln_compensation_ea20_real,ln_dax_real_de,ln_retail_de_chained_index,ln_hicp_de,credit_standards_enterprise,credit_standards_household
wx_shadow_rate,1.0,0.576034210979195,0.30092713004991717,0.25392154849751397,-0.22616908995281473,-0.2894904758487012,-0.002170877094528699,-0.16506429610701054,0.4745047799034045,-0.008494357787410426,0.03737012730493794
dfr_eop,0.576034210979195,1.0,0.15831804058142349,0.15805932331386266,-0.4502098438414476,-0.056607813905389145,0.11978775491548667,0.02701745915034773,0.29437530425094954,0.028437743761024495,-0.0044763441373561145
ln_hh_loans_ea_stock,0.30092713004991717,0.15831804058142349,1.0,0.6385296835435177,-0.02280104823719049,-0.16124721895375427,0.012577180366177675,0.003879445506350505,0.10244572768944826,-0.0196788184189776,0.01668017407301956
ln_nfc_loans_ea_stock,0.25392154849751397,0.15805932331386266,0.6385296835435177,1.0,-0.076320831692467,-0.209610610279374,-0.15672487332033477,-0.16790892867316298,0.1140132744802509,0.27329503094272956,0.29433565987952154
ln_house_price_de_real,-0.22616908995281473,-0.4502098438414476,-0.02280104823719049,-0.076320831692467,1.0,0.21206937880476284,-0.12417709947540934,0.41779899496298123,-0.4944595831948234,0.01920495806362819,-0.006509522587764367
ln_compensation_ea20_real,-0.2894904758487012,-0.056607813905389145,-0.16124721895375427,-0.209610610279374,0.21206937880476284,1.0,0.0017627928433574373,0.24347126953901402,-0.4778413274426895,-0.07234786710644803,-0.020836081450456602
ln_dax_real_de,-0.002170877094528699,0.11978775491548667,0.012577180366177675,-0.15672487332033477,-0.12417709947540934,0.0017627928433574373,1.0,0.027953961933353123,-0.1271636032020031,-0.07250063518995224,-0.0795510852941666
ln_retail_de_chained_index,-0.16506429610701054,0.02701745915034773,0.003879445506350505,-0.16790892867316298,0.41779899496298123,0.24347126953901402,0.027953961933353123,1.0,-0.3085712051015572,-0.08685114951512243,-0.020490933751570815
ln_hicp_de,0.4745047799034045,0.29437530425094954,0.10244572768944826,0.1140132744802509,-0.4944595831948234,-0.4778413274426895,-0.1271636032020031,-0.3085712051015572,1.0,-0.010806151341208341,0.0703201380001153
credit_standards_enterprise,-0.008494357787410426,0.028437743761024495,-0.0196788184189776,0.27329503094272956,0.01920495806362819,-0.07234786710644803,-0.07250063518995224,-0.08685114951512243,-0.010806151341208341,1.0,0.41497814439487124
credit_standards_household,0.03737012730493794,-0.0044763441373561145,0.01668017407301956,0.29433565987952154,-0.006509522587764367,-0.020836081450456602,-0.0795510852941666,-0.020490933751570815,0.0703201380001153,0.41497814439487124,1.0
