response,horizon,regime,nobs,AR_p_value,AR_CI_lower,AR_CI_upper,AR_reject,weak_iv_robust_status
ln_nfc_loans_ea_stock,8,pre_qe,34,0.6400702595497132,-inf,inf,False,directional_only
ln_nfc_loans_ea_stock,8,qe,23,0.19647464968462716,-3.2232343114292606e-07,0.0,False,directional_only
ln_nfc_loans_ea_stock,8,covid,2,,,,False,not_feasible
ln_nfc_loans_ea_stock,8,tightening,0,,,,False,not_feasible
ln_nfc_loans_ea_stock,12,pre_qe,34,5.244571189815191e-08,-inf,inf,True,unidentified
ln_nfc_loans_ea_stock,12,qe,21,0.07674656031199519,-1.8093068254329493e-07,-1.8093068254329493e-07,True,robust_signal
ln_nfc_loans_ea_stock,12,covid,0,,,,False,not_feasible
ln_nfc_loans_ea_stock,12,tightening,0,,,,False,not_feasible
ln_house_price_de_real,0,pre_qe,34,0.12227729339030675,-inf,inf,False,directional_only
ln_house_price_de_real,0,qe,23,0.26597692747797785,-8.99521842735842e-08,2.1588524225660266e-07,False,directional_only
ln_house_price_de_real,0,covid,8,,,,False,not_feasible
ln_house_price_de_real,0,tightening,2,,,,False,not_feasible
ln_house_price_de_real,1,pre_qe,34,0.1257804270115037,-inf,inf,False,directional_only
ln_house_price_de_real,1,qe,23,0.028649249958173705,3.559798087737113e-08,3.915777896510833e-07,True,robust_signal
ln_house_price_de_real,1,covid,8,,,,False,not_feasible
ln_house_price_de_real,1,tightening,1,,,,False,not_feasible
ln_house_price_de_real,2,pre_qe,34,0.36273588694911124,-inf,inf,False,directional_only
ln_house_price_de_real,2,qe,23,0.4209323095066995,-1.563598376779785e-07,7.817991883898756e-08,False,directional_only
ln_house_price_de_real,2,covid,8,,,,False,not_feasible
ln_house_price_de_real,2,tightening,0,,,,False,not_feasible
ln_house_price_de_real,4,pre_qe,34,0.234372471440253,-inf,inf,False,directional_only
ln_house_price_de_real,4,qe,23,0.5229577295227527,0.0,8.382447516174592e-08,False,directional_only
ln_house_price_de_real,4,covid,6,,,,False,not_feasible
ln_house_price_de_real,4,tightening,0,,,,False,not_feasible
ln_house_price_de_real,8,pre_qe,34,0.5043402968920886,-inf,inf,False,directional_only
ln_house_price_de_real,8,qe,23,0.612985037029823,0.0,1.9555098516876269e-07,False,directional_only
ln_house_price_de_real,8,covid,2,,,,False,not_feasible
ln_house_price_de_real,8,tightening,0,,,,False,not_feasible
ln_house_price_de_real,12,pre_qe,34,0.06002704383286409,-inf,inf,True,unidentified
ln_house_price_de_real,12,qe,21,0.024858580846568584,-2.628714493759231e-07,-1.3143572468796155e-07,True,robust_signal
ln_house_price_de_real,12,covid,0,,,,False,not_feasible
ln_house_price_de_real,12,tightening,0,,,,False,not_feasible
ln_compensation_ea20_real,0,pre_qe,34,0.3287989994424858,-inf,inf,False,directional_only
ln_compensation_ea20_real,0,qe,23,0.0037017304312969962,1.7460778737484042e-07,1.7460778737484042e-07,True,robust_signal
ln_compensation_ea20_real,0,covid,8,,,,False,not_feasible
ln_compensation_ea20_real,0,tightening,2,,,,False,not_feasible
ln_compensation_ea20_real,1,pre_qe,34,0.2252503980431533,-inf,inf,False,directional_only
ln_compensation_ea20_real,1,qe,23,0.4769176144225122,0.0,3.1974879390611683e-07,False,directional_only
ln_compensation_ea20_real,1,covid,8,,,,False,not_feasible
ln_compensation_ea20_real,1,tightening,1,,,,False,not_feasible
ln_compensation_ea20_real,2,pre_qe,34,0.5719596892857917,-inf,inf,False,directional_only
ln_compensation_ea20_real,2,qe,23,0.6553428636360918,-6.958478121712662e-08,4.870934685198847e-07,False,directional_only
ln_compensation_ea20_real,2,covid,8,,,,False,not_feasible
ln_compensation_ea20_real,2,tightening,0,,,,False,not_feasible
ln_compensation_ea20_real,4,pre_qe,34,0.6798512820849865,-inf,inf,False,directional_only
ln_compensation_ea20_real,4,qe,23,0.6295864415204673,-6.654043017254615e-08,1.9962129051763507e-07,False,directional_only
ln_compensation_ea20_real,4,covid,6,,,,False,not_feasible
ln_compensation_ea20_real,4,tightening,0,,,,False,not_feasible
ln_compensation_ea20_real,8,pre_qe,34,0.7622388251712037,-inf,inf,False,directional_only
ln_compensation_ea20_real,8,qe,23,0.017372337631009187,5.2558227840054576e-08,4.7302405056049627e-07,True,robust_signal
ln_compensation_ea20_real,8,covid,2,,,,False,not_feasible
ln_compensation_ea20_real,8,tightening,0,,,,False,not_feasible
ln_compensation_ea20_real,12,pre_qe,34,0.008828958073686463,-inf,inf,True,unidentified
ln_compensation_ea20_real,12,qe,21,0.40507030575801345,-3.270737689018609e-08,9.812213067056081e-08,False,directional_only
ln_compensation_ea20_real,12,covid,0,,,,False,not_feasible
ln_compensation_ea20_real,12,tightening,0,,,,False,not_feasible
