response,regime,horizon,cumulative_response,F_stat,weak_iv_flag
ln_hh_loans_ea_stock,qe,2,9.427137057750257e-08,1.4216360097866017,weak_iv_risk
ln_hh_loans_ea_stock,qe,4,9.184421257596132e-08,1.1900665335214733,weak_iv_risk
ln_hh_loans_ea_stock,qe,8,4.475120659150883e-08,0.9534796233749145,weak_iv_risk
ln_hh_loans_ea_stock,qe,12,-2.6546870769162824e-08,0.00217814739966557,weak_iv_risk
ln_hh_loans_ea_stock,tightening,0,-1.4574779877539063e-07,1.463676483833765,weak_iv_risk
ln_hh_loans_ea_stock,tightening,1,-2.4467811016739845e-07,1.4525411404363773,weak_iv_risk
ln_hh_loans_ea_stock,tightening,2,-2.4467816730115384e-07,1.4216360097866017,weak_iv_risk
ln_hh_loans_ea_stock,tightening,4,-2.4467819589070513e-07,1.1900665335214733,weak_iv_risk
ln_hh_loans_ea_stock,tightening,8,-2.446778528449296e-07,0.9534796233749145,weak_iv_risk
ln_hh_loans_ea_stock,tightening,12,-2.44678124750717e-07,0.00217814739966557,weak_iv_risk
ln_house_price_de_real,covid,0,2.052661698697527e-08,1.463676483833765,weak_iv_risk
ln_house_price_de_real,covid,1,8.410249101576882e-08,1.4525411404363773,weak_iv_risk
ln_house_price_de_real,covid,2,1.2757026891605572e-07,1.4216360097866017,weak_iv_risk
ln_house_price_de_real,covid,4,1.5732012029223965e-07,1.1900665335214733,weak_iv_risk
ln_house_price_de_real,covid,8,9.6380423492769e-08,0.9534796233749145,weak_iv_risk
ln_house_price_de_real,covid,12,9.638031192529598e-08,0.00217814739966557,weak_iv_risk
ln_house_price_de_real,pre_qe,0,3.0998383430174706e-08,1.463676483833765,weak_iv_risk
ln_house_price_de_real,pre_qe,1,8.407379509064557e-08,1.4525411404363773,weak_iv_risk
ln_house_price_de_real,pre_qe,2,1.4508728110914077e-07,1.4216360097866017,weak_iv_risk
ln_house_price_de_real,pre_qe,4,2.0841676958124803e-07,1.1900665335214733,weak_iv_risk
ln_house_price_de_real,pre_qe,8,2.3280256658151108e-07,0.9534796233749145,weak_iv_risk
ln_house_price_de_real,pre_qe,12,2.5509834434221923e-07,0.00217814739966557,weak_iv_risk
ln_house_price_de_real,qe,0,1.4992030712264065e-08,1.463676483833765,weak_iv_risk
ln_house_price_de_real,qe,1,4.4657014776740044e-08,1.4525411404363773,weak_iv_risk
ln_house_price_de_real,qe,2,1.09806947142564e-07,1.4216360097866017,weak_iv_risk
ln_house_price_de_real,qe,4,1.4473381179329115e-07,1.1900665335214733,weak_iv_risk
ln_house_price_de_real,qe,8,2.2621338894694318e-07,0.9534796233749145,weak_iv_risk
ln_house_price_de_real,qe,12,3.3574315952024487e-07,0.00217814739966557,weak_iv_risk
ln_house_price_de_real,tightening,0,-5.72833263375807e-08,1.463676483833765,weak_iv_risk
ln_house_price_de_real,tightening,1,-1.9409767960484754e-07,1.4525411404363773,weak_iv_risk
ln_house_price_de_real,tightening,2,-1.940976069776998e-07,1.4216360097866017,weak_iv_risk
ln_house_price_de_real,tightening,4,-1.9409754193876693e-07,1.1900665335214733,weak_iv_risk
ln_house_price_de_real,tightening,8,-1.9409798411027367e-07,0.9534796233749145,weak_iv_risk
ln_house_price_de_real,tightening,12,-1.9409762256998623e-07,0.00217814739966557,weak_iv_risk
ln_nfc_loans_ea_stock,covid,0,-3.6636769105994575e-08,1.463676483833765,weak_iv_risk
ln_nfc_loans_ea_stock,covid,1,-1.0865554848824556e-07,1.4525411404363773,weak_iv_risk
ln_nfc_loans_ea_stock,covid,2,-1.6959847339932953e-07,1.4216360097866017,weak_iv_risk
ln_nfc_loans_ea_stock,covid,4,-2.1937542052327788e-07,1.1900665335214733,weak_iv_risk
ln_nfc_loans_ea_stock,covid,8,-2.172823227854184e-07,0.9534796233749145,weak_iv_risk
ln_nfc_loans_ea_stock,covid,12,-2.172823399656962e-07,0.00217814739966557,weak_iv_risk
ln_nfc_loans_ea_stock,pre_qe,0,4.118780246002178e-08,1.463676483833765,weak_iv_risk
ln_nfc_loans_ea_stock,pre_qe,1,1.2776488525403242e-07,1.4525411404363773,weak_iv_risk
ln_nfc_loans_ea_stock,pre_qe,2,2.675054168848764e-07,1.4216360097866017,weak_iv_risk
ln_nfc_loans_ea_stock,pre_qe,4,3.0471132717020024e-07,1.1900665335214733,weak_iv_risk
ln_nfc_loans_ea_stock,pre_qe,8,2.3795689218175034e-07,0.9534796233749145,weak_iv_risk
ln_nfc_loans_ea_stock,pre_qe,12,-1.1150506453519624e-07,0.00217814739966557,weak_iv_risk
ln_nfc_loans_ea_stock,qe,0,8.4445638605908e-08,1.463676483833765,weak_iv_risk
ln_nfc_loans_ea_stock,qe,1,2.0015381172146847e-07,1.4525411404363773,weak_iv_risk
ln_nfc_loans_ea_stock,qe,2,2.9380797131365027e-07,1.4216360097866017,weak_iv_risk
ln_nfc_loans_ea_stock,qe,4,3.7885391475479063e-07,1.1900665335214733,weak_iv_risk
ln_nfc_loans_ea_stock,qe,8,1.1025105546902431e-07,0.9534796233749145,weak_iv_risk
ln_nfc_loans_ea_stock,qe,12,-4.0524513317052354e-08,0.00217814739966557,weak_iv_risk
ln_nfc_loans_ea_stock,tightening,0,-6.624425234358293e-07,1.463676483833765,weak_iv_risk
ln_nfc_loans_ea_stock,tightening,1,-1.011007419399069e-06,1.4525411404363773,weak_iv_risk
ln_nfc_loans_ea_stock,tightening,2,-1.01100719447353e-06,1.4216360097866017,weak_iv_risk
ln_nfc_loans_ea_stock,tightening,4,-1.011007178808689e-06,1.1900665335214733,weak_iv_risk
ln_nfc_loans_ea_stock,tightening,8,-1.01100685247878e-06,0.9534796233749145,weak_iv_risk
ln_nfc_loans_ea_stock,tightening,12,-1.0110075296112385e-06,0.00217814739966557,weak_iv_risk
