pathway,upstream,upstream_label,downstream,downstream_label,upstream_horizon_months,downstream_horizon_months,interpretation,governance_note,timing_classification,status,nobs,shock_to_upstream_coef,shock_to_upstream_p,shock_to_downstream_coef,shock_to_downstream_p,upstream_to_downstream_conditional_coef,upstream_to_downstream_conditional_se_hac,upstream_to_downstream_conditional_p,conditional_shock_coef,conditional_shock_p,controls
mortgage_spread_to_house_purchase_growth,ecb_mir_mortgage_lending_spread_dfr,mortgage lending spread,ecb_house_purchase_growth_yoy,house-purchase lending growth,1,6,mortgage funding conditions and housing-finance timing,Sequential timing evidence only; this is not structural bank-channel identification.,ordered_dynamic_transmission,estimated,240,0.020656525822454284,0.014896587479818988,0.1487160814617677,0.0006988500258364318,-1.4702772836207743,0.8612218179846391,0.08778501536068019,0.0803495791897779,0.00018029612535693868,"L1_ecb_mir_mortgage_lending_spread_dfr,L2_ecb_mir_mortgage_lending_spread_dfr,L1_ecb_house_purchase_growth_yoy,L2_ecb_house_purchase_growth_yoy,L1_inflation_ea20_mom,L2_inflation_ea20_mom,L1_dfr_mavg,L2_dfr_mavg"
nfc_lending_spread_to_nfc_credit,ecb_mir_nfc_lending_spread_dfr,NFC lending spread,ln_nfc_loans_ea_stock,NFC credit,1,6,corporate lending conditions and credit-expansion timing,Sequential timing evidence only; this is not structural bank-channel identification.,ordered_dynamic_transmission,estimated,240,0.016569088067600504,0.07261914429770217,0.00023872706696996489,0.8580317400137624,0.028239636814807182,0.01596589318374756,0.07693598850078129,-1.3326350678393524e-05,0.9761902488738754,"L1_ecb_mir_nfc_lending_spread_dfr,L2_ecb_mir_nfc_lending_spread_dfr,L1_ln_nfc_loans_ea_stock,L2_ln_nfc_loans_ea_stock,L1_inflation_ea20_mom,L2_inflation_ea20_mom,L1_dfr_mavg,L2_dfr_mavg"
liquidity_to_nfc_credit,ln_ecb_assets_ea_stock,ECB assets,ln_nfc_loans_ea_stock,NFC credit,1,3,liquidity and bank-credit timing,Sequential timing evidence only; this is not structural bank-channel identification.,ordered_dynamic_transmission,estimated,243,-0.0019066879132378168,0.6591884662682532,-0.0004875778196904688,0.667613515525054,0.053547007548286465,0.01741686729162254,0.002109024380879104,-0.00013384825581654874,0.7432411740075532,"L1_ln_ecb_assets_ea_stock,L2_ln_ecb_assets_ea_stock,L1_ln_nfc_loans_ea_stock,L2_ln_nfc_loans_ea_stock,L1_inflation_ea20_mom,L2_inflation_ea20_mom,L1_dfr_mavg,L2_dfr_mavg"
household_credit_to_house_purchase_growth,ln_hh_loans_ea_stock,household credit,ecb_house_purchase_growth_yoy,house-purchase lending growth,1,3,household credit and housing-finance timing,Sequential timing evidence only; this is not structural bank-channel identification.,ordered_dynamic_transmission,estimated,243,0.00011657903322637719,0.49629230440477323,0.13398956788952304,0.00015835168494793972,98.46546435534657,21.568875083526923,4.991026448695272e-06,0.04382934862802313,0.001479924305503814,"L1_ln_hh_loans_ea_stock,L2_ln_hh_loans_ea_stock,L1_ecb_house_purchase_growth_yoy,L2_ecb_house_purchase_growth_yoy,L1_inflation_ea20_mom,L2_inflation_ea20_mom,L1_dfr_mavg,L2_dfr_mavg"
house_purchase_growth_to_new_mortgage_flow,ecb_house_purchase_growth_yoy,house-purchase lending growth,ln_ecb_house_purchase_pure_new_loans,pure new house-purchase loans,1,3,housing-credit growth and new mortgage-flow timing,Sequential timing evidence only; this is not structural bank-channel identification.,ordered_dynamic_transmission,estimated,94,0.053610260067175085,0.03698247165642091,0.0013576594928456512,0.9168283288089385,0.1524013130317899,0.04148851798473138,0.0002394033040391444,0.0032814162767549615,0.2606671595710638,"L1_ecb_house_purchase_growth_yoy,L2_ecb_house_purchase_growth_yoy,L1_ln_ecb_house_purchase_pure_new_loans,L2_ln_ecb_house_purchase_pure_new_loans,L1_inflation_ea20_mom,L2_inflation_ea20_mom,L1_dfr_mavg,L2_dfr_mavg"
nfc_credit_to_wage_pressure,ln_nfc_loans_ea_stock,NFC credit,ecb_wage_tracker_ex_oneoffs_real_yoy,real wage tracker excl. one-offs,2,6,business-credit and negotiated-wage timing,Sequential timing evidence only; this is not structural bank-channel identification.,ordered_dynamic_transmission,estimated,146,-0.0005555860539638941,0.5955230032738561,-0.08947122667268363,0.14817795122347505,2.3312149988346023,12.788265291587798,0.8553525614773544,-0.03694413887979117,0.11470891310429913,"L1_ln_nfc_loans_ea_stock,L2_ln_nfc_loans_ea_stock,L1_ecb_wage_tracker_ex_oneoffs_real_yoy,L2_ecb_wage_tracker_ex_oneoffs_real_yoy,L1_inflation_ea20_mom,L2_inflation_ea20_mom,L1_dfr_mavg,L2_dfr_mavg"
employment_expectations_to_wage_pressure,eurostat_ecfin_eei_ea20,employment expectations,ecb_wage_tracker_ex_oneoffs_real_yoy,real wage tracker excl. one-offs,1,6,labor-expectations and negotiated-wage timing,Sequential timing evidence only; this is not structural bank-channel identification.,ordered_dynamic_transmission,estimated,146,1.1731114972788432,0.2502496413755672,-0.08947122667268363,0.14817795122347505,-0.03715331995026229,0.018274580998262336,0.04204645986919182,-0.0030597764232794056,0.8722212297644866,"L1_eurostat_ecfin_eei_ea20,L2_eurostat_ecfin_eei_ea20,L1_ecb_wage_tracker_ex_oneoffs_real_yoy,L2_ecb_wage_tracker_ex_oneoffs_real_yoy,L1_inflation_ea20_mom,L2_inflation_ea20_mom,L1_dfr_mavg,L2_dfr_mavg"
market_conditions_to_wage_pressure,ln_dax_real_de,real DAX,ecb_wage_tracker_ex_oneoffs_real_yoy,real wage tracker excl. one-offs,1,6,market-financing conditions and negotiated-wage timing,Sequential timing evidence only; this is not structural bank-channel identification.,ordered_dynamic_transmission,estimated,146,-0.0020529377589128014,0.7099208771037142,-0.08947122667268363,0.14817795122347505,-2.587740991251435,1.4431704732702806,0.07295782014041084,-0.033869522510739145,0.16860185362241778,"L1_ln_dax_real_de,L2_ln_dax_real_de,L1_ecb_wage_tracker_ex_oneoffs_real_yoy,L2_ecb_wage_tracker_ex_oneoffs_real_yoy,L1_inflation_ea20_mom,L2_inflation_ea20_mom,L1_dfr_mavg,L2_dfr_mavg"
