event_id,event_date,event_quarter,regime,timing_factor,rate_surprise_for_screen,equity_response_for_screen,jk_screen_classification,potential_information_shock,potential_pure_monetary_shock
ECB_20020103,2002-01-03,2002Q1,pre_gfc,1.9505901534617556,0.749999999999984,0.0225673215647149,potential_information_shock,True,False
ECB_20020207,2002-02-07,2002Q1,pre_gfc,0.8067794073117406,2.49999999999999,0.730119987800393,potential_information_shock,True,False
ECB_20020307,2002-03-07,2002Q1,pre_gfc,0.5192887315459848,1.2,0.203278025648324,potential_information_shock,True,False
ECB_20020404,2002-04-04,2002Q2,pre_gfc,-0.9362846336878814,-0.6999999999999669,-0.1484616645381459,potential_information_shock,True,False
ECB_20020502,2002-05-02,2002Q2,pre_gfc,2.177452475041129,4.25,-0.253706095368855,potential_pure_monetary_shock,False,True
ECB_20020606,2002-06-06,2002Q2,pre_gfc,1.000284180218159,1.00000000000002,-0.2822306836282709,potential_pure_monetary_shock,False,True
ECB_20020704,2002-07-04,2002Q3,pre_gfc,-0.0406441128600204,-0.4500000000000168,-0.23717285198952,potential_information_shock,True,False
ECB_20020801,2002-08-01,2002Q3,pre_gfc,,-0.3000000000000109,-0.526377316919646,potential_information_shock,True,False
ECB_20020912,2002-09-12,2002Q3,pre_gfc,-2.13584370027192,-2.25,-0.8809930088933268,potential_information_shock,True,False
ECB_20021010,2002-10-10,2002Q4,pre_gfc,1.0274860909647283,2.49999999999999,-0.184623307066101,potential_pure_monetary_shock,False,True
ECB_20021107,2002-11-07,2002Q4,pre_gfc,-2.1168145124255657,0.499999999999989,-1.6045496113783,potential_pure_monetary_shock,False,True
ECB_20021205,2002-12-05,2002Q4,pre_gfc,-0.6486196736914874,-2.85000000000002,-0.891277315403283,potential_information_shock,True,False
ECB_20030109,2003-01-09,2003Q1,pre_gfc,1.741935398727004,2.0,1.23744907061862,potential_information_shock,True,False
ECB_20030206,2003-02-06,2003Q1,pre_gfc,0.8245594126737406,1.39999999999998,-1.40471361424188,potential_pure_monetary_shock,False,True
ECB_20030306,2003-03-06,2003Q1,pre_gfc,0.7054779238174429,1.50000000000001,-1.38558258236667,potential_pure_monetary_shock,False,True
ECB_20030403,2003-04-03,2003Q2,pre_gfc,1.0965061897535608,1.30000000000003,-0.236794942893681,potential_pure_monetary_shock,False,True
ECB_20030508,2003-05-08,2003Q2,pre_gfc,2.0309080994704543,4.0,-1.12156216574055,potential_pure_monetary_shock,False,True
ECB_20030605,2003-06-05,2003Q2,pre_gfc,2.245383555669993,-4.50000000000004,-0.937799933318395,potential_information_shock,True,False
ECB_20030710,2003-07-10,2003Q3,pre_gfc,1.089729912258814,0.999999999999979,0.2565399626734959,potential_information_shock,True,False
ECB_20030731,2003-07-31,2003Q3,pre_gfc,,0.249999999999995,-0.0839478119953441,potential_pure_monetary_shock,False,True
